자치구,년월,버스승객수,발생건수,사망자수,부상자수
강남구,2017-01,,302.0,2.0,464.0
강남구,2017-02,,256.0,1.0,366.0
강남구,2017-03,,296.0,3.0,433.0
강남구,2017-04,,275.0,1.0,388.0
강남구,2017-05,,281.0,1.0,405.0
강남구,2017-06,,299.0,2.0,423.0
강남구,2017-07,,296.0,0.0,423.0
강남구,2017-08,,287.0,1.0,401.0
강남구,2017-09,,282.0,5.0,390.0
강남구,2017-10,,270.0,2.0,387.0
강남구,2017-11,,302.0,1.0,410.0
강남구,2017-12,,323.0,0.0,469.0
강남구,2018-01,,316.0,1.0,456.0
강남구,2018-02,,249.0,1.0,369.0
강남구,2018-03,,278.0,3.0,393.0
강남구,2018-04,,283.0,1.0,411.0
강남구,2018-05,,288.0,0.0,404.0
강남구,2018-06,,288.0,0.0,436.0
강남구,2018-07,,326.0,2.0,427.0
강남구,2018-08,,301.0,3.0,438.0
강남구,2018-09,,249.0,2.0,356.0
강남구,2018-10,,297.0,2.0,403.0
강남구,2018-11,,292.0,2.0,447.0
강남구,2018-12,,292.0,3.0,427.0
강남구,2019-01,,281.0,2.0,412.0
강남구,2019-02,,227.0,3.0,315.0
강남구,2019-03,,280.0,2.0,401.0
강남구,2019-04,,295.0,0.0,389.0
강남구,2019-05,,320.0,0.0,484.0
강남구,2019-06,,302.0,1.0,442.0
강남구,2019-07,,326.0,0.0,450.0
강남구,2019-08,,320.0,1.0,435.0
강남구,2019-09,,302.0,0.0,389.0
강남구,2019-10,,336.0,2.0,440.0
강남구,2019-11,,383.0,2.0,542.0
강남구,2019-12,,350.0,1.0,483.0
강남구,2020-01,,275.0,3.0,393.0
강남구,2020-02,,343.0,2.0,450.0
강남구,2020-03,,265.0,1.0,365.0
강남구,2020-04,,291.0,3.0,426.0
강남구,2020-05,,320.0,3.0,441.0
강남구,2020-06,,337.0,0.0,474.0
강남구,2020-07,,396.0,0.0,539.0
강남구,2020-08,,330.0,1.0,484.0
강남구,2020-09,,309.0,0.0,432.0
강남구,2020-10,,302.0,2.0,417.0
강남구,2020-11,,315.0,2.0,409.0
강남구,2020-12,,269.0,0.0,359.0
강남구,2021-01,,315.0,1.0,433.0
강남구,2021-02,,315.0,0.0,428.0
강남구,2021-03,,299.0,0.0,410.0
강남구,2021-04,,325.0,1.0,429.0
