년월,재난사고_사고건수,재난사고_사상자수,감전사고_사상자수
2013-01-01,,,8.0
2013-02-01,,,5.0
2013-03-01,,,10.0
2013-04-01,,,13.0
2013-05-01,,,11.0
2013-06-01,,,13.0
2013-07-01,,,18.0
2013-08-01,,,10.0
2013-09-01,,,12.0
2013-10-01,,,11.0
2013-11-01,,,7.0
2013-12-01,,,6.0
2014-01-01,,,9.0
2014-02-01,,,5.0
2014-04-01,,,8.0
2014-05-01,,,11.0
2014-06-01,,,10.0
2014-07-01,,,10.0
2014-08-01,,,3.0
2014-09-01,,,5.0
2014-10-01,,,5.0
2014-11-01,,,8.0
2014-12-01,,,4.0
2015-01-01,,,10.0
2015-02-01,,,2.0
2015-03-01,,,7.0
2015-04-01,,,13.0
2015-05-01,,,8.0
2015-06-01,,,8.0
2015-07-01,,,6.0
2015-08-01,,,7.0
2015-09-01,,,4.0
2015-10-01,,,7.0
2015-11-01,,,6.0
2015-12-01,,,6.0
2016-01-01,,,4.0
2016-02-01,,,3.0
2016-03-01,,,11.0
2016-04-01,,,6.0
2016-05-01,,,7.0
2016-06-01,,,8.0
2016-07-01,,,6.0
2016-08-01,,,3.0
2016-09-01,,,3.0
2016-10-01,,,3.0
2016-11-01,,,3.0
2016-12-01,,,1.0
2017-01-01,,,12.0
2017-02-01,,,7.0
2017-03-01,,,16.0
2017-04-01,,,11.0
2017-05-01,,,8.0
2017-06-01,,,7.0
2017-07-01,,,7.0
2017-08-01,,,14.0
2017-09-01,,,10.0
2017-10-01,,,6.0
2017-11-01,,,11.0
2017-12-01,,,5.0
2018-01-01,,,7.0
2018-02-01,,,3.0
2018-03-01,,,3.0
2018-04-01,,,7.0
2018-05-01,,,4.0
2018-06-01,,,7.0
2018-07-01,,,8.0
2018-08-01,,,16.0
2018-09-01,,,14.0
2018-10-01,,,14.0
2018-11-01,,,6.0
2018-12-01,,,5.0
2019-01-01,,,4.0
2019-02-01,,,5.0
2019-03-01,,,5.0
2019-04-01,,,3.0
2019-05-01,,,6.0
2019-06-01,,,9.0
2019-07-01,,,5.0
2019-08-01,,,11.0
2019-09-01,,,13.0
2019-10-01,,,8.0
2019-11-01,,,8.0
2019-12-01,,,9.0
2020-01-01,,,4.0
2020-03-01,,,4.0
2020-04-01,,,5.0
2020-05-01,,,3.0
2020-06-01,,,7.0
2020-07-01,,,10.0
2020-08-01,,,4.0
2020-09-01,,,9.0
2020-10-01,,,3.0
2020-11-01,,,4.0
2020-12-01,,,4.0
2021-01-01,,,2.0
2021-02-01,,,3.0
2021-03-01,,,5.0
2021-04-01,,,2.0
2021-05-01,,,1.0
2021-06-01,,,6.0
2021-07-01,549.0,662.0,6.0
2021-08-01,2545.0,3160.0,6.0
2021-09-01,2076.0,2728.0,4.0
2021-10-01,2037.0,2561.0,3.0
2021-11-01,2767.0,3447.0,4.0
2021-12-01,2070.0,2552.0,7.0
2022-01-01,2793.0,3561.0,3.0
2022-02-01,1732.0,2098.0,1.0
2022-03-01,1589.0,1962.0,2.0
2022-04-01,1927.0,2408.0,5.0
2022-05-01,2025.0,2510.0,3.0
2022-06-01,1876.0,2374.0,5.0
2022-07-01,2026.0,2563.0,2.0
2022-08-01,2368.0,3025.0,9.0
2022-09-01,2051.0,2568.0,3.0
2022-10-01,2580.0,3246.0,1.0
2022-11-01,2023.0,2544.0,8.0
2022-12-01,1636.0,2077.0,3.0
2023-01-01,1722.0,2106.0,
2023-02-01,1535.0,1982.0,
2023-03-01,1774.0,2252.0,
2023-04-01,1438.0,1852.0,
2023-05-01,2329.0,2960.0,
2023-06-01,1868.0,2417.0,
2023-07-01,2142.0,2784.0,
2023-08-01,1881.0,2394.0,
2023-09-01,2016.0,2542.0,
2023-10-01,1962.0,2521.0,
2023-11-01,1908.0,2397.0,
2023-12-01,1500.0,1904.0,
2024-01-01,2076.0,2582.0,
2024-02-01,1463.0,1866.0,
2024-03-01,797.0,987.0,
2024-06-01,1470.0,1263.0,
2024-07-01,2148.0,2682.0,
2024-08-01,1789.0,2211.0,
2024-09-01,1226.0,1429.0,
2024-10-01,1324.0,1599.0,
2024-11-01,1455.0,1765.0,
2024-12-01,1044.0,1271.0,
2025-01-01,209.0,263.0,
2025-02-01,1640.0,2029.0,
2025-03-01,1526.0,1847.0,
