구,연월,거주인구
종로구,2008-01,176619.0
중구,2008-01,138233.0
용산구,2008-01,249346.0
성동구,2008-01,340724.0
광진구,2008-01,388123.0
동대문구,2008-01,385849.0
중랑구,2008-01,431988.0
성북구,2008-01,478760.0
강북구,2008-01,347344.0
도봉구,2008-01,378390.0
노원구,2008-01,621381.0
은평구,2008-01,459387.0
서대문구,2008-01,355896.0
마포구,2008-01,402760.0
양천구,2008-01,508411.0
강서구,2008-01,575428.0
구로구,2008-01,448044.0
금천구,2008-01,266126.0
영등포구,2008-01,442546.0
동작구,2008-01,416525.0
관악구,2008-01,553196.0
서초구,2008-01,412898.0
강남구,2008-01,570959.0
송파구,2008-01,637163.0
강동구,2008-01,469999.0
종로구,2008-02,176619.0
중구,2008-02,138233.0
용산구,2008-02,249346.0
성동구,2008-02,340724.0
광진구,2008-02,388123.0
동대문구,2008-02,385849.0
중랑구,2008-02,431988.0
성북구,2008-02,478760.0
강북구,2008-02,347344.0
도봉구,2008-02,378390.0
노원구,2008-02,621381.0
은평구,2008-02,459387.0
서대문구,2008-02,355896.0
마포구,2008-02,402760.0
양천구,2008-02,508411.0
강서구,2008-02,575428.0
구로구,2008-02,448044.0
금천구,2008-02,266126.0
영등포구,2008-02,442546.0
동작구,2008-02,416525.0
관악구,2008-02,553196.0
서초구,2008-02,412898.0
강남구,2008-02,570959.0
송파구,2008-02,637163.0
강동구,2008-02,469999.0
종로구,2008-03,176619.0
중구,2008-03,138233.0
용산구,2008-03,249346.0
성동구,2008-03,340724.0
광진구,2008-03,388123.0
동대문구,2008-03,385849.0
중랑구,2008-03,431988.0
성북구,2008-03,478760.0
강북구,2008-03,347344.0
도봉구,2008-03,378390.0
노원구,2008-03,621381.0
은평구,2008-03,459387.0
서대문구,2008-03,355896.0
마포구,2008-03,402760.0
양천구,2008-03,508411.0
강서구,2008-03,575428.0
구로구,2008-03,448044.0
금천구,2008-03,266126.0
영등포구,2008-03,442546.0
동작구,2008-03,416525.0
관악구,2008-03,553196.0
서초구,2008-03,412898.0
강남구,2008-03,570959.0
송파구,2008-03,637163.0
강동구,2008-03,469999.0
종로구,2008-04,178131.0
중구,2008-04,138934.0
용산구,2008-04,249475.0
성동구,2008-04,336190.0
광진구,2008-04,388357.0
동대문구,2008-04,386011.0
중랑구,2008-04,432661.0
성북구,2008-04,480301.0
강북구,2008-04,346477.0
도봉구,2008-04,378275.0
노원구,2008-04,620608.0
은평구,2008-04,457464.0
서대문구,2008-04,351386.0
마포구,2008-04,400349.0
양천구,2008-04,507831.0
강서구,2008-04,579188.0
구로구,2008-04,449457.0
금천구,2008-04,266078.0
영등포구,2008-04,443550.0
동작구,2008-04,414566.0
관악구,2008-04,554222.0
서초구,2008-04,411897.0
강남구,2008-04,570755.0
송파구,2008-04,638577.0
강동구,2008-04,470044.0
종로구,2008-05,178131.0
중구,2008-05,138934.0
용산구,2008-05,249475.0
성동구,2008-05,336190.0
광진구,2008-05,388357.0
동대문구,2008-05,386011.0
중랑구,2008-05,432661.0
성북구,2008-05,480301.0
강북구,2008-05,346477.0
도봉구,2008-05,378275.0
노원구,2008-05,620608.0
은평구,2008-05,457464.0
서대문구,2008-05,351386.0
마포구,2008-05,400349.0
양천구,2008-05,507831.0
강서구,2008-05,579188.0
구로구,2008-05,449457.0
금천구,2008-05,266078.0
영등포구,2008-05,443550.0
동작구,2008-05,414566.0
관악구,2008-05,554222.0
서초구,2008-05,411897.0
강남구,2008-05,570755.0
송파구,2008-05,638577.0
강동구,2008-05,470044.0
종로구,2008-06,178131.0
중구,2008-06,138934.0
용산구,2008-06,249475.0
성동구,2008-06,336190.0
광진구,2008-06,388357.0
동대문구,2008-06,386011.0
중랑구,2008-06,432661.0
성북구,2008-06,480301.0
강북구,2008-06,346477.0
도봉구,2008-06,378275.0
노원구,2008-06,620608.0
은평구,2008-06,457464.0
서대문구,2008-06,351386.0
마포구,2008-06,400349.0
양천구,2008-06,507831.0
강서구,2008-06,579188.0
구로구,2008-06,449457.0
금천구,2008-06,266078.0
영등포구,2008-06,443550.0
동작구,2008-06,414566.0
관악구,2008-06,554222.0
서초구,2008-06,411897.0
강남구,2008-06,570755.0
송파구,2008-06,638577.0
강동구,2008-06,470044.0
종로구,2008-07,179330.0
중구,2008-07,139438.0
용산구,2008-07,250775.0
성동구,2008-07,330698.0
광진구,2008-07,388527.0
동대문구,2008-07,384543.0
중랑구,2008-07,433442.0
성북구,2008-07,480956.0
강북구,2008-07,346187.0
도봉구,2008-07,377399.0
노원구,2008-07,621468.0
은평구,2008-07,462078.0
서대문구,2008-07,345435.0
마포구,2008-07,395018.0
양천구,2008-07,508337.0
강서구,2008-07,582538.0
구로구,2008-07,449854.0
금천구,2008-07,266084.0
영등포구,2008-07,444906.0
동작구,2008-07,412675.0
관악구,2008-07,554506.0
서초구,2008-07,412369.0
강남구,2008-07,569327.0
송파구,2008-07,651323.0
강동구,2008-07,470388.0
종로구,2008-08,179330.0
중구,2008-08,139438.0
용산구,2008-08,250775.0
성동구,2008-08,330698.0
광진구,2008-08,388527.0
동대문구,2008-08,384543.0
중랑구,2008-08,433442.0
성북구,2008-08,480956.0
강북구,2008-08,346187.0
도봉구,2008-08,377399.0
노원구,2008-08,621468.0
은평구,2008-08,462078.0
서대문구,2008-08,345435.0
마포구,2008-08,395018.0
양천구,2008-08,508337.0
강서구,2008-08,582538.0
구로구,2008-08,449854.0
