동별,연도,거주인구
강남구,2008,6829995
강남구,2009,6828201
강남구,2010,6862974
강남구,2011,6909210
강남구,2012,6835662
강남구,2013,6824886
강남구,2014,6922425
강남구,2015,6986472
강남구,2016,6907167
강남구,2017,6797124
강남구,2018,6619383
강남구,2019,6581187
강남구,2020,6552588
강남구,2021,6454560
강남구,2022,6429417
강남구,2023,6530151
강남구,2024,6748053
강남구,2025,1689567
강동구,2008,5653212
강동구,2009,5803572
강동구,2010,5916363
강동구,2011,6017712
강동구,2012,5940414
강동구,2013,5879226
강동구,2014,5810301
강동구,2015,5633358
강동구,2016,5447892
강동구,2017,5380236
강동구,2018,5226561
강동구,2019,5187180
강동구,2020,5534586
강동구,2021,5617134
강동구,2022,5577360
강동구,2023,5558409
강동구,2024,5650233
강동구,2025,1500006
강북구,2008,4157286
강북구,2009,4138104
강북구,2010,4142535
강북구,2011,4190241
강북구,2012,4178373
강북구,2013,4127877
강북구,2014,4076061
강북구,2015,4035768
강북구,2016,3987516
강북구,2017,3951720
강북구,2018,3902295
강북구,2019,3828294
강북구,2020,3771792
강북구,2021,3661350
강북구,2022,3592182
강북구,2023,3541464
강북구,2024,3482028
강북구,2025,866391
강서구,2008,6962097
강서구,2009,6991296
강서구,2010,6938187
강서구,2011,6935835
강서구,2012,6896310
강서구,2013,6894102
강서구,2014,6994872
강서구,2015,7142583
강서구,2016,7192134
강서구,2017,7280181
강서구,2018,7272063
강서구,2019,7210887
강서구,2020,7093029
강서구,2021,6980496
강서구,2022,6922026
강서구,2023,6854691
강서구,2024,6774003
강서구,2025,1680282
관악구,2008,6641391
관악구,2009,6608937
관악구,2010,6557832
관악구,2011,6587319
관악구,2012,6525327
관악구,2013,6457851
관악구,2014,6405711
관악구,2015,6375591
관악구,2016,6339360
관악구,2017,6279456
관악구,2018,6257931
관악구,2019,6233388
관악구,2020,6172014
관악구,2021,6023577
관악구,2022,6009459
관악구,2023,6010569
관악구,2024,5962644
관악구,2025,1491639
광진구,2008,4656783
광진구,2009,4648548
광진구,2010,4633053
광진구,2011,4655085
광진구,2012,4627188
광진구,2013,4592811
광진구,2014,4553838
광진구,2015,4514865
광진구,2016,4483905
광진구,2017,4465812
광진구,2018,4449756
광진구,2019,4426311
광진구,2020,4355841
광진구,2021,4252512
광진구,2022,4224693
광진구,2023,4214652
광진구,2024,4196667
광진구,2025,1045980
구로구,2008,5388153
구로구,2009,5397993
구로구,2010,5395038
구로구,2011,5468205
구로구,2012,5486424
구로구,2013,5440188
구로구,2014,5481102
구로구,2015,5478303
구로구,2016,5427396
구로구,2017,5335473
구로구,2018,5275263
구로구,2019,5272314
구로구,2020,5229762
구로구,2021,5084343
구로구,2022,5021043
구로구,2023,5004669
구로구,2024,4955181
구로구,2025,1232181
금천구,2008,3190596
금천구,2009,3179997
금천구,2010,3146595
금천구,2011,3175434
금천구,2012,3152967
금천구,2013,3111864
금천구,2014,3098160
금천구,2015,3092046
금천구,2016,3054771
금천구,2017,3050790
금천구,2018,3037428
금천구,2019,3038979
금천구,2020,2998200
금천구,2021,2937081
금천구,2022,2930466
금천구,2023,2904645
금천구,2024,2878440
금천구,2025,715293
노원구,2008,7452795
노원구,2009,7414878
노원구,2010,7364520
노원구,2011,7322703
노원구,2012,7247733
노원구,2013,7163457
노원구,2014,7068891
노원구,2015,6980214
노원구,2016,6900891
노원구,2017,6768444
노원구,2018,6624627
노원구,2019,6495663
노원구,2020,6375300
노원구,2021,6222642
노원구,2022,6132921
노원구,2023,6056934
노원구,2024,5990046
노원구,2025,1485333
도봉구,2008,4532286
도봉구,2009,4492107
도봉구,2010,4437372
도봉구,2011,4429944
도봉구,2012,4387662
도봉구,2013,4347186
도봉구,2014,4293993
도봉구,2015,4254699
도봉구,2016,4218630
도봉구,2017,4170477
도봉구,2018,4121328
도봉구,2019,4056945
도봉구,2020,3965700
도봉구,2021,3858765
도봉구,2022,3791667
도봉구,2023,3731613
도봉구,2024,3689646
도봉구,2025,916173
동대문구,2008,4614198
동대문구,2009,4540038
동대문구,2010,4499925
동대문구,2011,4557513
동대문구,2012,4530015
동대문구,2013,4517877
동대문구,2014,4505772
동대문구,2015,4500690
동대문구,2016,4462308
동대문구,2017,4413978
동대문구,2018,4379784
동대문구,2019,4359495
동대문구,2020,4316598
동대문구,2021,4225383
동대문구,2022,4236351
동대문구,2023,4288611
동대문구,2024,4314297
동대문구,2025,1085850
동작구,2008,4964100
동작구,2009,4925118
동작구,2010,4915842
동작구,2011,4971024
동작구,2012,4974720
동작구,2013,5048868
동작구,2014,5054367
동작구,2015,4999056
동작구,2016,4964277
동작구,2017,4928799
동작구,2018,4893900
동작구,2019,4930290
동작구,2020,4862301
동작구,2021,4757766
동작구,2022,4718217
동작구,2023,4685022
동작구,2024,4662783
동작구,2025,1160691
마포구,2008,4774104
마포구,2009,4723038
마포구,2010,4731744
마포구,2011,4810359
마포구,2012,4749852
마포구,2013,4712055
마포구,2014,4703433
마포구,2015,4793889
마포구,2016,4733745
마포구,2017,4655346
마포구,2018,4627566
마포구,2019,4632258
마포구,2020,4609185
마포구,2021,4549233
마포구,2022,4525698
마포구,2023,4510884
마포구,2024,4486683
마포구,2025,1115556
서대문구,2008,4180344
서대문구,2009,4052388
서대문구,2010,4009965
서대문구,2011,3936021
서대문구,2012,3870042
서대문구,2013,3904821
서대문구,2014,3875850
서대문구,2015,3837696
서대문구,2016,3918267
서대문구,2017,3915246
서대문구,2018,3881127
서대문구,2019,3888504
서대문구,2020,3890733
서대문구,2021,3805761
서대문구,2022,3813909
서대문구,2023,3857100
서대문구,2024,3836277
서대문구,2025,954255
서초구,2008,4947687
서초구,2009,5100312
서초구,2010,5219421
서초구,2011,5268897
서초구,2012,5292024
서초구,2013,5328330
