자치구,년월,버스승객수
강남구,2022-01,7796272.0
강남구,2022-02,6687447.0
강남구,2022-03,7502696.0
강남구,2022-04,8484559.0
강남구,2022-05,9172697.0
강남구,2022-06,8865863.0
강남구,2022-07,9501091.0
강남구,2022-08,9412532.0
강남구,2022-09,8335562.0
강남구,2022-10,8982070.0
강남구,2022-11,8839656.0
강남구,2022-12,8674546.0
강남구,2023-01,7988011.0
강남구,2023-02,8103926.0
강남구,2023-03,9006283.0
강남구,2023-04,8534584.0
강남구,2023-05,8774909.0
강남구,2023-06,8937715.0
강남구,2023-07,9167739.0
강남구,2023-08,9000800.0
강남구,2023-09,8441191.0
강남구,2023-10,8580155.0
강남구,2023-11,8872379.0
강남구,2023-12,8698587.0
강남구,2024-01,8732464.0
강남구,2024-02,7963189.0
강남구,2024-03,8913202.0
강남구,2024-04,9056109.0
강남구,2024-05,9232943.0
강남구,2024-06,9063970.0
강남구,2024-07,9772186.0
강남구,2024-08,9750055.0
강남구,2024-09,8958128.0
강남구,2024-10,9691020.0
강남구,2024-11,9751560.0
강남구,2024-12,9696488.0
강남구,2025-01,7964981.0
강남구,2025-02,8796318.0
강남구,2025-03,9659937.0
강남구,2025-04,1893562.0
강동구,2022-01,2090454.0
강동구,2022-02,1825110.0
강동구,2022-03,2053614.0
강동구,2022-04,2271230.0
강동구,2022-05,2416288.0
강동구,2022-06,2364002.0
강동구,2022-07,2518397.0
강동구,2022-08,2510354.0
강동구,2022-09,2313457.0
강동구,2022-10,2475580.0
강동구,2022-11,2404454.0
강동구,2022-12,2415809.0
강동구,2023-01,2185350.0
강동구,2023-02,2177209.0
강동구,2023-03,2462669.0
강동구,2023-04,2344931.0
강동구,2023-05,2385081.0
강동구,2023-06,2414026.0
강동구,2023-07,2469451.0
강동구,2023-08,2444524.0
강동구,2023-09,2337689.0
강동구,2023-10,2531093.0
강동구,2023-11,2709302.0
강동구,2023-12,2731478.0
강동구,2024-01,2651560.0
강동구,2024-02,2464307.0
강동구,2024-03,2785813.0
강동구,2024-04,2804514.0
강동구,2024-05,2857823.0
강동구,2024-06,2771711.0
강동구,2024-07,2979737.0
강동구,2024-08,3295480.0
강동구,2024-09,3121211.0
강동구,2024-10,3305270.0
강동구,2024-11,3282513.0
강동구,2024-12,3310437.0
강동구,2025-01,2720632.0
강동구,2025-02,2991430.0
강동구,2025-03,3265672.0
강동구,2025-04,607131.0
강북구,2022-01,4466101.0
강북구,2022-02,3894539.0
강북구,2022-03,4382599.0
강북구,2022-04,4785049.0
강북구,2022-05,5147671.0
강북구,2022-06,4919266.0
강북구,2022-07,5215973.0
강북구,2022-08,5106499.0
강북구,2022-09,4873737.0
강북구,2022-10,5174051.0
강북구,2022-11,4988520.0
강북구,2022-12,5065117.0
강북구,2023-01,4586229.0
강북구,2023-02,4478062.0
강북구,2023-03,5176318.0
강북구,2023-04,4960239.0
강북구,2023-05,5139135.0
강북구,2023-06,5016733.0
강북구,2023-07,5063681.0
강북구,2023-08,4966788.0
강북구,2023-09,4858943.0
강북구,2023-10,4910467.0
강북구,2023-11,4904231.0
강북구,2023-12,4940914.0
강북구,2024-01,4705349.0
강북구,2024-02,4412051.0
강북구,2024-03,4996712.0
강북구,2024-04,5037674.0
강북구,2024-05,5194683.0
강북구,2024-06,4948882.0
강북구,2024-07,5153049.0
강북구,2024-08,5171476.0
강북구,2024-09,5068537.0
강북구,2024-10,5318977.0
강북구,2024-11,5238711.0
강북구,2024-12,5266874.0
