구,연월,지하철_승객_수
강남구,2021-11,478600.0
강남구,2021-12,864755.0
강남구,2022-01,11962723.0
강남구,2022-02,10049991.0
강남구,2022-03,10784807.0
강남구,2022-04,12171029.0
강남구,2022-05,13696071.0
강남구,2022-06,13444581.0
강남구,2022-07,14332638.0
강남구,2022-08,14314489.0
강남구,2022-09,12320024.0
강남구,2022-10,14330295.0
강남구,2022-11,14435905.0
강남구,2022-12,14314092.0
강남구,2023-01,13413554.0
강남구,2023-02,13786532.0
강남구,2023-03,15179879.0
강남구,2023-04,14286533.0
강남구,2023-05,14500793.0
강남구,2023-06,14556084.0
강남구,2023-07,14859551.0
강남구,2023-08,14480582.0
강남구,2023-09,13750769.0
강남구,2023-10,14204009.0
강남구,2023-11,15071593.0
강남구,2023-12,14754890.0
강남구,2024-01,14913785.0
강남구,2024-02,13390001.0
강남구,2024-03,15004608.0
강남구,2024-04,14912757.0
강남구,2024-05,14984719.0
강남구,2024-06,14199880.0
강남구,2024-07,15239291.0
강남구,2024-08,13941054.0
강남구,2024-09,13311977.0
강남구,2024-10,14853818.0
강남구,2024-11,15276701.0
강남구,2024-12,15268334.0
강남구,2025-01,12529598.0
강남구,2025-02,14062367.0
강남구,2025-03,15508755.0
강남구,2025-04,3126824.0
강동구,2021-11,132405.0
강동구,2021-12,254631.0
강동구,2022-01,3485713.0
강동구,2022-02,2963301.0
강동구,2022-03,3271783.0
강동구,2022-04,3669692.0
강동구,2022-05,3991937.0
강동구,2022-06,3801358.0
강동구,2022-07,3918686.0
강동구,2022-08,3884212.0
강동구,2022-09,3511778.0
강동구,2022-10,4060207.0
강동구,2022-11,3975328.0
강동구,2022-12,3998910.0
강동구,2023-01,3694009.0
강동구,2023-02,3762847.0
강동구,2023-03,4258083.0
강동구,2023-04,4029963.0
강동구,2023-05,4109360.0
강동구,2023-06,4036709.0
강동구,2023-07,4016552.0
강동구,2023-08,3943713.0
강동구,2023-09,3885499.0
강동구,2023-10,4069345.0
강동구,2023-11,4151962.0
강동구,2023-12,4178617.0
강동구,2024-01,4134759.0
강동구,2024-02,3761042.0
강동구,2024-03,4277684.0
강동구,2024-04,4237938.0
강동구,2024-05,4323348.0
강동구,2024-06,4056217.0
강동구,2024-07,4205097.0
강동구,2024-08,3984525.0
강동구,2024-09,3980537.0
강동구,2024-10,4462712.0
강동구,2024-11,4475250.0
강동구,2024-12,4585871.0
강동구,2025-01,3824677.0
강동구,2025-02,4227160.0
강동구,2025-03,4842689.0
강동구,2025-04,1006806.0
강북구,2021-11,87569.0
강북구,2021-12,174840.0
강북구,2022-01,2334869.0
강북구,2022-02,2018431.0
강북구,2022-03,2278077.0
강북구,2022-04,2532633.0
강북구,2022-05,2763985.0
강북구,2022-06,2575102.0
강북구,2022-07,2606828.0
강북구,2022-08,2570534.0
강북구,2022-09,2449738.0
강북구,2022-10,2796616.0
강북구,2022-11,2720654.0
강북구,2022-12,2702506.0
강북구,2023-01,2454853.0
강북구,2023-02,2477180.0
강북구,2023-03,2892953.0
강북구,2023-04,2743992.0
강북구,2023-05,2825419.0
강북구,2023-06,2700253.0
강북구,2023-07,2641295.0
강북구,2023-08,2580624.0
강북구,2023-09,2642450.0
강북구,2023-10,2770928.0
강북구,2023-11,2773482.0
강북구,2023-12,2762603.0
강북구,2024-01,2640063.0
강북구,2024-02,2435875.0
강북구,2024-03,2849124.0
강북구,2024-04,2810608.0
강북구,2024-05,2880248.0
강북구,2024-06,2662662.0
강북구,2024-07,2690227.0
강북구,2024-08,2484074.0
