구,연도,부상자수_월평균,발생건수_월평균
강남구,2005,390.17,260.5
강남구,2006,405.75,276.75
강남구,2007,403.0,275.92
강남구,2008,372.42,260.92
강남구,2009,454.58,310.25
강남구,2010,431.33,295.92
강남구,2011,432.0,296.83
강남구,2012,472.17,320.25
강남구,2013,443.83,300.83
강남구,2014,439.08,302.0
강남구,2015,473.83,330.83
강남구,2016,453.75,319.0
강남구,2017,413.25,289.08
강남구,2018,413.92,288.25
강남구,2019,431.83,310.17
강남구,2020,432.42,312.67
강남구,2021,431.25,318.33
강남구,2022,421.0,309.08
강남구,2023,435.75,327.17
강남구,2024,405.25,312.83
강남구,2025,0.0,0.0
강동구,2005,153.17,110.83
강동구,2006,146.08,105.92
강동구,2007,175.5,123.25
강동구,2008,196.0,141.0
강동구,2009,177.5,128.75
강동구,2010,162.08,117.5
강동구,2011,173.33,118.58
강동구,2012,169.08,121.5
강동구,2013,161.83,113.0
강동구,2014,167.83,120.17
강동구,2015,177.42,124.5
강동구,2016,163.08,118.83
강동구,2017,156.08,114.25
강동구,2018,160.17,118.17
강동구,2019,159.17,117.83
강동구,2020,133.33,105.67
강동구,2021,117.75,87.25
강동구,2022,129.42,95.92
강동구,2023,126.83,98.75
강동구,2024,160.08,119.0
강동구,2025,0.0,0.0
강북구,2005,133.83,94.67
강북구,2006,148.08,104.83
강북구,2007,149.33,105.25
강북구,2008,157.25,114.42
강북구,2009,162.42,116.0
강북구,2010,148.33,107.75
강북구,2011,137.33,97.83
강북구,2012,140.0,101.0
강북구,2013,127.08,92.25
강북구,2014,147.75,109.42
강북구,2015,140.33,105.42
강북구,2016,139.83,102.25
강북구,2017,130.58,100.17
강북구,2018,136.08,101.33
강북구,2019,142.17,106.42
강북구,2020,118.33,90.58
강북구,2021,108.5,84.75
강북구,2022,105.5,87.0
강북구,2023,101.42,81.0
강북구,2024,93.58,73.08
강북구,2025,0.0,0.0
강서구,2005,227.08,149.5
강서구,2006,203.08,140.58
강서구,2007,207.0,147.42
강서구,2008,234.25,171.33
강서구,2009,238.92,166.17
강서구,2010,216.17,156.0
강서구,2011,228.33,157.08
강서구,2012,214.42,147.25
강서구,2013,209.75,142.92
강서구,2014,217.83,150.5
강서구,2015,230.17,161.0
강서구,2016,185.83,140.92
강서구,2017,179.58,132.0
강서구,2018,184.0,125.17
강서구,2019,207.58,152.42
강서구,2020,177.58,131.25
강서구,2021,170.17,125.08
강서구,2022,175.67,133.83
강서구,2023,176.0,126.5
강서구,2024,166.75,128.17
강서구,2025,0.0,0.0
관악구,2005,195.75,137.0
관악구,2006,198.0,139.08
관악구,2007,216.42,153.67
관악구,2008,225.83,162.0
관악구,2009,231.5,164.92
관악구,2010,219.33,154.25
관악구,2011,199.67,144.75
관악구,2012,191.58,142.75
관악구,2013,206.83,146.08
관악구,2014,193.08,143.0
관악구,2015,177.92,135.42
관악구,2016,157.92,117.33
관악구,2017,138.25,104.25
관악구,2018,143.08,108.33
관악구,2019,146.25,113.58
관악구,2020,151.58,120.33
관악구,2021,152.42,118.25
관악구,2022,127.92,97.67
관악구,2023,104.33,81.67
관악구,2024,131.75,104.5
관악구,2025,0.0,0.0
