구,연월,발생건수,부상자수,사망자수
강남구,2005-01-01,212,330,2
강남구,2005-02-01,176,299,1
강남구,2005-03-01,225,323,2
강남구,2005-04-01,247,337,2
강남구,2005-05-01,275,404,3
강남구,2005-06-01,268,399,3
강남구,2005-07-01,299,447,3
강남구,2005-08-01,300,448,2
강남구,2005-09-01,280,422,1
강남구,2005-10-01,264,389,4
강남구,2005-11-01,249,368,2
강남구,2005-12-01,331,516,3
강남구,2006-01-01,209,330,3
강남구,2006-02-01,234,354,3
강남구,2006-03-01,229,311,1
강남구,2006-04-01,267,383,2
강남구,2006-05-01,320,471,1
강남구,2006-06-01,277,404,5
강남구,2006-07-01,321,497,5
강남구,2006-08-01,352,507,3
강남구,2006-09-01,328,470,3
강남구,2006-10-01,232,335,4
강남구,2006-11-01,300,446,5
강남구,2006-12-01,252,361,2
강남구,2007-01-01,262,394,2
강남구,2007-02-01,244,409,1
강남구,2007-03-01,294,430,2
강남구,2007-04-01,269,380,0
강남구,2007-05-01,261,366,2
강남구,2007-06-01,304,435,6
강남구,2007-07-01,288,420,4
강남구,2007-08-01,274,403,3
강남구,2007-09-01,278,414,2
강남구,2007-10-01,290,395,3
강남구,2007-11-01,277,383,4
강남구,2007-12-01,270,407,1
강남구,2008-01-01,246,379,4
강남구,2008-02-01,190,278,2
강남구,2008-03-01,249,346,0
강남구,2008-04-01,288,405,1
강남구,2008-05-01,274,378,3
강남구,2008-06-01,303,475,1
강남구,2008-07-01,308,420,7
강남구,2008-08-01,241,330,1
강남구,2008-09-01,236,330,1
강남구,2008-10-01,258,355,1
강남구,2008-11-01,279,403,3
강남구,2008-12-01,259,370,1
강남구,2009-01-01,288,443,3
강남구,2009-02-01,263,364,4
강남구,2009-03-01,293,437,2
강남구,2009-04-01,340,444,3
강남구,2009-05-01,319,472,1
강남구,2009-06-01,305,439,1
강남구,2009-07-01,311,473,0
강남구,2009-08-01,313,484,2
강남구,2009-09-01,302,427,4
강남구,2009-10-01,331,497,5
강남구,2009-11-01,336,495,1
강남구,2009-12-01,322,480,1
강남구,2010-01-01,298,455,3
강남구,2010-02-01,260,386,2
강남구,2010-03-01,320,480,1
강남구,2010-04-01,325,464,3
강남구,2010-05-01,298,405,3
강남구,2010-06-01,300,439,7
강남구,2010-07-01,330,484,4
강남구,2010-08-01,280,389,0
강남구,2010-09-01,270,406,1
강남구,2010-10-01,288,430,1
강남구,2010-11-01,300,424,3
강남구,2010-12-01,282,414,3
강남구,2011-01-01,229,331,4
강남구,2011-02-01,204,297,2
강남구,2011-03-01,260,374,1
강남구,2011-04-01,292,436,2
강남구,2011-05-01,281,398,4
강남구,2011-06-01,289,431,6
강남구,2011-07-01,350,494,2
강남구,2011-08-01,294,449,4
강남구,2011-09-01,299,417,1
강남구,2011-10-01,353,544,3
강남구,2011-11-01,333,461,5
강남구,2011-12-01,378,552,2
강남구,2012-01-01,303,463,3
강남구,2012-02-01,279,452,1
강남구,2012-03-01,341,515,3
강남구,2012-04-01,305,461,1
강남구,2012-05-01,333,485,1
강남구,2012-06-01,323,457,3
강남구,2012-07-01,363,481,4
강남구,2012-08-01,300,442,3
강남구,2012-09-01,311,448,2
강남구,2012-10-01,303,432,0
강남구,2012-11-01,348,483,2
강남구,2012-12-01,334,547,2
강남구,2013-01-01,287,444,2
강남구,2013-02-01,267,437,1
강남구,2013-03-01,304,459,3
강남구,2013-04-01,309,474,5
강남구,2013-05-01,307,456,3
강남구,2013-06-01,287,406,1
강남구,2013-07-01,331,502,1
강남구,2013-08-01,294,414,5
강남구,2013-09-01,256,370,0
강남구,2013-10-01,316,439,4
강남구,2013-11-01,337,452,3
강남구,2013-12-01,315,473,3
강남구,2014-01-01,270,360,0
강남구,2014-02-01,264,393,0
강남구,2014-03-01,300,404,4
강남구,2014-04-01,292,405,1
강남구,2014-05-01,298,426,2
강남구,2014-06-01,323,487,3
강남구,2014-07-01,326,464,1
강남구,2014-08-01,278,429,1
강남구,2014-09-01,297,424,2
강남구,2014-10-01,309,465,2
강남구,2014-11-01,334,498,1
강남구,2014-12-01,333,514,0
강남구,2015-01-01,309,453,1
강남구,2015-02-01,287,424,2
강남구,2015-03-01,345,552,5
강남구,2015-04-01,322,473,1
강남구,2015-05-01,303,438,1
강남구,2015-06-01,296,433,0
강남구,2015-07-01,377,535,0
강남구,2015-08-01,320,435,2
강남구,2015-09-01,306,411,2
강남구,2015-10-01,371,499,3
강남구,2015-11-01,360,513,1
강남구,2015-12-01,374,520,2
강남구,2016-01-01,282,420,0
강남구,2016-02-01,245,356,0
강남구,2016-03-01,325,423,3
강남구,2016-04-01,333,454,0
강남구,2016-05-01,330,447,1
강남구,2016-06-01,341,489,3
강남구,2016-07-01,354,501,1
강남구,2016-08-01,323,449,0
강남구,2016-09-01,311,442,0
강남구,2016-10-01,336,504,3
강남구,2016-11-01,318,457,0
강남구,2016-12-01,330,503,1
강남구,2017-01-01,302,464,2
강남구,2017-02-01,256,366,1
강남구,2017-03-01,296,433,3
강남구,2017-04-01,275,388,1
강남구,2017-05-01,281,405,1
강남구,2017-06-01,299,423,2
강남구,2017-07-01,296,423,0
강남구,2017-08-01,287,401,1
강남구,2017-09-01,282,390,5
강남구,2017-10-01,270,387,2
강남구,2017-11-01,302,410,1
강남구,2017-12-01,323,469,0
강남구,2018-01-01,316,456,1
강남구,2018-02-01,249,369,1
강남구,2018-03-01,278,393,3
강남구,2018-04-01,283,411,1
강남구,2018-05-01,288,404,0
강남구,2018-06-01,288,436,0
강남구,2018-07-01,326,427,2
강남구,2018-08-01,301,438,3
강남구,2018-09-01,249,356,2
강남구,2018-10-01,297,403,2
강남구,2018-11-01,292,447,2
강남구,2018-12-01,292,427,3
강남구,2019-01-01,281,412,2
강남구,2019-02-01,227,315,3
강남구,2019-03-01,280,401,2
강남구,2019-04-01,295,389,0
강남구,2019-05-01,320,484,0
강남구,2019-06-01,302,442,1
강남구,2019-07-01,326,450,0
강남구,2019-08-01,320,435,1
강남구,2019-09-01,302,389,0
강남구,2019-10-01,336,440,2
강남구,2019-11-01,383,542,2
강남구,2019-12-01,350,483,1
강남구,2020-01-01,275,393,3
강남구,2020-02-01,343,450,2
강남구,2020-03-01,265,365,1
강남구,2020-04-01,291,426,3
강남구,2020-05-01,320,441,3
강남구,2020-06-01,337,474,0
강남구,2020-07-01,396,539,0
강남구,2020-08-01,330,484,1
강남구,2020-09-01,309,432,0
강남구,2020-10-01,302,417,2
강남구,2020-11-01,315,409,2
강남구,2020-12-01,269,359,0
강남구,2021-01-01,315,433,1
강남구,2021-02-01,315,428,0
강남구,2021-03-01,299,410,0
강남구,2021-04-01,325,429,1
강남구,2021-05-01,310,422,0
강남구,2021-06-01,339,467,0
강남구,2021-07-01,322,435,1
강남구,2021-08-01,301,412,2
강남구,2021-09-01,306,390,1
강남구,2021-10-01,330,453,1
강남구,2021-11-01,336,468,0
강남구,2021-12-01,322,428,3
강남구,2022-01-01,339,448,0
강남구,2022-02-01,221,322,1
강남구,2022-03-01,244,326,3
강남구,2022-04-01,327,455,1
강남구,2022-05-01,319,457,3
강남구,2022-06-01,322,428,1
강남구,2022-07-01,360,476,1
강남구,2022-08-01,307,431,1
강남구,2022-09-01,304,421,1
강남구,2022-10-01,343,452,0
강남구,2022-11-01,331,439,2
강남구,2022-12-01,292,397,2
강남구,2023-01-01,293,408,0
강남구,2023-02-01,283,367,1
강남구,2023-03-01,330,438,1
강남구,2023-04-01,347,486,1
강남구,2023-05-01,315,420,0
강남구,2023-06-01,313,433,0
강남구,2023-07-01,344,465,1
강남구,2023-08-01,324,429,0
강남구,2023-09-01,315,401,1
강남구,2023-10-01,341,449,0
강남구,2023-11-01,358,446,1
강남구,2023-12-01,363,487,1
강남구,2024-01-01,287,379,1
강남구,2024-02-01,269,360,2
강남구,2024-03-01,293,406,0
강남구,2024-04-01,320,426,0
강남구,2024-05-01,290,356,2
