자치구,연도,사고유형,발생건수,부상자수,사망자수
강남구,2005,차대사람,544,565,13
강남구,2005,차대차,2546,4075,12
강남구,2005,차량단독,36,42,3
강남구,2005,합계,3126,4682,28
강남구,2006,차대사람,581,608,15
강남구,2006,차대차,2704,4224,15
강남구,2006,차량단독,36,37,7
강남구,2006,합계,3321,4869,37
강남구,2007,차대사람,632,660,12
강남구,2007,차대차,2636,4125,15
강남구,2007,차량단독,43,51,3
강남구,2007,합계,3311,4836,30
강남구,2008,차대사람,663,691,12
강남구,2008,차대차,2431,3733,12
강남구,2008,차량단독,37,45,1
강남구,2008,합계,3131,4469,25
강남구,2009,차대사람,781,810,14
강남구,2009,차대차,2857,4547,9
강남구,2009,차량단독,85,98,4
강남구,2009,합계,3723,5455,27
강남구,2010,차대사람,740,769,12
강남구,2010,차대차,2745,4340,11
강남구,2010,차량단독,66,67,8
강남구,2010,합계,3551,5176,31
강남구,2011,차대사람,807,852,17
강남구,2011,차대차,2669,4229,14
강남구,2011,차량단독,86,103,5
강남구,2011,합계,3562,5184,36
강남구,2012,차대사람,876,941,15
강남구,2012,차대차,2867,4618,8
강남구,2012,차량단독,100,107,2
강남구,2012,합계,3843,5666,25
강남구,2013,차대사람,821,861,16
강남구,2013,차대차,2706,4366,13
강남구,2013,차량단독,83,99,2
강남구,2013,합계,3610,5326,31
강남구,2014,차대사람,876,919,14
강남구,2014,차대차,2639,4206,3
강남구,2014,차량단독,109,144,-
강남구,2014,합계,3624,5269,17
강남구,2015,차대사람,918,950,10
강남구,2015,차대차,2962,4635,6
강남구,2015,차량단독,90,101,4
강남구,2015,합계,3970,5686,20
강남구,2016,차대사람,876,933,3
강남구,2016,차대차,2883,4421,8
강남구,2016,차량단독,69,91,1
강남구,2016,합계,3828,5445,12
강남구,2017,차대사람,810,857,7
강남구,2017,차대차,2590,4026,11
강남구,2017,차량단독,69,76,1
강남구,2017,합계,3469,4959,19
강남구,2018,차대사람,749,783,9
강남구,2018,차대차,2639,4098,10
강남구,2018,차량단독,71,86,1
강남구,2018,합계,3459,4967,20
강남구,2019,차대사람,825,860,7
강남구,2019,차대차,2832,4246,6
강남구,2019,차량단독,65,76,1
강남구,2019,합계,3722,5182,14
강남구,2020,차대사람,721,753,8
강남구,2020,차대차,2964,4364,7
강남구,2020,차량단독,67,72,2
강남구,2020,합계,3752,5189,17
강남구,2021,차대사람,659,687,6
강남구,2021,차대차,3103,4427,2
강남구,2021,차량단독,58,61,2
강남구,2021,합계,3820,5175,10
강남구,2022,차대사람,771,786,7
강남구,2022,차대차,2879,4196,9
강남구,2022,차량단독,59,70,-
강남구,2022,합계,3709,5052,16
강남구,2023,차대사람,801,848,5
강남구,2023,차대차,3057,4303,2
강남구,2023,차량단독,68,78,-
강남구,2023,합계,3926,5229,7
강동구,2005,차대사람,388,396,6
강동구,2005,차대차,922,1420,11
강동구,2005,차량단독,20,22,2
강동구,2005,합계,1330,1838,19
강동구,2006,차대사람,351,363,7
강동구,2006,차대차,892,1355,7
강동구,2006,차량단독,28,35,2
강동구,2006,합계,1271,1753,16
강동구,2007,차대사람,413,438,7
강동구,2007,차대차,1036,1627,7
강동구,2007,차량단독,30,41,5
강동구,2007,합계,1479,2106,19
강동구,2008,차대사람,490,505,7
강동구,2008,차대차,1164,1802,1
강동구,2008,차량단독,38,45,5
강동구,2008,합계,1692,2352,13
강동구,2009,차대사람,434,448,5
강동구,2009,차대차,1060,1625,15
강동구,2009,차량단독,51,57,2
강동구,2009,합계,1545,2130,22
강동구,2010,차대사람,410,440,8
강동구,2010,차대차,967,1456,5
강동구,2010,차량단독,33,49,1
강동구,2010,합계,1410,1945,14
강동구,2011,차대사람,425,450,5
강동구,2011,차대차,966,1593,7
강동구,2011,차량단독,32,37,1
강동구,2011,합계,1423,2080,13
강동구,2012,차대사람,438,443,10
강동구,2012,차대차,970,1518,7
강동구,2012,차량단독,50,68,1
강동구,2012,합계,1458,2029,18
강동구,2013,차대사람,402,426,4
강동구,2013,차대차,915,1472,4
강동구,2013,차량단독,39,44,4
강동구,2013,합계,1356,1942,12
강동구,2014,차대사람,452,467,7
강동구,2014,차대차,963,1515,6
강동구,2014,차량단독,27,32,1
강동구,2014,합계,1442,2014,14
강동구,2015,차대사람,479,489,14
강동구,2015,차대차,963,1583,7
강동구,2015,차량단독,52,57,2
강동구,2015,합계,1494,2129,23
강동구,2016,차대사람,426,430,11
강동구,2016,차대차,959,1485,4
강동구,2016,차량단독,41,42,2
강동구,2016,합계,1426,1957,17
강동구,2017,차대사람,427,457,11
강동구,2017,차대차,906,1366,8
강동구,2017,차량단독,38,50,-
강동구,2017,합계,1371,1873,19
강동구,2018,차대사람,394,406,8
강동구,2018,차대차,978,1461,4
강동구,2018,차량단독,46,55,-
강동구,2018,합계,1418,1922,12
강동구,2019,차대사람,437,454,7
강동구,2019,차대차,944,1420,4
강동구,2019,차량단독,33,36,-
강동구,2019,합계,1414,1910,11
강동구,2020,차대사람,342,352,3
강동구,2020,차대차,890,1207,4
강동구,2020,차량단독,36,41,-
강동구,2020,합계,1268,1600,7
강동구,2021,차대사람,242,241,7
강동구,2021,차대차,788,1152,2
강동구,2021,차량단독,17,20,-
강동구,2021,합계,1047,1413,9
강동구,2022,차대사람,262,265,3
강동구,2022,차대차,865,1259,2
강동구,2022,차량단독,24,29,2
강동구,2022,합계,1151,1553,7
강동구,2023,차대사람,291,306,-
강동구,2023,차대차,873,1193,3
강동구,2023,차량단독,21,23,1
강동구,2023,합계,1185,1522,4
강북구,2005,차대사람,363,386,10
강북구,2005,차대차,753,1199,6
강북구,2005,차량단독,20,21,2
강북구,2005,합계,1136,1606,18
강북구,2006,차대사람,393,415,4
강북구,2006,차대차,839,1334,3
강북구,2006,차량단독,26,28,-
강북구,2006,합계,1258,1777,7
강북구,2007,차대사람,384,412,8
강북구,2007,차대차,845,1342,3
강북구,2007,차량단독,34,38,-
강북구,2007,합계,1263,1792,11
강북구,2008,차대사람,403,421,7
강북구,2008,차대차,916,1407,4
강북구,2008,차량단독,54,59,1
강북구,2008,합계,1373,1887,12
강북구,2009,차대사람,439,466,5
강북구,2009,차대차,914,1439,14
강북구,2009,차량단독,39,44,1
강북구,2009,합계,1392,1949,20
강북구,2010,차대사람,446,474,11
강북구,2010,차대차,813,1268,4
강북구,2010,차량단독,34,38,1
강북구,2010,합계,1293,1780,16
강북구,2011,차대사람,362,392,3
강북구,2011,차대차,784,1224,3
강북구,2011,차량단독,28,32,1
강북구,2011,합계,1174,1648,7
강북구,2012,차대사람,379,397,5
강북구,2012,차대차,784,1227,2
강북구,2012,차량단독,49,56,2
강북구,2012,합계,1212,1680,9
강북구,2013,차대사람,399,417,7
강북구,2013,차대차,678,1072,2
강북구,2013,차량단독,30,36,1
강북구,2013,합계,1107,1525,10
강북구,2014,차대사람,423,437,8
강북구,2014,차대차,842,1284,4
강북구,2014,차량단독,48,52,-
강북구,2014,합계,1313,1773,12
강북구,2015,차대사람,429,456,10
강북구,2015,차대차,787,1172,6
강북구,2015,차량단독,49,56,-
강북구,2015,합계,1265,1684,16
강북구,2016,차대사람,398,419,8
강북구,2016,차대차,784,1208,5
강북구,2016,차량단독,45,51,2
강북구,2016,합계,1227,1678,15
강북구,2017,차대사람,431,454,5
강북구,2017,차대차,732,1070,4
강북구,2017,차량단독,39,43,-
강북구,2017,합계,1202,1567,9
강북구,2018,차대사람,396,408,9
강북구,2018,차대차,778,1182,2
강북구,2018,차량단독,42,43,2
강북구,2018,합계,1216,1633,13
강북구,2019,차대사람,398,416,2
강북구,2019,차대차,827,1237,5
강북구,2019,차량단독,52,53,-
강북구,2019,합계,1277,1706,7
강북구,2020,차대사람,272,290,1
강북구,2020,차대차,776,1085,2
강북구,2020,차량단독,39,45,-
강북구,2020,합계,1087,1420,3
강북구,2021,차대사람,259,269,5
강북구,2021,차대차,730,1000,1
강북구,2021,차량단독,28,33,-
강북구,2021,합계,1017,1302,6
강북구,2022,차대사람,321,328,6
강북구,2022,차대차,676,888,-
강북구,2022,차량단독,47,50,-
강북구,2022,합계,1044,1266,6
강북구,2023,차대사람,286,296,4
강북구,2023,차대차,645,879,1
강북구,2023,차량단독,41,42,-
강북구,2023,합계,972,1217,5
강서구,2005,차대사람,466,485,8
강서구,2005,차대차,1286,2180,6
강서구,2005,차량단독,42,60,5
강서구,2005,합계,1794,2725,19
강서구,2006,차대사람,413,426,12
강서구,2006,차대차,1218,1941,11
강서구,2006,차량단독,56,70,1
강서구,2006,합계,1687,2437,24
강서구,2007,차대사람,472,495,11
강서구,2007,차대차,1251,1940,7
강서구,2007,차량단독,46,49,1
강서구,2007,합계,1769,2484,19
강서구,2008,차대사람,541,565,8
강서구,2008,차대차,1447,2171,13
강서구,2008,차량단독,68,75,1
강서구,2008,합계,2056,2811,22
강서구,2009,차대사람,535,567,7
강서구,2009,차대차,1402,2233,5
강서구,2009,차량단독,57,67,3
강서구,2009,합계,1994,2867,15
강서구,2010,차대사람,554,586,11
강서구,2010,차대차,1255,1939,6
강서구,2010,차량단독,63,69,4
강서구,2010,합계,1872,2594,21
강서구,2011,차대사람,553,570,5
강서구,2011,차대차,1262,2093,6
강서구,2011,차량단독,70,77,5
강서구,2011,합계,1885,2740,16
강서구,2012,차대사람,495,512,14
강서구,2012,차대차,1191,1976,4
강서구,2012,차량단독,81,85,7
강서구,2012,합계,1767,2573,25
강서구,2013,차대사람,506,523,15
강서구,2013,차대차,1118,1861,9
강서구,2013,차량단독,91,133,2
강서구,2013,합계,1715,2517,26
강서구,2014,차대사람,505,516,15
강서구,2014,차대차,1229,2010,15
강서구,2014,차량단독,72,88,2
강서구,2014,합계,1806,2614,32
강서구,2015,차대사람,531,549,7
강서구,2015,차대차,1329,2130,4
강서구,2015,차량단독,72,83,1
강서구,2015,합계,1932,2762,12
강서구,2016,차대사람,471,489,6
강서구,2016,차대차,1139,1638,6
강서구,2016,차량단독,81,103,1
강서구,2016,합계,1691,2230,13
강서구,2017,차대사람,402,417,6
강서구,2017,차대차,1125,1676,5
강서구,2017,차량단독,57,62,1
강서구,2017,합계,1584,2155,12
강서구,2018,차대사람,387,413,5
강서구,2018,차대차,1052,1713,6
강서구,2018,차량단독,63,82,-
강서구,2018,합계,1502,2208,11
강서구,2019,차대사람,469,482,13
강서구,2019,차대차,1298,1926,7
강서구,2019,차량단독,62,83,-
강서구,2019,합계,1829,2491,20
강서구,2020,차대사람,346,355,8
강서구,2020,차대차,1179,1717,9
강서구,2020,차량단독,50,59,-
강서구,2020,합계,1575,2131,17
강서구,2021,차대사람,340,356,7
강서구,2021,차대차,1121,1639,6
강서구,2021,차량단독,40,47,-
강서구,2021,합계,1501,2042,13
강서구,2022,차대사람,386,405,9
강서구,2022,차대차,1178,1656,4
강서구,2022,차량단독,42,47,2
강서구,2022,합계,1606,2108,15
강서구,2023,차대사람,330,339,4
강서구,2023,차대차,1153,1739,4
강서구,2023,차량단독,35,34,1
강서구,2023,합계,1518,2112,9
관악구,2005,차대사람,448,464,15
관악구,2005,차대차,1149,1827,8
관악구,2005,차량단독,47,58,2
관악구,2005,합계,1644,2349,25
관악구,2006,차대사람,452,478,2
관악구,2006,차대차,1181,1860,7
관악구,2006,차량단독,36,38,3
관악구,2006,합계,1669,2376,12
관악구,2007,차대사람,502,527,9
관악구,2007,차대차,1297,2011,6
관악구,2007,차량단독,45,59,3
관악구,2007,합계,1844,2597,18
관악구,2008,차대사람,540,567,8
관악구,2008,차대차,1337,2066,2
관악구,2008,차량단독,67,77,3
관악구,2008,합계,1944,2710,13
관악구,2009,차대사람,571,603,7
관악구,2009,차대차,1342,2097,6
관악구,2009,차량단독,66,78,1
관악구,2009,합계,1979,2778,14
관악구,2010,차대사람,557,579,11
관악구,2010,차대차,1238,1991,2
관악구,2010,차량단독,56,62,3
관악구,2010,합계,1851,2632,16
관악구,2011,차대사람,503,524,10
관악구,2011,차대차,1170,1800,4
관악구,2011,차량단독,64,72,3
관악구,2011,합계,1737,2396,17
관악구,2012,차대사람,520,528,10
관악구,2012,차대차,1131,1707,6
관악구,2012,차량단독,62,64,4
관악구,2012,합계,1713,2299,20
관악구,2013,차대사람,537,548,13
관악구,2013,차대차,1151,1854,7
관악구,2013,차량단독,65,80,-
관악구,2013,합계,1753,2482,20
관악구,2014,차대사람,515,540,9
관악구,2014,차대차,1125,1689,10
관악구,2014,차량단독,76,88,3
관악구,2014,합계,1716,2317,22
관악구,2015,차대사람,513,543,9
관악구,2015,차대차,1057,1529,3
관악구,2015,차량단독,55,63,-
관악구,2015,합계,1625,2135,12
관악구,2016,차대사람,425,447,13
관악구,2016,차대차,932,1366,5
관악구,2016,차량단독,51,82,1
관악구,2016,합계,1408,1895,19
관악구,2017,차대사람,368,381,10
관악구,2017,차대차,851,1242,1
관악구,2017,차량단독,32,36,-
관악구,2017,합계,1251,1659,11
관악구,2018,차대사람,354,370,7
관악구,2018,차대차,904,1298,-
관악구,2018,차량단독,42,49,1
관악구,2018,합계,1300,1717,8
관악구,2019,차대사람,352,361,6
관악구,2019,차대차,964,1343,4
관악구,2019,차량단독,47,51,-
관악구,2019,합계,1363,1755,10
관악구,2020,차대사람,329,339,7
관악구,2020,차대차,1087,1452,4
관악구,2020,차량단독,28,28,2
관악구,2020,합계,1444,1819,13
관악구,2021,차대사람,315,329,5
관악구,2021,차대차,1064,1451,3
관악구,2021,차량단독,40,49,-
관악구,2021,합계,1419,1829,8
관악구,2022,차대사람,283,297,7
관악구,2022,차대차,851,1195,2
관악구,2022,차량단독,38,43,-
관악구,2022,합계,1172,1535,9
관악구,2023,차대사람,286,305,4
관악구,2023,차대차,671,924,6
관악구,2023,차량단독,23,23,-
관악구,2023,합계,980,1252,10
광진구,2005,차대사람,344,358,11
광진구,2005,차대차,1195,1897,9
광진구,2005,차량단독,25,27,1
광진구,2005,합계,1564,2282,21
광진구,2006,차대사람,314,344,6
광진구,2006,차대차,1258,1959,4
광진구,2006,차량단독,28,35,1
광진구,2006,합계,1600,2338,11
광진구,2007,차대사람,396,408,9
광진구,2007,차대차,1250,1942,6
광진구,2007,차량단독,29,46,2
광진구,2007,합계,1675,2396,17
광진구,2008,차대사람,355,370,8
