district,year,metric,value
강남구,2005,인구 10만명당 부상자수 (명),854.7
강남구,2005,인구 10만명당 사망자수 (명),5.1
강남구,2005,자동차 1만대당 발생건수 (건),128.9
강남구,2006,인구 10만명당 부상자수 (명),862.3
강남구,2006,인구 10만명당 사망자수 (명),6.6
강남구,2006,자동차 1만대당 발생건수 (건),132.3
강남구,2007,인구 10만명당 부상자수 (명),849.6
강남구,2007,인구 10만명당 사망자수 (명),5.3
강남구,2007,자동차 1만대당 발생건수 (건),128.6
강남구,2008,인구 10만명당 부상자수 (명),790.1
강남구,2008,인구 10만명당 사망자수 (명),4.4
강남구,2008,자동차 1만대당 발생건수 (건),120.8
강남구,2009,인구 10만명당 부상자수 (명),957.9
강남구,2009,인구 10만명당 사망자수 (명),4.7
강남구,2009,자동차 1만대당 발생건수 (건),143.1
강남구,2010,인구 10만명당 부상자수 (명),896.9
강남구,2010,인구 10만명당 사망자수 (명),5.4
강남구,2010,자동차 1만대당 발생건수 (건),131.9
강남구,2011,인구 10만명당 부상자수 (명),904.7
강남구,2011,인구 10만명당 사망자수 (명),6.3
강남구,2011,자동차 1만대당 발생건수 (건),136.1
강남구,2012,인구 10만명당 부상자수 (명),994.0
강남구,2012,인구 10만명당 사망자수 (명),4.4
강남구,2012,자동차 1만대당 발생건수 (건),151.4
강남구,2013,인구 10만명당 부상자수 (명),935.8
강남구,2013,인구 10만명당 사망자수 (명),5.4
강남구,2013,자동차 1만대당 발생건수 (건),143.2
강남구,2014,인구 10만명당 부상자수 (명),903.1
강남구,2014,인구 10만명당 사망자수 (명),2.9
강남구,2014,자동차 1만대당 발생건수 (건),140.3
강남구,2015,인구 10만명당 부상자수 (명),977.4
강남구,2015,인구 10만명당 사망자수 (명),3.4
강남구,2015,자동차 1만대당 발생건수 (건),151.8
강남구,2016,인구 10만명당 부상자수 (명),951.7
강남구,2016,인구 10만명당 사망자수 (명),2.1
강남구,2016,자동차 1만대당 발생건수 (건),147.3
강남구,2017,인구 10만명당 부상자수 (명),883.9
강남구,2017,인구 10만명당 사망자수 (명),3.4
강남구,2017,자동차 1만대당 발생건수 (건),136.0
강남구,2018,인구 10만명당 부상자수 (명),907.3
강남구,2018,인구 10만명당 사망자수 (명),3.7
강남구,2018,자동차 1만대당 발생건수 (건),137.2
강남구,2019,인구 10만명당 부상자수 (명),941.8
강남구,2019,인구 10만명당 사망자수 (명),2.5
강남구,2019,자동차 1만대당 발생건수 (건),147.4
강남구,2020,인구 10만명당 부상자수 (명),953.8
강남구,2020,인구 10만명당 사망자수 (명),3.1
강남구,2020,자동차 1만대당 발생건수 (건),147.5
강남구,2021,인구 10만명당 부상자수 (명),962.3
강남구,2021,인구 10만명당 사망자수 (명),1.9
강남구,2021,자동차 1만대당 발생건수 (건),149.1
강남구,2022,인구 10만명당 부상자수 (명),945.9
