district,year,metric,value
강남구,2005,발생건수 (건),3126.0
강남구,2005,부상자수 (명),4682.0
강남구,2005,사망자수 (명),28.0
강남구,2005,인구 10만명당 부상자수 (명),854.7
강남구,2005,인구 10만명당 사망자수 (명),5.1
강남구,2005,자동차 1만대당 발생건수 (건),128.9
강남구,2006,발생건수 (건),3321.0
강남구,2006,부상자수 (명),4869.0
강남구,2006,사망자수 (명),37.0
강남구,2006,인구 10만명당 부상자수 (명),862.3
강남구,2006,인구 10만명당 사망자수 (명),6.6
강남구,2006,자동차 1만대당 발생건수 (건),132.3
강남구,2007,발생건수 (건),3311.0
강남구,2007,부상자수 (명),4836.0
강남구,2007,사망자수 (명),30.0
강남구,2007,인구 10만명당 부상자수 (명),849.6
강남구,2007,인구 10만명당 사망자수 (명),5.3
강남구,2007,자동차 1만대당 발생건수 (건),128.6
강남구,2008,발생건수 (건),3131.0
강남구,2008,부상자수 (명),4469.0
강남구,2008,사망자수 (명),25.0
강남구,2008,인구 10만명당 부상자수 (명),790.1
강남구,2008,인구 10만명당 사망자수 (명),4.4
강남구,2008,자동차 1만대당 발생건수 (건),120.8
강남구,2009,발생건수 (건),3723.0
강남구,2009,부상자수 (명),5455.0
강남구,2009,사망자수 (명),27.0
강남구,2009,인구 10만명당 부상자수 (명),957.9
강남구,2009,인구 10만명당 사망자수 (명),4.7
강남구,2009,자동차 1만대당 발생건수 (건),143.1
강남구,2010,발생건수 (건),3551.0
강남구,2010,부상자수 (명),5176.0
강남구,2010,사망자수 (명),31.0
강남구,2010,인구 10만명당 부상자수 (명),896.9
강남구,2010,인구 10만명당 사망자수 (명),5.4
강남구,2010,자동차 1만대당 발생건수 (건),131.9
강남구,2011,발생건수 (건),3562.0
강남구,2011,부상자수 (명),5184.0
강남구,2011,사망자수 (명),36.0
강남구,2011,인구 10만명당 부상자수 (명),904.7
강남구,2011,인구 10만명당 사망자수 (명),6.3
강남구,2011,자동차 1만대당 발생건수 (건),136.1
강남구,2012,발생건수 (건),3843.0
강남구,2012,부상자수 (명),5666.0
강남구,2012,사망자수 (명),25.0
강남구,2012,인구 10만명당 부상자수 (명),994.0
강남구,2012,인구 10만명당 사망자수 (명),4.4
강남구,2012,자동차 1만대당 발생건수 (건),151.4
강남구,2013,발생건수 (건),3610.0
강남구,2013,부상자수 (명),5326.0
강남구,2013,사망자수 (명),31.0
강남구,2013,인구 10만명당 부상자수 (명),935.8
강남구,2013,인구 10만명당 사망자수 (명),5.4
강남구,2013,자동차 1만대당 발생건수 (건),143.2
강남구,2014,발생건수 (건),3624.0
강남구,2014,부상자수 (명),5269.0
강남구,2014,사망자수 (명),17.0
강남구,2014,인구 10만명당 부상자수 (명),903.1
강남구,2014,인구 10만명당 사망자수 (명),2.9
강남구,2014,자동차 1만대당 발생건수 (건),140.3
강남구,2015,발생건수 (건),3970.0
강남구,2015,부상자수 (명),5686.0
강남구,2015,사망자수 (명),20.0
강남구,2015,인구 10만명당 부상자수 (명),977.4
강남구,2015,인구 10만명당 사망자수 (명),3.4
강남구,2015,자동차 1만대당 발생건수 (건),151.8
강남구,2016,발생건수 (건),3828.0
강남구,2016,부상자수 (명),5445.0
강남구,2016,사망자수 (명),12.0
강남구,2016,인구 10만명당 부상자수 (명),951.7
강남구,2016,인구 10만명당 사망자수 (명),2.1
강남구,2016,자동차 1만대당 발생건수 (건),147.3
강남구,2017,발생건수 (건),3469.0
강남구,2017,부상자수 (명),4959.0
강남구,2017,사망자수 (명),19.0
강남구,2017,인구 10만명당 부상자수 (명),883.9
강남구,2017,인구 10만명당 사망자수 (명),3.4
강남구,2017,자동차 1만대당 발생건수 (건),136.0
강남구,2018,발생건수 (건),3459.0
강남구,2018,부상자수 (명),4967.0
강남구,2018,사망자수 (명),20.0
강남구,2018,인구 10만명당 부상자수 (명),907.3
강남구,2018,인구 10만명당 사망자수 (명),3.7
강남구,2018,자동차 1만대당 발생건수 (건),137.2
강남구,2019,발생건수 (건),3722.0
강남구,2019,부상자수 (명),5182.0
강남구,2019,사망자수 (명),14.0
강남구,2019,인구 10만명당 부상자수 (명),941.8
강남구,2019,인구 10만명당 사망자수 (명),2.5
강남구,2019,자동차 1만대당 발생건수 (건),147.4
강남구,2020,발생건수 (건),3752.0
강남구,2020,부상자수 (명),5189.0
강남구,2020,사망자수 (명),17.0
강남구,2020,인구 10만명당 부상자수 (명),953.8
강남구,2020,인구 10만명당 사망자수 (명),3.1
강남구,2020,자동차 1만대당 발생건수 (건),147.5
강남구,2021,발생건수 (건),3820.0
강남구,2021,부상자수 (명),5175.0
강남구,2021,사망자수 (명),10.0
강남구,2021,인구 10만명당 부상자수 (명),962.3
강남구,2021,인구 10만명당 사망자수 (명),1.9
강남구,2021,자동차 1만대당 발생건수 (건),149.1
강남구,2022,발생건수 (건),3709.0
강남구,2022,부상자수 (명),5052.0
강남구,2022,사망자수 (명),16.0
강남구,2022,인구 10만명당 부상자수 (명),945.9
강남구,2022,인구 10만명당 사망자수 (명),3.0
강남구,2022,자동차 1만대당 발생건수 (건),140.0
강남구,2023,발생건수 (건),3926.0
강남구,2023,부상자수 (명),5229.0
강남구,2023,사망자수 (명),7.0
강남구,2023,인구 10만명당 부상자수 (명),950.2
강남구,2023,인구 10만명당 사망자수 (명),1.3
강남구,2023,자동차 1만대당 발생건수 (건),145.7
강동구,2005,발생건수 (건),1330.0
강동구,2005,부상자수 (명),1838.0
강동구,2005,사망자수 (명),19.0
강동구,2005,인구 10만명당 부상자수 (명),393.9
강동구,2005,인구 10만명당 사망자수 (명),4.1
강동구,2005,자동차 1만대당 발생건수 (건),93.7
강동구,2006,발생건수 (건),1271.0
강동구,2006,부상자수 (명),1753.0
강동구,2006,사망자수 (명),16.0
강동구,2006,인구 10만명당 부상자수 (명),376.8
강동구,2006,인구 10만명당 사망자수 (명),3.4
강동구,2006,자동차 1만대당 발생건수 (건),89.1
강동구,2007,발생건수 (건),1479.0
강동구,2007,부상자수 (명),2106.0
강동구,2007,사망자수 (명),19.0
강동구,2007,인구 10만명당 부상자수 (명),449.0
강동구,2007,인구 10만명당 사망자수 (명),4.1
강동구,2007,자동차 1만대당 발생건수 (건),102.3
강동구,2008,발생건수 (건),1692.0
강동구,2008,부상자수 (명),2352.0
강동구,2008,사망자수 (명),13.0
강동구,2008,인구 10만명당 부상자수 (명),496.2
강동구,2008,인구 10만명당 사망자수 (명),2.7
강동구,2008,자동차 1만대당 발생건수 (건),116.0
강동구,2009,발생건수 (건),1545.0
강동구,2009,부상자수 (명),2130.0
강동구,2009,사망자수 (명),22.0
강동구,2009,인구 10만명당 부상자수 (명),435.0
강동구,2009,인구 10만명당 사망자수 (명),4.5
강동구,2009,자동차 1만대당 발생건수 (건),101.0
강동구,2010,발생건수 (건),1410.0
강동구,2010,부상자수 (명),1945.0
강동구,2010,사망자수 (명),14.0
강동구,2010,인구 10만명당 부상자수 (명),391.4
