구,연도,용도,발생건수,사상자수
강남구,2017,버스계,96,146
강남구,2017,승용계,2812,4122
강남구,2017,화물,60,90
강남구,2018,버스계,81,120
강남구,2018,승용계,2835,4181
강남구,2018,화물,49,63
강남구,2019,버스계,104,132
강남구,2019,승용계,2888,4155
강남구,2019,화물,63,88
강남구,2020,버스계,84,103
강남구,2020,승용계,2774,3993
강남구,2020,화물,70,88
강남구,2021,버스계,101,127
강남구,2021,승용계,2783,3880
강남구,2021,화물,76,104
강남구,2022,버스계,113,172
강남구,2022,승용계,2769,3880
강남구,2022,화물,74,102
강남구,2023,버스계,140,198
강남구,2023,승용계,2953,4029
강남구,2023,화물,77,98
강동구,2017,버스계,66,107
강동구,2017,승용계,872,1236
강동구,2017,화물,44,72
강동구,2018,버스계,76,124
강동구,2018,승용계,917,1307
강동구,2018,화물,40,50
강동구,2019,버스계,88,122
강동구,2019,승용계,866,1198
강동구,2019,화물,40,73
강동구,2020,버스계,62,87
강동구,2020,승용계,774,980
강동구,2020,화물,32,49
강동구,2021,버스계,41,58
강동구,2021,승용계,658,929
강동구,2021,화물,39,55
강동구,2022,버스계,45,56
강동구,2022,승용계,761,1065
강동구,2022,화물,47,71
강동구,2023,버스계,73,87
강동구,2023,승용계,782,1036
강동구,2023,화물,34,48
강북구,2017,버스계,75,78
강북구,2017,승용계,710,951
강북구,2017,화물,19,26
강북구,2018,버스계,82,95
강북구,2018,승용계,746,1013
강북구,2018,화물,16,21
강북구,2019,버스계,93,118
강북구,2019,승용계,752,1065
강북구,2019,화물,26,34
강북구,2020,버스계,66,82
강북구,2020,승용계,622,835
강북구,2020,화물,19,29
강북구,2021,버스계,72,91
강북구,2021,승용계,555,728
강북구,2021,화물,17,22
강북구,2022,버스계,92,106
강북구,2022,승용계,608,758
강북구,2022,화물,27,31
강북구,2023,버스계,88,104
강북구,2023,승용계,564,721
강북구,2023,화물,21,25
강서구,2017,버스계,96,124
강서구,2017,승용계,1016,1462
강서구,2017,화물,29,38
강서구,2018,버스계,106,193
강서구,2018,승용계,990,1482
강서구,2018,화물,24,33
강서구,2019,버스계,121,192
강서구,2019,승용계,1155,1599
강서구,2019,화물,38,55
강서구,2020,버스계,74,110
강서구,2020,승용계,965,1362
강서구,2020,화물,42,59
강서구,2021,버스계,68,92
강서구,2021,승용계,885,1275
강서구,2021,화물,41,59
강서구,2022,버스계,100,121
강서구,2022,승용계,965,1332
강서구,2022,화물,41,59
강서구,2023,버스계,93,133
강서구,2023,승용계,981,1430
강서구,2023,화물,43,60
관악구,2017,버스계,67,86
관악구,2017,승용계,800,1110
관악구,2017,화물,20,24
관악구,2018,버스계,78,95
관악구,2018,승용계,877,1206
관악구,2018,화물,22,25
관악구,2019,버스계,90,107
관악구,2019,승용계,863,1136
관악구,2019,화물,26,33
관악구,2020,버스계,68,78
관악구,2020,승용계,915,1189
관악구,2020,화물,37,41
관악구,2021,버스계,88,125
관악구,2021,승용계,889,1147
관악구,2021,화물,25,30
관악구,2022,버스계,85,118
관악구,2022,승용계,727,973
관악구,2022,화물,28,34
관악구,2023,버스계,74,87
관악구,2023,승용계,583,789
관악구,2023,화물,16,24
광진구,2017,버스계,50,61
광진구,2017,승용계,686,1007
광진구,2017,화물,21,33
광진구,2018,버스계,37,54
광진구,2018,승용계,752,1037
광진구,2018,화물,12,21
광진구,2019,버스계,41,64
광진구,2019,승용계,642,905
광진구,2019,화물,22,29
광진구,2020,버스계,23,36
광진구,2020,승용계,557,776
광진구,2020,화물,23,31
광진구,2021,버스계,48,57
광진구,2021,승용계,526,745
광진구,2021,화물,24,28
광진구,2022,버스계,28,47
광진구,2022,승용계,445,645
광진구,2022,화물,8,9
광진구,2023,버스계,27,28
광진구,2023,승용계,476,624
광진구,2023,화물,13,19
구로구,2017,버스계,82,99
구로구,2017,승용계,897,1286
구로구,2017,화물,35,47
구로구,2018,버스계,91,116
구로구,2018,승용계,963,1384
구로구,2018,화물,41,52
구로구,2019,버스계,91,120
구로구,2019,승용계,939,1361
구로구,2019,화물,40,46
구로구,2020,버스계,87,105
구로구,2020,승용계,831,1194
구로구,2020,화물,30,40
구로구,2021,버스계,83,108
구로구,2021,승용계,818,1077
구로구,2021,화물,39,43
구로구,2022,버스계,97,128
구로구,2022,승용계,757,1039
