연월,구,대중교통_승객_수
2021-11-01,양천구,251311
2021-11-01,강북구,253895
2021-11-01,강서구,377056
2021-11-01,관악구,497532
2021-11-01,광진구,270225
2021-11-01,구로구,357031
2021-11-01,금천구,207174
2021-11-01,노원구,322985
2021-11-01,도봉구,194451
2021-11-01,동대문구,275057
2021-11-01,동작구,333615
2021-11-01,강동구,253891
2021-11-01,마포구,432535
2021-11-01,서초구,582748
2021-11-01,성동구,293298
2021-11-01,성북구,342344
2021-11-01,송파구,493908
2021-11-01,영등포구,479452
2021-11-01,용산구,239455
2021-11-01,은평구,324566
2021-11-01,종로구,444271
2021-11-01,중구,469470
2021-11-01,중랑구,233301
2021-11-01,서대문구,288313
2021-11-01,강남구,804618
2021-12-01,강남구,1461189
2021-12-01,중구,914239
2021-12-01,강동구,480712
2021-12-01,강북구,511993
2021-12-01,강서구,718268
2021-12-01,관악구,966487
2021-12-01,광진구,553290
2021-12-01,구로구,674731
2021-12-01,금천구,388319
2021-12-01,노원구,615631
2021-12-01,도봉구,380561
2021-12-01,중랑구,445813
2021-12-01,동작구,637618
2021-12-01,동대문구,548410
2021-12-01,서대문구,552496
2021-12-01,서초구,1075956
2021-12-01,성동구,553831
2021-12-01,성북구,648775
2021-12-01,송파구,955707
2021-12-01,양천구,483933
2021-12-01,영등포구,901941
2021-12-01,용산구,471742
2021-12-01,은평구,629975
2021-12-01,종로구,857578
2021-12-01,마포구,859791
2022-01-01,도봉구,5091675
2022-01-01,노원구,8198496
2022-01-01,금천구,5111260
2022-01-01,구로구,8740840
2022-01-01,강남구,20092613
2022-01-01,관악구,13361847
2022-01-01,강서구,9651932
2022-01-01,강북구,6800970
2022-01-01,강동구,6529118
2022-01-01,동대문구,7430121
2022-01-01,광진구,7323630
2022-01-01,동작구,8643714
2022-01-01,양천구,6426705
2022-01-01,서대문구,7364754
2022-01-01,마포구,11660006
2022-01-01,중랑구,5911868
2022-01-01,중구,11846346
2022-01-01,은평구,8443955
2022-01-01,용산구,6382125
2022-01-01,종로구,11703231
2022-01-01,송파구,12874622
2022-01-01,성북구,8676532
2022-01-01,성동구,7379514
2022-01-01,서초구,14927294
2022-01-01,영등포구,12126101
2022-02-01,구로구,7443621
2022-02-01,도봉구,4421073
2022-02-01,노원구,7097442
2022-02-01,금천구,4376229
2022-02-01,광진구,6306818
2022-02-01,동대문구,6320916
2022-02-01,강서구,8332424
2022-02-01,강북구,5912970
2022-02-01,강동구,5588485
2022-02-01,강남구,17024985
2022-02-01,관악구,11609892
2022-02-01,동작구,7384323
2022-02-01,서대문구,6384666
2022-02-01,중랑구,5144210
2022-02-01,마포구,9911123
2022-02-01,중구,9989255
