연도,자치구,자전거_발생건수,자전거_사망자수,자전거_부상자수
2005,종로구,28,0,29
2005,중구,19,0,19
2005,용산구,22,0,22
2005,성동구,62,2,70
2005,광진구,102,1,107
2005,동대문구,97,3,98
2005,중랑구,106,2,107
2005,성북구,56,2,56
2005,강북구,36,2,36
2005,도봉구,61,2,64
2005,노원구,124,1,124
2005,은평구,62,1,66
2005,서대문구,22,1,22
2005,마포구,49,1,49
2005,양천구,81,2,81
2005,강서구,77,0,84
2005,구로구,69,2,78
2005,금천구,23,2,23
2005,영등포구,98,0,102
2005,동작구,20,0,20
2005,관악구,37,0,38
2005,서초구,26,0,30
2005,강남구,44,1,51
2005,송파구,131,0,136
2005,강동구,101,5,99
2006,종로구,20,0,20
2006,중구,12,0,12
2006,용산구,31,0,32
2006,성동구,59,0,60
2006,광진구,98,1,101
2006,동대문구,108,3,108
2006,중랑구,162,2,167
2006,성북구,41,0,41
2006,강북구,39,0,41
2006,도봉구,68,1,68
2006,노원구,126,1,126
2006,은평구,78,2,78
2006,서대문구,16,0,16
2006,마포구,74,2,74
2006,양천구,84,1,87
2006,강서구,92,2,96
2006,구로구,59,2,59
2006,금천구,31,0,33
2006,영등포구,119,4,120
2006,동작구,29,0,30
2006,관악구,47,1,49
2006,서초구,24,0,25
2006,강남구,30,0,31
2006,송파구,131,2,132
2006,강동구,109,1,111
2007,종로구,36,1,38
2007,중구,18,0,19
2007,용산구,18,1,18
2007,성동구,80,0,81
2007,광진구,129,0,133
2007,동대문구,112,3,120
2007,중랑구,151,2,159
2007,성북구,57,1,59
2007,강북구,60,1,59
2007,도봉구,59,1,59
2007,노원구,140,1,146
2007,은평구,90,0,96
2007,서대문구,25,0,25
2007,마포구,59,1,59
2007,양천구,67,0,70
2007,강서구,104,3,106
2007,구로구,87,2,94
2007,금천구,32,0,35
2007,영등포구,116,2,127
2007,동작구,31,0,32
2007,관악구,51,1,51
2007,서초구,31,0,32
2007,강남구,48,0,50
2007,송파구,195,3,198
2007,강동구,113,2,113
2008,종로구,41,0,42
2008,중구,23,1,23
2008,용산구,23,1,22
2008,성동구,103,2,106
2008,광진구,161,0,171
2008,동대문구,139,3,146
2008,중랑구,189,1,202
2008,성북구,82,0,86
2008,강북구,83,0,85
2008,도봉구,103,0,107
2008,노원구,136,2,142
2008,은평구,147,0,157
2008,서대문구,33,1,33
2008,마포구,115,0,119
2008,양천구,141,3,156
2008,강서구,184,5,189
2008,구로구,119,1,134
2008,금천구,57,0,59
2008,영등포구,193,1,201
2008,동작구,42,1,43
2008,관악구,94,0,99
2008,서초구,56,0,57
2008,강남구,79,1,87
2008,송파구,217,6,221
2008,강동구,201,0,210
2009,종로구,42,0,43
2009,중구,34,0,34
2009,용산구,44,0,48
2009,성동구,118,2,123
2009,광진구,175,6,180
2009,동대문구,218,2,223
2009,중랑구,218,2,223
2009,성북구,111,1,117
2009,강북구,73,1,76
2009,도봉구,119,1,125
2009,노원구,200,1,204
2009,은평구,192,0,199
2009,서대문구,48,1,49
2009,마포구,99,4,102
2009,양천구,181,2,188
2009,강서구,147,2,150
2009,구로구,108,3,113
2009,금천구,72,3,74
2009,영등포구,238,4,263
2009,동작구,68,0,71
2009,관악구,77,3,76
2009,서초구,46,1,49
2009,강남구,92,0,95
2009,송파구,275,1,287
2009,강동구,165,5,173
2010,종로구,39,1,39
2010,중구,43,1,43
2010,용산구,33,1,34
2010,성동구,114,3,112
2010,광진구,157,2,161
2010,동대문구,168,2,171
2010,중랑구,208,5,210
2010,성북구,98,0,100
2010,강북구,72,0,79
2010,도봉구,104,2,105
2010,노원구,154,1,160
2010,은평구,139,0,149
2010,서대문구,45,2,44
2010,마포구,117,0,122
