district,year,화재_소계
강남구,2006,246
강남구,2007,211
강남구,2008,376
강남구,2009,342
강남구,2010,344
강남구,2011,388
강남구,2012,347
강남구,2013,399
강남구,2014,400
강남구,2015,477
강남구,2016,559
강남구,2017,475
강남구,2018,406
강남구,2019,437
강남구,2020,364
강남구,2021,362
강남구,2022,411
강남구,2023,388
강동구,2006,152
강동구,2007,158
강동구,2008,228
강동구,2009,207
강동구,2010,226
강동구,2011,226
강동구,2012,250
강동구,2013,216
강동구,2014,231
강동구,2015,244
강동구,2016,291
강동구,2017,243
강동구,2018,311
강동구,2019,238
강동구,2020,207
강동구,2021,193
강동구,2022,164
강동구,2023,150
강북구,2006,145
강북구,2007,152
강북구,2008,232
강북구,2009,219
강북구,2010,167
강북구,2011,131
강북구,2012,182
강북구,2013,220
강북구,2014,181
강북구,2015,163
강북구,2016,144
강북구,2017,177
강북구,2018,184
강북구,2019,152
강북구,2020,170
강북구,2021,133
강북구,2022,137
강북구,2023,189
강서구,2006,201
강서구,2007,243
강서구,2008,370
강서구,2009,288
강서구,2010,243
강서구,2011,337
강서구,2012,270
강서구,2013,232
강서구,2014,290
강서구,2015,262
강서구,2016,337
강서구,2017,335
강서구,2018,359
강서구,2019,308
강서구,2020,195
강서구,2021,202
강서구,2022,182
강서구,2023,224
관악구,2006,120
관악구,2007,191
관악구,2008,255
관악구,2009,242
관악구,2010,200
관악구,2011,271
관악구,2012,393
관악구,2013,290
관악구,2014,250
관악구,2015,262
관악구,2016,292
관악구,2017,254
관악구,2018,310
관악구,2019,275
관악구,2020,199
관악구,2021,231
관악구,2022,278
관악구,2023,247
광진구,2006,161
광진구,2007,182
광진구,2008,194
광진구,2009,213
광진구,2010,160
광진구,2011,152
광진구,2012,197
광진구,2013,203
광진구,2014,231
광진구,2015,222
광진구,2016,188
광진구,2017,191
광진구,2018,177
광진구,2019,171
광진구,2020,172
광진구,2021,190
광진구,2022,133
광진구,2023,181
구로구,2006,118
구로구,2007,150
구로구,2008,213
구로구,2009,165
구로구,2010,142
구로구,2011,183
구로구,2012,194
구로구,2013,225
구로구,2014,162
구로구,2015,203
구로구,2016,227
구로구,2017,241
구로구,2018,249
구로구,2019,237
구로구,2020,145
구로구,2021,151
구로구,2022,200
구로구,2023,181
금천구,2006,69
금천구,2007,78
금천구,2008,152
금천구,2009,134
금천구,2010,106
금천구,2011,146
금천구,2012,154
금천구,2013,130
금천구,2014,114
금천구,2015,117
금천구,2016,163
금천구,2017,166
금천구,2018,161
금천구,2019,134
금천구,2020,114
금천구,2021,109
금천구,2022,194
금천구,2023,178
노원구,2006,184
노원구,2007,205
노원구,2008,269
노원구,2009,323
노원구,2010,219
노원구,2011,192
노원구,2012,228
노원구,2013,253
노원구,2014,241
노원구,2015,221
노원구,2016,256
노원구,2017,257
노원구,2018,211
노원구,2019,188
노원구,2020,156
노원구,2021,158
노원구,2022,154
노원구,2023,180
도봉구,2006,127
도봉구,2007,136
도봉구,2008,236
도봉구,2009,226
도봉구,2010,171
도봉구,2011,126
도봉구,2012,148
도봉구,2013,201
도봉구,2014,184
도봉구,2015,180
도봉구,2016,206
도봉구,2017,184
도봉구,2018,220
도봉구,2019,156
도봉구,2020,141
도봉구,2021,128
도봉구,2022,142
도봉구,2023,171
동대문구,2006,196
동대문구,2007,339
동대문구,2008,282
동대문구,2009,234
동대문구,2010,190
동대문구,2011,190
동대문구,2012,156
동대문구,2013,183
동대문구,2014,202
동대문구,2015,199
동대문구,2016,211
동대문구,2017,175
동대문구,2018,179
동대문구,2019,168
동대문구,2020,122
동대문구,2021,135
동대문구,2022,152
동대문구,2023,144
동작구,2006,152
동작구,2007,205
동작구,2008,202
동작구,2009,224
동작구,2010,224
동작구,2011,194
동작구,2012,206
동작구,2013,153
동작구,2014,163
동작구,2015,169
동작구,2016,200
동작구,2017,212
동작구,2018,193
동작구,2019,205
동작구,2020,139
동작구,2021,121
동작구,2022,178
동작구,2023,149
마포구,2006,132
마포구,2007,236
마포구,2008,278
마포구,2009,176
마포구,2010,167
마포구,2011,198
마포구,2012,188
마포구,2013,205
마포구,2014,230
마포구,2015,221
마포구,2016,251
마포구,2017,213
마포구,2018,239
마포구,2019,217
마포구,2020,219
마포구,2021,217
마포구,2022,237
마포구,2023,260
서대문구,2006,149
서대문구,2007,269
서대문구,2008,293
서대문구,2009,243
서대문구,2010,202
서대문구,2011,202
서대문구,2012,161
서대문구,2013,213
서대문구,2014,196
서대문구,2015,201
서대문구,2016,206
