district,year,case,fire_count
강남구,2006,기타,50.0
강남구,2006,방화,27.0
강남구,2006,소계,296.0
강남구,2006,실화,219.0
강남구,2007,기타,54.0
강남구,2007,방화,27.0
강남구,2007,소계,265.0
강남구,2007,실화,184.0
강남구,2008,기타,17.0
강남구,2008,방화,53.0
강남구,2008,소계,393.0
강남구,2008,실화,323.0
강남구,2009,기타,25.0
강남구,2009,방화,24.0
강남구,2009,소계,367.0
강남구,2009,실화,318.0
강남구,2010,기타,28.0
강남구,2010,방화,22.0
강남구,2010,소계,372.0
강남구,2010,실화,322.0
강남구,2011,기타,32.0
강남구,2011,방화,26.0
강남구,2011,소계,420.0
강남구,2011,실화,362.0
강남구,2012,기타,38.0
강남구,2012,방화,17.0
강남구,2012,소계,385.0
강남구,2012,실화,330.0
강남구,2013,기타,22.0
강남구,2013,방화,10.0
강남구,2013,소계,421.0
강남구,2013,실화,389.0
강남구,2014,기타,27.0
강남구,2014,방화,14.0
강남구,2014,소계,427.0
강남구,2014,실화,386.0
강남구,2015,기타,27.0
강남구,2015,방화,10.0
강남구,2015,소계,504.0
강남구,2015,실화,467.0
강남구,2016,기타,30.0
강남구,2016,방화,8.0
강남구,2016,소계,589.0
강남구,2016,실화,551.0
강남구,2017,기타,27.0
강남구,2017,방화,6.0
강남구,2017,소계,502.0
강남구,2017,실화,469.0
강남구,2018,기타,30.0
강남구,2018,방화,7.0
강남구,2018,소계,436.0
강남구,2018,실화,399.0
강남구,2019,기타,19.0
강남구,2019,방화,4.0
강남구,2019,소계,456.0
강남구,2019,실화,433.0
강남구,2020,기타,23.0
강남구,2020,방화,4.0
강남구,2020,소계,387.0
강남구,2020,실화,360.0
강남구,2021,기타,29.0
강남구,2021,방화,6.0
강남구,2021,소계,391.0
강남구,2021,실화,356.0
강남구,2022,기타,26.0
강남구,2022,방화,9.0
강남구,2022,소계,437.0
강남구,2022,실화,402.0
강남구,2023,기타,34.0
강남구,2023,방화,3.0
강남구,2023,소계,422.0
강남구,2023,실화,385.0
강동구,2006,기타,17.0
강동구,2006,방화,24.0
강동구,2006,소계,169.0
강동구,2006,실화,128.0
강동구,2007,기타,75.0
강동구,2007,방화,23.0
강동구,2007,소계,233.0
강동구,2007,실화,135.0
강동구,2008,기타,25.0
강동구,2008,방화,37.0
강동구,2008,소계,253.0
강동구,2008,실화,191.0
강동구,2009,기타,45.0
강동구,2009,방화,22.0
강동구,2009,소계,252.0
강동구,2009,실화,185.0
강동구,2010,기타,11.0
강동구,2010,방화,38.0
강동구,2010,소계,237.0
강동구,2010,실화,188.0
강동구,2011,기타,6.0
강동구,2011,방화,22.0
강동구,2011,소계,232.0
강동구,2011,실화,204.0
강동구,2012,기타,13.0
강동구,2012,방화,5.0
강동구,2012,소계,263.0
강동구,2012,실화,245.0
강동구,2013,기타,9.0
강동구,2013,방화,8.0
강동구,2013,소계,225.0
