연도,자치구,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수
2005,강남구,219.0,326.0,1.0
2005,강동구,60.0,83.0,0.0
2005,강북구,44.0,62.0,2.0
2005,강서구,133.0,195.0,1.0
2005,관악구,103.0,154.0,3.0
2005,광진구,94.0,135.0,1.0
2005,구로구,58.0,87.0,1.0
2005,금천구,64.0,89.0,2.0
2005,노원구,61.0,94.0,1.0
2005,도봉구,40.0,69.0,0.0
2005,동대문구,58.0,75.0,0.0
2005,동작구,32.0,47.0,1.0
2005,마포구,106.0,151.0,1.0
2005,서대문구,49.0,67.0,0.0
2005,서초구,109.0,188.0,0.0
2005,성동구,61.0,83.0,1.0
2005,성북구,45.0,71.0,2.0
2005,송파구,115.0,159.0,2.0
2005,양천구,112.0,154.0,0.0
2005,영등포구,70.0,107.0,1.0
2005,용산구,54.0,90.0,0.0
2005,은평구,61.0,75.0,2.0
2005,종로구,60.0,88.0,0.0
2005,중구,45.0,74.0,0.0
2005,중랑구,56.0,83.0,1.0
2006,강남구,175.0,289.0,1.0
2006,강동구,36.0,47.0,2.0
2006,강북구,42.0,66.0,0.0
2006,강서구,97.0,142.0,1.0
2006,관악구,65.0,107.0,0.0
2006,광진구,92.0,145.0,0.0
2006,구로구,67.0,105.0,1.0
2006,금천구,60.0,90.0,0.0
2006,노원구,51.0,77.0,0.0
2006,도봉구,33.0,45.0,0.0
2006,동대문구,70.0,105.0,0.0
2006,동작구,48.0,62.0,2.0
2006,마포구,113.0,195.0,0.0
2006,서대문구,31.0,52.0,0.0
2006,서초구,97.0,164.0,0.0
2006,성동구,43.0,73.0,1.0
2006,성북구,61.0,88.0,2.0
2006,송파구,80.0,118.0,2.0
2006,양천구,78.0,110.0,0.0
2006,영등포구,108.0,163.0,1.0
2006,용산구,38.0,58.0,0.0
2006,은평구,46.0,60.0,1.0
2006,종로구,62.0,93.0,0.0
2006,중구,30.0,41.0,0.0
2006,중랑구,68.0,116.0,0.0
2007,강남구,170.0,269.0,2.0
2007,강동구,46.0,75.0,0.0
2007,강북구,53.0,66.0,1.0
2007,강서구,92.0,138.0,1.0
2007,관악구,76.0,125.0,2.0
2007,광진구,70.0,114.0,1.0
2007,구로구,63.0,107.0,0.0
2007,금천구,38.0,57.0,1.0
2007,노원구,56.0,75.0,3.0
2007,도봉구,29.0,45.0,0.0
2007,동대문구,72.0,122.0,0.0
2007,동작구,49.0,84.0,0.0
2007,마포구,84.0,136.0,0.0
2007,서대문구,40.0,55.0,0.0
2007,서초구,89.0,138.0,0.0
2007,성동구,29.0,39.0,0.0
2007,성북구,60.0,95.0,0.0
2007,송파구,67.0,91.0,1.0
2007,양천구,56.0,93.0,2.0
2007,영등포구,94.0,159.0,2.0
2007,용산구,53.0,86.0,0.0
2007,은평구,40.0,66.0,1.0
2007,종로구,34.0,68.0,2.0
2007,중구,44.0,63.0,1.0
2007,중랑구,83.0,124.0,1.0
2008,강남구,130.0,206.0,1.0
2008,강동구,48.0,69.0,1.0
2008,강북구,43.0,71.0,0.0
2008,강서구,69.0,103.0,2.0
2008,관악구,61.0,107.0,0.0
2008,광진구,52.0,87.0,1.0
2008,구로구,55.0,84.0,2.0
2008,금천구,50.0,70.0,2.0
2008,노원구,73.0,112.0,1.0
2008,도봉구,33.0,55.0,2.0
2008,동대문구,52.0,83.0,0.0
2008,동작구,38.0,61.0,0.0
2008,마포구,55.0,93.0,0.0
2008,서대문구,36.0,64.0,1.0
2008,서초구,103.0,152.0,1.0
2008,성동구,24.0,34.0,1.0
2008,성북구,56.0,87.0,2.0
2008,송파구,76.0,130.0,0.0
2008,양천구,54.0,94.0,0.0
2008,영등포구,62.0,101.0,2.0
2008,용산구,45.0,76.0,0.0
2008,은평구,43.0,57.0,0.0
2008,종로구,46.0,86.0,2.0
2008,중구,38.0,49.0,1.0
2008,중랑구,67.0,95.0,1.0
2009,강남구,127.0,224.0,4.0
2009,강동구,61.0,89.0,1.0
2009,강북구,37.0,66.0,1.0
2009,강서구,64.0,108.0,1.0
2009,관악구,60.0,108.0,0.0
2009,광진구,73.0,114.0,3.0
2009,구로구,43.0,73.0,0.0
2009,금천구,40.0,69.0,0.0
2009,노원구,68.0,116.0,0.0
2009,도봉구,35.0,55.0,1.0
2009,동대문구,62.0,95.0,0.0
2009,동작구,42.0,73.0,0.0
2009,마포구,57.0,110.0,0.0
2009,서대문구,40.0,72.0,3.0
2009,서초구,124.0,180.0,1.0
2009,성동구,37.0,65.0,2.0
2009,성북구,68.0,96.0,0.0
2009,송파구,83.0,137.0,0.0
2009,양천구,45.0,77.0,0.0
2009,영등포구,54.0,91.0,0.0
2009,용산구,48.0,74.0,1.0
2009,은평구,57.0,113.0,0.0
2009,종로구,39.0,63.0,3.0
2009,중구,24.0,36.0,0.0
2009,중랑구,73.0,117.0,0.0
2010,강남구,168.0,276.0,3.0
2010,강동구,31.0,60.0,0.0
2010,강북구,33.0,48.0,1.0
2010,강서구,51.0,81.0,2.0
2010,관악구,68.0,114.0,0.0
2010,광진구,49.0,87.0,0.0
2010,구로구,50.0,82.0,0.0
2010,금천구,47.0,73.0,0.0
2010,노원구,65.0,99.0,2.0
2010,도봉구,33.0,67.0,1.0
2010,동대문구,43.0,76.0,1.0
2010,동작구,44.0,68.0,0.0
2010,마포구,81.0,146.0,3.0
2010,서대문구,37.0,53.0,1.0
2010,서초구,103.0,172.0,1.0
2010,성동구,19.0,32.0,0.0
2010,성북구,42.0,85.0,0.0
2010,송파구,85.0,140.0,0.0
2010,양천구,36.0,62.0,1.0
2010,영등포구,64.0,115.0,0.0
2010,용산구,65.0,101.0,1.0
2010,은평구,40.0,59.0,1.0
2010,종로구,31.0,54.0,2.0
2010,중구,23.0,32.0,0.0
2010,중랑구,70.0,113.0,2.0
2011,강남구,233.0,360.0,3.0
2011,강동구,57.0,111.0,2.0
2011,강북구,26.0,59.0,0.0
2011,강서구,74.0,124.0,1.0
2011,관악구,56.0,93.0,1.0
2011,광진구,56.0,80.0,3.0
