연도,자치구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수
2005,강남구,170.0,2.0,58.0,0.0,71.0,1.0,74.0,3.0,205.0,8.0
2005,강동구,143.0,0.0,21.0,1.0,26.0,1.0,37.0,0.0,176.0,4.0
2005,강북구,135.0,4.0,15.0,0.0,22.0,1.0,21.0,1.0,190.0,5.0
2005,강서구,201.0,0.0,34.0,0.0,30.0,1.0,48.0,0.0,180.0,7.0
2005,관악구,214.0,5.0,27.0,0.0,26.0,3.0,27.0,0.0,195.0,9.0
2005,광진구,182.0,4.0,3.0,0.0,17.0,0.0,20.0,0.0,136.0,8.0
2005,구로구,125.0,5.0,13.0,0.0,29.0,1.0,44.0,0.0,150.0,8.0
2005,금천구,88.0,3.0,13.0,0.0,11.0,0.0,18.0,1.0,79.0,4.0
2005,노원구,118.0,1.0,8.0,0.0,23.0,2.0,72.0,0.0,192.0,5.0
2005,도봉구,116.0,1.0,8.0,0.0,18.0,0.0,27.0,0.0,121.0,2.0
2005,동대문구,121.0,3.0,17.0,0.0,22.0,2.0,32.0,2.0,226.0,7.0
2005,동작구,100.0,1.0,24.0,1.0,18.0,0.0,42.0,0.0,139.0,3.0
2005,마포구,117.0,3.0,15.0,0.0,45.0,0.0,37.0,0.0,127.0,9.0
2005,서대문구,88.0,3.0,14.0,0.0,22.0,0.0,35.0,0.0,121.0,9.0
2005,서초구,92.0,2.0,5.0,0.0,26.0,0.0,39.0,4.0,113.0,3.0
2005,성동구,109.0,3.0,9.0,0.0,10.0,0.0,23.0,0.0,104.0,2.0
2005,성북구,143.0,1.0,19.0,0.0,28.0,0.0,35.0,2.0,227.0,8.0
2005,송파구,232.0,2.0,30.0,0.0,38.0,0.0,104.0,0.0,204.0,10.0
2005,양천구,123.0,2.0,13.0,0.0,26.0,0.0,50.0,1.0,131.0,1.0
2005,영등포구,144.0,4.0,24.0,0.0,24.0,2.0,58.0,2.0,227.0,12.0
2005,용산구,75.0,2.0,17.0,0.0,18.0,0.0,43.0,1.0,87.0,4.0
2005,은평구,131.0,2.0,33.0,0.0,21.0,0.0,51.0,1.0,185.0,5.0
2005,종로구,108.0,3.0,7.0,0.0,23.0,0.0,36.0,2.0,129.0,8.0
2005,중구,125.0,1.0,26.0,0.0,36.0,1.0,38.0,0.0,118.0,5.0
2005,중랑구,236.0,1.0,4.0,0.0,31.0,0.0,40.0,0.0,195.0,1.0
2006,강남구,124.0,2.0,68.0,1.0,102.0,1.0,93.0,4.0,225.0,7.0
2006,강동구,140.0,3.0,46.0,0.0,24.0,0.0,18.0,0.0,135.0,4.0
2006,강북구,71.0,1.0,65.0,1.0,22.0,0.0,41.0,0.0,212.0,2.0
2006,강서구,162.0,4.0,37.0,0.0,36.0,2.0,44.0,0.0,166.0,6.0
2006,관악구,103.0,1.0,114.0,0.0,40.0,0.0,62.0,0.0,172.0,2.0
2006,광진구,84.0,1.0,9.0,0.0,51.0,0.0,41.0,0.0,158.0,5.0
2006,구로구,58.0,0.0,23.0,0.0,33.0,0.0,27.0,0.0,179.0,10.0
2006,금천구,63.0,0.0,35.0,0.0,9.0,0.0,7.0,0.0,149.0,4.0
2006,노원구,88.0,0.0,19.0,0.0,26.0,2.0,35.0,1.0,196.0,1.0
2006,도봉구,26.0,0.0,14.0,0.0,42.0,0.0,38.0,3.0,114.0,3.0
2006,동대문구,137.0,3.0,19.0,0.0,19.0,1.0,35.0,2.0,241.0,6.0
2006,동작구,62.0,1.0,40.0,3.0,26.0,0.0,48.0,4.0,95.0,4.0
2006,마포구,37.0,1.0,30.0,0.0,37.0,1.0,91.0,1.0,146.0,6.0
2006,서대문구,31.0,0.0,38.0,1.0,21.0,0.0,58.0,0.0,134.0,5.0
2006,서초구,96.0,2.0,18.0,0.0,24.0,0.0,33.0,1.0,115.0,5.0
2006,성동구,41.0,2.0,12.0,0.0,24.0,0.0,36.0,1.0,124.0,3.0
2006,성북구,44.0,2.0,59.0,1.0,43.0,0.0,47.0,1.0,254.0,11.0
2006,송파구,198.0,4.0,46.0,0.0,48.0,0.0,79.0,1.0,202.0,7.0
2006,양천구,10.0,1.0,30.0,0.0,29.0,1.0,57.0,3.0,166.0,4.0
2006,영등포구,78.0,2.0,25.0,2.0,44.0,2.0,88.0,1.0,239.0,9.0
2006,용산구,82.0,0.0,13.0,1.0,14.0,0.0,25.0,1.0,108.0,3.0
2006,은평구,115.0,3.0,49.0,2.0,41.0,1.0,51.0,0.0,188.0,1.0
2006,종로구,42.0,1.0,48.0,0.0,22.0,0.0,60.0,1.0,164.0,7.0
2006,중구,40.0,0.0,52.0,1.0,43.0,0.0,71.0,2.0,135.0,9.0
2006,중랑구,92.0,0.0,69.0,1.0,69.0,1.0,56.0,1.0,210.0,6.0
2007,강남구,126.0,3.0,89.0,0.0,91.0,1.0,95.0,1.0,276.0,7.0
