district,year,weather,발생건수,사상자수
강남구,2013,눈,25.0,33.0
강남구,2013,맑음,3099.0,4590.0
강남구,2013,비,267.0,390.0
강남구,2013,흐림,159.0,255.0
강남구,2014,눈,30.0,58.0
강남구,2014,맑음,3280.0,4755.0
강남구,2014,비,206.0,300.0
강남구,2014,흐림,89.0,145.0
강남구,2015,눈,15.0,22.0
강남구,2015,맑음,3569.0,5111.0
강남구,2015,비,298.0,446.0
강남구,2015,흐림,80.0,111.0
강남구,2016,눈,12.0,14.0
강남구,2016,맑음,3370.0,4786.0
강남구,2016,비,247.0,360.0
강남구,2016,흐림,85.0,126.0
강남구,2017,눈,24.0,37.0
강남구,2017,맑음,3132.0,4491.0
강남구,2017,비,192.0,271.0
강남구,2017,흐림,81.0,128.0
강남구,2018,눈,13.0,20.0
강남구,2018,맑음,3004.0,4330.0
강남구,2018,비,191.0,283.0
강남구,2018,흐림,87.0,120.0
강남구,2019,눈,1.0,1.0
강남구,2019,맑음,3308.0,4609.0
강남구,2019,비,206.0,302.0
강남구,2019,흐림,97.0,133.0
강남구,2020,눈,6.0,9.0
강남구,2020,맑음,3185.0,4372.0
강남구,2020,비,282.0,425.0
강남구,2020,흐림,128.0,180.0
강남구,2021,눈,38.0,54.0
강남구,2021,맑음,3308.0,4466.0
강남구,2021,비,216.0,303.0
강남구,2021,흐림,109.0,147.0
강남구,2022,눈,15.0,18.0
강남구,2022,맑음,3258.0,4462.0
강남구,2022,비,201.0,273.0
강남구,2022,흐림,73.0,102.0
강남구,2023,눈,5.0,8.0
강남구,2023,맑음,3408.0,4556.0
강남구,2023,비,266.0,353.0
강남구,2023,흐림,83.0,100.0
강동구,2013,눈,14.0,32.0
강동구,2013,맑음,1168.0,1651.0
강동구,2013,비,93.0,143.0
강동구,2013,흐림,63.0,99.0
강동구,2014,눈,7.0,14.0
강동구,2014,맑음,1290.0,1788.0
강동구,2014,비,84.0,133.0
강동구,2014,흐림,51.0,78.0
강동구,2015,눈,5.0,5.0
강동구,2015,맑음,1308.0,1886.0
강동구,2015,비,107.0,165.0
강동구,2015,흐림,66.0,87.0
강동구,2016,눈,6.0,7.0
강동구,2016,맑음,1243.0,1715.0
강동구,2016,비,107.0,158.0
강동구,2016,흐림,60.0,81.0
강동구,2017,눈,5.0,7.0
강동구,2017,맑음,1177.0,1651.0
강동구,2017,비,80.0,105.0
강동구,2017,흐림,109.0,129.0
강동구,2018,눈,10.0,11.0
강동구,2018,맑음,1239.0,1687.0
강동구,2018,비,97.0,119.0
강동구,2018,흐림,67.0,110.0
강동구,2019,눈,3.0,3.0
강동구,2019,맑음,1222.0,1676.0
강동구,2019,비,98.0,128.0
