district,metric,year,weather,count
소계,발생건수 (건),2013,눈,322
소계,발생건수 (건),2013,맑음,33287
소계,발생건수 (건),2013,비,3019
소계,발생건수 (건),2013,안개,9
소계,발생건수 (건),2013,흐림,2329
소계,발생건수 (건),2014,눈,302
소계,발생건수 (건),2014,맑음,35339
소계,발생건수 (건),2014,비,2463
소계,발생건수 (건),2014,안개,7
소계,발생건수 (건),2014,흐림,2011
소계,발생건수 (건),2015,눈,125
소계,발생건수 (건),2015,맑음,36324
소계,발생건수 (건),2015,비,3132
소계,발생건수 (건),2015,안개,6
소계,발생건수 (건),2015,흐림,1725
소계,발생건수 (건),2016,눈,131
소계,발생건수 (건),2016,맑음,35514
소계,발생건수 (건),2016,비,2462
소계,발생건수 (건),2016,안개,6
소계,발생건수 (건),2016,흐림,1583
소계,발생건수 (건),2017,눈,217
소계,발생건수 (건),2017,맑음,34622
소계,발생건수 (건),2017,비,1884
소계,발생건수 (건),2017,안개,9
소계,발생건수 (건),2017,흐림,1652
소계,발생건수 (건),2018,눈,195
소계,발생건수 (건),2018,맑음,34055
소계,발생건수 (건),2018,비,2465
소계,발생건수 (건),2018,안개,2
소계,발생건수 (건),2018,흐림,1640
소계,발생건수 (건),2019,눈,61
소계,발생건수 (건),2019,맑음,35013
소계,발생건수 (건),2019,비,2216
소계,발생건수 (건),2019,안개,3
소계,발생건수 (건),2019,흐림,1541
소계,발생건수 (건),2020,눈,58
소계,발생건수 (건),2020,맑음,30859
소계,발생건수 (건),2020,비,2470
소계,발생건수 (건),2020,안개,1
소계,발생건수 (건),2020,흐림,1353
소계,발생건수 (건),2021,눈,193
소계,발생건수 (건),2021,맑음,29717
소계,발생건수 (건),2021,비,2018
소계,발생건수 (건),2021,안개,1
소계,발생건수 (건),2021,흐림,1307
소계,발생건수 (건),2022,눈,116
소계,발생건수 (건),2022,맑음,29846
소계,발생건수 (건),2022,비,1769
소계,발생건수 (건),2022,안개,5
소계,발생건수 (건),2022,흐림,1126
소계,발생건수 (건),2023,눈,112
소계,발생건수 (건),2023,맑음,29645
소계,발생건수 (건),2023,비,2224
소계,발생건수 (건),2023,안개,2
소계,발생건수 (건),2023,흐림,1203
소계,사망자 (명),2013,눈,-
소계,사망자 (명),2013,맑음,295
소계,사망자 (명),2013,비,36
소계,사망자 (명),2013,안개,-
소계,사망자 (명),2013,흐림,38
소계,사망자 (명),2014,눈,5
소계,사망자 (명),2014,맑음,338
소계,사망자 (명),2014,비,23
소계,사망자 (명),2014,안개,-
소계,사망자 (명),2014,흐림,32
소계,사망자 (명),2015,눈,-
소계,사망자 (명),2015,맑음,308
소계,사망자 (명),2015,비,38
소계,사망자 (명),2015,안개,-
소계,사망자 (명),2015,흐림,28
소계,사망자 (명),2016,눈,-
소계,사망자 (명),2016,맑음,282
소계,사망자 (명),2016,비,36
소계,사망자 (명),2016,안개,-
소계,사망자 (명),2016,흐림,27
소계,사망자 (명),2017,눈,3
소계,사망자 (명),2017,맑음,294
소계,사망자 (명),2017,비,21
소계,사망자 (명),2017,안개,-
소계,사망자 (명),2017,흐림,23
소계,사망자 (명),2018,눈,2
소계,사망자 (명),2018,맑음,258
소계,사망자 (명),2018,비,22
소계,사망자 (명),2018,안개,1
소계,사망자 (명),2018,흐림,20
소계,사망자 (명),2019,눈,-
소계,사망자 (명),2019,맑음,205
소계,사망자 (명),2019,비,24
소계,사망자 (명),2019,안개,-
소계,사망자 (명),2019,흐림,20
소계,사망자 (명),2020,눈,-
소계,사망자 (명),2020,맑음,183
소계,사망자 (명),2020,비,18
소계,사망자 (명),2020,안개,-
소계,사망자 (명),2020,흐림,14
소계,사망자 (명),2021,눈,1
소계,사망자 (명),2021,맑음,202
소계,사망자 (명),2021,비,21
소계,사망자 (명),2021,안개,-
소계,사망자 (명),2021,흐림,18
소계,사망자 (명),2022,눈,2
소계,사망자 (명),2022,맑음,182
소계,사망자 (명),2022,비,19
소계,사망자 (명),2022,안개,-
소계,사망자 (명),2022,흐림,16
소계,사망자 (명),2023,눈,1
소계,사망자 (명),2023,맑음,145
소계,사망자 (명),2023,비,13
소계,사망자 (명),2023,안개,-
소계,사망자 (명),2023,흐림,17
소계,부상자 (명),2013,눈,529
소계,부상자 (명),2013,맑음,47634
소계,부상자 (명),2013,비,4502
소계,부상자 (명),2013,안개,12
소계,부상자 (명),2013,흐림,3435
소계,부상자 (명),2014,눈,463
소계,부상자 (명),2014,맑음,49542
소계,부상자 (명),2014,비,3597
소계,부상자 (명),2014,안개,12
소계,부상자 (명),2014,흐림,2835
소계,부상자 (명),2015,눈,202
소계,부상자 (명),2015,맑음,51077
소계,부상자 (명),2015,비,4512
소계,부상자 (명),2015,안개,6
소계,부상자 (명),2015,흐림,2406
소계,부상자 (명),2016,눈,190
소계,부상자 (명),2016,맑음,49187
소계,부상자 (명),2016,비,3509
소계,부상자 (명),2016,안개,9
소계,부상자 (명),2016,흐림,2313
소계,부상자 (명),2017,눈,335
소계,부상자 (명),2017,맑음,48119
소계,부상자 (명),2017,비,2739
소계,부상자 (명),2017,안개,17
소계,부상자 (명),2017,흐림,2285
