연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2005,강남구,0,260,170.0,2.0,58.0,0.0,71.0,1.0,74.0,3.0,205.0,8.0,219.0,326.0,1.0,44.0,1.0,51.0,0.0
2006,강남구,0,276,124.0,2.0,68.0,1.0,102.0,1.0,93.0,4.0,225.0,7.0,175.0,289.0,1.0,30.0,0.0,31.0,0.0
2007,강남구,0,275,126.0,3.0,89.0,0.0,91.0,1.0,95.0,1.0,276.0,7.0,170.0,269.0,2.0,48.0,0.0,50.0,0.0
2008,강남구,569166,260,86.0,0.0,101.0,1.0,126.0,1.0,119.0,1.0,259.0,9.0,130.0,206.0,1.0,79.0,1.0,87.0,0.0
2009,강남구,569016,310,225.0,4.0,102.0,0.0,122.0,0.0,86.0,6.0,293.0,5.0,127.0,224.0,4.0,92.0,0.0,95.0,0.0
2010,강남구,571914,295,259.0,6.0,99.0,0.0,66.0,0.0,79.0,2.0,277.0,4.0,168.0,276.0,3.0,93.0,1.0,101.0,0.0
2011,강남구,575767,296,395.0,9.0,104.0,0.0,54.0,0.0,67.0,1.0,236.0,9.0,233.0,360.0,3.0,97.0,0.0,103.0,0.0
2012,강남구,569638,320,507.0,5.0,90.0,1.0,51.0,1.0,57.0,2.0,242.0,6.0,239.0,343.0,2.0,146.0,2.0,150.0,0.0
2013,강남구,568740,300,521.0,8.0,54.0,0.0,50.0,0.0,40.0,3.0,212.0,5.0,143.0,234.0,3.0,159.0,0.0,175.0,0.0
2014,강남구,576868,302,487.0,4.0,76.0,0.0,61.0,0.0,43.0,1.0,255.0,9.0,139.0,212.0,0.0,191.0,0.0,197.0,0.0
2015,강남구,582206,330,447.0,2.0,92.0,0.0,55.0,1.0,45.0,0.0,309.0,7.0,120.0,217.0,0.0,214.0,2.0,235.0,0.0
2016,강남구,575597,319,455.0,0.0,98.0,0.0,73.0,0.0,87.0,0.0,218.0,3.0,101.0,166.0,0.0,151.0,0.0,169.0,0.0
2017,강남구,566427,289,352.0,1.0,81.0,0.0,43.0,1.0,62.0,1.0,320.0,4.0,69.0,120.0,1.0,138.0,1.0,146.0,0.0
2018,강남구,551615,288,355.0,2.0,114.0,0.0,40.0,2.0,52.0,1.0,221.0,4.0,75.0,130.0,1.0,119.0,2.0,131.0,0.0
2019,강남구,548432,310,428.0,4.0,98.0,0.0,63.0,1.0,51.0,2.0,223.0,1.0,65.0,107.0,0.0,114.0,0.0,127.0,0.0
2020,강남구,546049,312,383.0,1.0,94.0,1.0,65.0,0.0,32.0,2.0,54.0,2.0,65.0,107.0,0.0,176.0,0.0,208.0,0.0
2021,강남구,537880,318,374.0,4.0,72.0,0.0,58.0,0.0,45.0,0.0,132.0,2.0,106.0,145.0,1.0,161.0,0.0,188.0,2265807.0
2022,강남구,535784,309,471.0,3.0,69.0,0.0,63.0,0.0,40.0,0.0,152.0,4.0,90.0,122.0,1.0,159.0,1.0,178.0,261731880.0
2023,강남구,544179,327,404.0,2.0,70.0,0.0,90.0,0.0,78.0,1.0,187.0,2.0,91.0,115.0,1.0,172.0,0.0,203.0,278190656.0
2024,강남구,562337,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285878239.0
2025,강남구,563189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73542342.0
2005,강동구,0,110,143.0,0.0,21.0,1.0,26.0,1.0,37.0,0.0,176.0,4.0,60.0,83.0,0.0,101.0,5.0,99.0,0.0
2006,강동구,0,105,140.0,3.0,46.0,0.0,24.0,0.0,18.0,0.0,135.0,4.0,36.0,47.0,2.0,109.0,1.0,111.0,0.0
2007,강동구,0,123,86.0,3.0,52.0,0.0,47.0,1.0,69.0,1.0,190.0,4.0,46.0,75.0,0.0,113.0,2.0,113.0,0.0
2008,강동구,471101,141,143.0,2.0,60.0,1.0,67.0,0.0,60.0,0.0,181.0,4.0,48.0,69.0,1.0,201.0,0.0,210.0,0.0
2009,강동구,483631,128,189.0,2.0,19.0,0.0,45.0,1.0,44.0,0.0,158.0,3.0,61.0,89.0,1.0,165.0,5.0,173.0,0.0
2010,강동구,493030,117,185.0,5.0,11.0,0.0,44.0,0.0,41.0,0.0,153.0,3.0,31.0,60.0,0.0,179.0,2.0,180.0,0.0
2011,강동구,501476,118,202.0,1.0,23.0,0.0,27.0,0.0,36.0,0.0,162.0,4.0,57.0,111.0,2.0,179.0,1.0,185.0,0.0
2012,강동구,495034,121,250.0,3.0,19.0,0.0,21.0,1.0,29.0,1.0,133.0,5.0,49.0,71.0,0.0,181.0,1.0,187.0,0.0
2013,강동구,489935,113,253.0,3.0,11.0,0.0,20.0,0.0,21.0,0.0,123.0,2.0,42.0,63.0,0.0,187.0,3.0,194.0,0.0
2014,강동구,484191,120,267.0,5.0,22.0,1.0,16.0,0.0,14.0,0.0,144.0,1.0,50.0,88.0,0.0,247.0,4.0,252.0,0.0
2015,강동구,469446,124,252.0,7.0,24.0,0.0,23.0,0.0,34.0,1.0,157.0,6.0,54.0,94.0,1.0,227.0,0.0,242.0,0.0
2016,강동구,453991,118,157.0,4.0,17.0,0.0,12.0,0.0,16.0,1.0,238.0,7.0,36.0,50.0,2.0,237.0,0.0,258.0,0.0
2017,강동구,448353,114,178.0,4.0,10.0,0.0,16.0,2.0,27.0,1.0,205.0,3.0,16.0,19.0,0.0,190.0,6.0,197.0,0.0
2018,강동구,435546,118,203.0,3.0,22.0,2.0,30.0,1.0,24.0,0.0,129.0,2.0,37.0,56.0,0.0,157.0,2.0,163.0,0.0
2019,강동구,432265,117,170.0,2.0,17.0,0.0,38.0,0.0,37.0,0.0,190.0,5.0,29.0,45.0,0.0,176.0,1.0,188.0,0.0
2020,강동구,461215,105,130.0,0.0,38.0,0.0,28.0,0.0,45.0,0.0,64.0,2.0,29.0,45.0,0.0,182.0,3.0,192.0,0.0
2021,강동구,468094,87,121.0,2.0,15.0,0.0,14.0,0.0,23.0,1.0,68.0,4.0,30.0,41.0,0.0,125.0,0.0,132.0,734603.0
2022,강동구,464780,95,126.0,2.0,9.0,0.0,27.0,0.0,15.0,0.0,90.0,1.0,30.0,47.0,0.0,139.0,0.0,146.0,84136152.0
2023,강동구,463200,98,151.0,0.0,12.0,0.0,31.0,0.0,29.0,0.0,83.0,0.0,51.0,76.0,0.0,150.0,0.0,161.0,86541451.0
2024,강동구,470852,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86115356.0
2025,강동구,500002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23486197.0
2005,강북구,0,94,135.0,4.0,15.0,0.0,22.0,1.0,21.0,1.0,190.0,5.0,44.0,62.0,2.0,36.0,2.0,36.0,0.0
2006,강북구,0,104,71.0,1.0,65.0,1.0,22.0,0.0,41.0,0.0,212.0,2.0,42.0,66.0,0.0,39.0,0.0,41.0,0.0
2007,강북구,0,105,48.0,0.0,59.0,0.0,22.0,0.0,48.0,0.0,232.0,8.0,53.0,66.0,1.0,60.0,1.0,59.0,0.0
2008,강북구,346440,114,96.0,0.0,52.0,1.0,19.0,0.0,34.0,0.0,216.0,5.0,43.0,71.0,0.0,83.0,0.0,85.0,0.0
2009,강북구,344842,116,130.0,1.0,52.0,1.0,24.0,0.0,39.0,0.0,213.0,3.0,37.0,66.0,1.0,73.0,1.0,76.0,0.0
