구,연월,거주인구,발생건수,사망자수,부상자수,평균기온,평균최고기온,극점최고기온,평균최저기온,극점최저기온,강수량,평균습도,최저습도,해면기압,이슬점온도,평균운량,일조시간,최심신적설,평균풍속,최대풍속,최대순간풍속
강남구,2005-01-01,,212.0,2.0,330.0,-2.5,1.5,7.3,-6.2,-11.0,4.5,52.0,12.0,1023.2,-11.9,2.7,191.5,1.4,2.4,7.5,15.1
강남구,2005-02-01,,176.0,1.0,299.0,-1.9,2.2,10.5,-5.5,-13.1,17.2,49.0,15.0,1024.5,-12.2,3.5,177.8,1.9,2.8,11.0,22.5
강남구,2005-03-01,,225.0,2.0,323.0,4.1,8.8,17.6,0.2,-6.5,12.5,54.0,13.0,1019.6,-5.1,3.8,221.9,4.9,2.9,9.5,16.7
강남구,2005-04-01,,247.0,2.0,337.0,13.2,18.1,29.8,8.9,4.1,94.7,53.0,9.0,1014.0,2.9,4.3,199.5,0.0,3.0,10.4,18.0
강남구,2005-05-01,,275.0,3.0,404.0,17.7,22.9,30.2,13.0,6.3,85.8,55.0,8.0,1010.4,7.4,4.1,235.3,0.0,2.4,9.3,15.1
강남구,2005-06-01,,268.0,3.0,399.0,22.7,27.3,32.0,19.1,15.5,168.5,69.0,26.0,1005.7,16.4,6.3,138.3,0.0,2.4,8.8,15.3
강남구,2005-07-01,,299.0,3.0,447.0,25.3,28.8,34.2,22.7,18.3,269.4,76.0,44.0,1006.2,20.7,7.2,79.4,0.0,2.2,8.0,12.6
강남구,2005-08-01,,300.0,2.0,448.0,25.1,28.7,35.0,22.4,16.5,285.0,75.0,30.0,1008.5,20.3,6.9,103.1,0.0,2.6,8.2,15.0
강남구,2005-09-01,,280.0,1.0,422.0,21.8,25.7,30.8,18.6,13.8,313.3,71.0,30.0,1015.2,16.0,6.4,113.7,0.0,2.3,8.4,15.3
강남구,2005-10-01,,264.0,4.0,389.0,14.7,19.4,24.9,10.7,3.0,52.6,65.0,17.0,1020.0,7.7,3.4,200.0,0.0,1.7,5.4,11.1
강남구,2005-11-01,,249.0,2.0,368.0,8.6,12.9,21.8,4.6,-1.1,44.6,55.0,10.0,1020.6,-0.6,2.9,172.5,0.0,2.2,8.4,16.8
강남구,2005-12-01,,331.0,3.0,516.0,-3.9,-0.1,11.1,-7.4,-14.0,10.3,51.0,18.0,1025.2,-13.6,2.2,204.1,7.6,2.5,7.6,15.8
강남구,2006-01-01,,209.0,3.0,330.0,-0.2,3.4,9.3,-3.3,-10.1,34.3,57.0,18.0,1025.4,-8.6,4.0,161.1,1.5,2.1,6.1,12.1
