자치구,년월,버스승객수,발생건수,사망자수,부상자수
강남구,'2017.01,0,302,2,464
강남구,'2017.02,0,256,1,366
강남구,'2017.03,0,296,3,433
강남구,'2017.04,0,275,1,388
강남구,'2017.05,0,281,1,405
강남구,'2017.06,0,299,2,423
강남구,'2017.07,0,296,0,423
강남구,'2017.08,0,287,1,401
강남구,'2017.09,0,282,5,390
강남구,'2017.10,0,270,2,387
강남구,'2017.11,0,302,1,410
강남구,'2017.12,0,323,0,469
강남구,'2018.01,0,316,1,456
강남구,'2018.02,0,249,1,369
강남구,'2018.03,0,278,3,393
강남구,'2018.04,0,283,1,411
강남구,'2018.05,0,288,0,404
강남구,'2018.06,0,288,0,436
강남구,'2018.07,0,326,2,427
강남구,'2018.08,0,301,3,438
강남구,'2018.09,0,249,2,356
강남구,'2018.10,0,297,2,403
강남구,'2018.11,0,292,2,447
강남구,'2018.12,0,292,3,427
강남구,'2019.01,0,281,2,412
강남구,'2019.02,0,227,3,315
강남구,'2019.03,0,280,2,401
강남구,'2019.04,0,295,0,389
강남구,'2019.05,0,320,0,484
강남구,'2019.06,0,302,1,442
강남구,'2019.07,0,326,0,450
강남구,'2019.08,0,320,1,435
강남구,'2019.09,0,302,0,389
강남구,'2019.10,0,336,2,440
강남구,'2019.11,0,383,2,542
강남구,'2019.12,0,350,1,483
강남구,'2020.01,0,275,3,393
강남구,'2020.02,0,343,2,450
강남구,'2020.03,0,265,1,365
강남구,'2020.04,0,291,3,426
강남구,'2020.05,0,320,3,441
강남구,'2020.06,0,337,0,474
강남구,'2020.07,0,396,0,539
강남구,'2020.08,0,330,1,484
강남구,'2020.09,0,309,0,432
강남구,'2020.10,0,302,2,417
강남구,'2020.11,0,315,2,409
강남구,'2020.12,0,269,0,359
강남구,'2021.01,0,315,1,433
강남구,'2021.02,0,315,0,428
강남구,'2021.03,0,299,0,410
강남구,'2021.04,0,325,1,429
강남구,'2021.05,0,310,0,422
강남구,'2021.06,0,339,0,467
강남구,'2021.07,0,322,1,435
강남구,'2021.08,0,301,2,412
강남구,'2021.09,0,306,1,390
강남구,'2021.10,0,330,1,453
강남구,'2021.11,0,336,0,468
강남구,'2021.12,0,322,3,428
강남구,'2022.01,7796272,339,0,448
강남구,'2022.02,6687447,221,1,322
강남구,'2022.03,7502696,244,3,326
강남구,'2022.04,8484559,327,1,455
강남구,'2022.05,9172697,319,3,457
강남구,'2022.06,8865863,322,1,428
강남구,'2022.07,9501091,360,1,476
강남구,'2022.08,9412532,307,1,431
강남구,'2022.09,8335562,304,1,421
강남구,'2022.10,8982070,343,0,452
강남구,'2022.11,8839656,331,2,439
강남구,'2022.12,8674546,292,2,397
강남구,'2023.01,7988011,293,0,408
강남구,'2023.02,8103926,283,1,367
강남구,'2023.03,9006283,330,1,438
강남구,'2023.04,8534584,347,1,486
강남구,'2023.05,8774909,315,0,420
강남구,'2023.06,8937715,313,0,433
강남구,'2023.07,9167739,344,1,465
강남구,'2023.08,9000800,324,0,429
강남구,'2023.09,8441191,315,1,401
강남구,'2023.10,8580155,341,0,449
강남구,'2023.11,8872379,358,1,446
강남구,'2023.12,8698587,363,1,487
강남구,'2024.01,8732464,287,1,379
강남구,'2024.02,7963189,269,2,360
