자치구,년월,발생건수,부상자수,사망자수,버스승객수
강남구,2005-01,212.0,330.0,2.0,0.0
강남구,2005-02,176.0,299.0,1.0,0.0
강남구,2005-03,225.0,323.0,2.0,0.0
강남구,2005-04,247.0,337.0,2.0,0.0
강남구,2005-05,275.0,404.0,3.0,0.0
강남구,2005-06,268.0,399.0,3.0,0.0
강남구,2005-07,299.0,447.0,3.0,0.0
강남구,2005-08,300.0,448.0,2.0,0.0
강남구,2005-09,280.0,422.0,1.0,0.0
강남구,2005-10,264.0,389.0,4.0,0.0
강남구,2005-11,249.0,368.0,2.0,0.0
강남구,2005-12,331.0,516.0,3.0,0.0
강남구,2006-01,209.0,330.0,3.0,0.0
강남구,2006-02,234.0,354.0,3.0,0.0
강남구,2006-03,229.0,311.0,1.0,0.0
강남구,2006-04,267.0,383.0,2.0,0.0
강남구,2006-05,320.0,471.0,1.0,0.0
강남구,2006-06,277.0,404.0,5.0,0.0
강남구,2006-07,321.0,497.0,5.0,0.0
강남구,2006-08,352.0,507.0,3.0,0.0
강남구,2006-09,328.0,470.0,3.0,0.0
강남구,2006-10,232.0,335.0,4.0,0.0
강남구,2006-11,300.0,446.0,5.0,0.0
강남구,2006-12,252.0,361.0,2.0,0.0
강남구,2007-01,262.0,394.0,2.0,0.0
강남구,2007-02,244.0,409.0,1.0,0.0
강남구,2007-03,294.0,430.0,2.0,0.0
강남구,2007-04,269.0,380.0,0.0,0.0
강남구,2007-05,261.0,366.0,2.0,0.0
강남구,2007-06,304.0,435.0,6.0,0.0
강남구,2007-07,288.0,420.0,4.0,0.0
강남구,2007-08,274.0,403.0,3.0,0.0
강남구,2007-09,278.0,414.0,2.0,0.0
강남구,2007-10,290.0,395.0,3.0,0.0
강남구,2007-11,277.0,383.0,4.0,0.0
강남구,2007-12,270.0,407.0,1.0,0.0
강남구,2008-01,246.0,379.0,4.0,0.0
강남구,2008-02,190.0,278.0,2.0,0.0
강남구,2008-03,249.0,346.0,0.0,0.0
강남구,2008-04,288.0,405.0,1.0,0.0
강남구,2008-05,274.0,378.0,3.0,0.0
강남구,2008-06,303.0,475.0,1.0,0.0
강남구,2008-07,308.0,420.0,7.0,0.0
강남구,2008-08,241.0,330.0,1.0,0.0
강남구,2008-09,236.0,330.0,1.0,0.0
강남구,2008-10,258.0,355.0,1.0,0.0
강남구,2008-11,279.0,403.0,3.0,0.0
강남구,2008-12,259.0,370.0,1.0,0.0
강남구,2009-01,288.0,443.0,3.0,0.0
강남구,2009-02,263.0,364.0,4.0,0.0
강남구,2009-03,293.0,437.0,2.0,0.0
강남구,2009-04,340.0,444.0,3.0,0.0
강남구,2009-05,319.0,472.0,1.0,0.0
강남구,2009-06,305.0,439.0,1.0,0.0
강남구,2009-07,311.0,473.0,0.0,0.0
강남구,2009-08,313.0,484.0,2.0,0.0
강남구,2009-09,302.0,427.0,4.0,0.0
강남구,2009-10,331.0,497.0,5.0,0.0
강남구,2009-11,336.0,495.0,1.0,0.0
강남구,2009-12,322.0,480.0,1.0,0.0
강남구,2010-01,298.0,455.0,3.0,0.0
강남구,2010-02,260.0,386.0,2.0,0.0
강남구,2010-03,320.0,480.0,1.0,0.0
강남구,2010-04,325.0,464.0,3.0,0.0
강남구,2010-05,298.0,405.0,3.0,0.0
강남구,2010-06,300.0,439.0,7.0,0.0
강남구,2010-07,330.0,484.0,4.0,0.0
강남구,2010-08,280.0,389.0,0.0,0.0
강남구,2010-09,270.0,406.0,1.0,0.0
강남구,2010-10,288.0,430.0,1.0,0.0
강남구,2010-11,300.0,424.0,3.0,0.0
강남구,2010-12,282.0,414.0,3.0,0.0
강남구,2011-01,229.0,331.0,4.0,0.0
강남구,2011-02,204.0,297.0,2.0,0.0
강남구,2011-03,260.0,374.0,1.0,0.0
강남구,2011-04,292.0,436.0,2.0,0.0
강남구,2011-05,281.0,398.0,4.0,0.0
강남구,2011-06,289.0,431.0,6.0,0.0
강남구,2011-07,350.0,494.0,2.0,0.0
강남구,2011-08,294.0,449.0,4.0,0.0
강남구,2011-09,299.0,417.0,1.0,0.0
강남구,2011-10,353.0,544.0,3.0,0.0
강남구,2011-11,333.0,461.0,5.0,0.0
강남구,2011-12,378.0,552.0,2.0,0.0
강남구,2012-01,303.0,463.0,3.0,0.0
강남구,2012-02,279.0,452.0,1.0,0.0
강남구,2012-03,341.0,515.0,3.0,0.0
강남구,2012-04,305.0,461.0,1.0,0.0
강남구,2012-05,333.0,485.0,1.0,0.0
강남구,2012-06,323.0,457.0,3.0,0.0
강남구,2012-07,363.0,481.0,4.0,0.0
강남구,2012-08,300.0,442.0,3.0,0.0
강남구,2012-09,311.0,448.0,2.0,0.0
강남구,2012-10,303.0,432.0,0.0,0.0
강남구,2012-11,348.0,483.0,2.0,0.0
강남구,2012-12,334.0,547.0,2.0,0.0
강남구,2013-01,287.0,444.0,2.0,0.0
강남구,2013-02,267.0,437.0,1.0,0.0
강남구,2013-03,304.0,459.0,3.0,0.0
강남구,2013-04,309.0,474.0,5.0,0.0
강남구,2013-05,307.0,456.0,3.0,0.0
강남구,2013-06,287.0,406.0,1.0,0.0
강남구,2013-07,331.0,502.0,1.0,0.0
강남구,2013-08,294.0,414.0,5.0,0.0
강남구,2013-09,256.0,370.0,0.0,0.0
강남구,2013-10,316.0,439.0,4.0,0.0
강남구,2013-11,337.0,452.0,3.0,0.0
강남구,2013-12,315.0,473.0,3.0,0.0
강남구,2014-01,270.0,360.0,0.0,0.0
강남구,2014-02,264.0,393.0,0.0,0.0
강남구,2014-03,300.0,404.0,4.0,0.0
강남구,2014-04,292.0,405.0,1.0,0.0
강남구,2014-05,298.0,426.0,2.0,0.0
강남구,2014-06,323.0,487.0,3.0,0.0
강남구,2014-07,326.0,464.0,1.0,0.0
강남구,2014-08,278.0,429.0,1.0,0.0
강남구,2014-09,297.0,424.0,2.0,0.0
강남구,2014-10,309.0,465.0,2.0,0.0
강남구,2014-11,334.0,498.0,1.0,0.0
강남구,2014-12,333.0,514.0,0.0,0.0
강남구,2015-01,309.0,453.0,1.0,0.0
강남구,2015-02,287.0,424.0,2.0,0.0
강남구,2015-03,345.0,552.0,5.0,0.0
강남구,2015-04,322.0,473.0,1.0,0.0
강남구,2015-05,303.0,438.0,1.0,0.0
강남구,2015-06,296.0,433.0,0.0,0.0
강남구,2015-07,377.0,535.0,0.0,0.0
강남구,2015-08,320.0,435.0,2.0,0.0
강남구,2015-09,306.0,411.0,2.0,0.0
강남구,2015-10,371.0,499.0,3.0,0.0
강남구,2015-11,360.0,513.0,1.0,0.0
강남구,2015-12,374.0,520.0,2.0,0.0
강남구,2016-01,282.0,420.0,0.0,0.0
강남구,2016-02,245.0,356.0,0.0,0.0
강남구,2016-03,325.0,423.0,3.0,0.0
강남구,2016-04,333.0,454.0,0.0,0.0
강남구,2016-05,330.0,447.0,1.0,0.0
강남구,2016-06,341.0,489.0,3.0,0.0
강남구,2016-07,354.0,501.0,1.0,0.0
강남구,2016-08,323.0,449.0,0.0,0.0
강남구,2016-09,311.0,442.0,0.0,0.0
강남구,2016-10,336.0,504.0,3.0,0.0
강남구,2016-11,318.0,457.0,0.0,0.0
강남구,2016-12,330.0,503.0,1.0,0.0
강남구,2017-01,302.0,464.0,2.0,0.0
강남구,2017-02,256.0,366.0,1.0,0.0
강남구,2017-03,296.0,433.0,3.0,0.0
강남구,2017-04,275.0,388.0,1.0,0.0
강남구,2017-05,281.0,405.0,1.0,0.0
강남구,2017-06,299.0,423.0,2.0,0.0
강남구,2017-07,296.0,423.0,0.0,0.0
강남구,2017-08,287.0,401.0,1.0,0.0
강남구,2017-09,282.0,390.0,5.0,0.0
강남구,2017-10,270.0,387.0,2.0,0.0
강남구,2017-11,302.0,410.0,1.0,0.0
강남구,2017-12,323.0,469.0,0.0,0.0
강남구,2018-01,316.0,456.0,1.0,0.0
강남구,2018-02,249.0,369.0,1.0,0.0
강남구,2018-03,278.0,393.0,3.0,0.0
