년월,재난사고_사고건수_x,재난사고_사상자수_x,재난사고_사고건수_y,재난사고_사상자수_y,감전사고_사상자수
2013-0101,0.0,0.0,0.0,0.0,8
2013-0201,0.0,0.0,0.0,0.0,5
2013-0301,0.0,0.0,0.0,0.0,10
2013-0401,0.0,0.0,0.0,0.0,13
2013-0501,0.0,0.0,0.0,0.0,11
2013-0601,0.0,0.0,0.0,0.0,13
2013-0701,0.0,0.0,0.0,0.0,18
2013-0801,0.0,0.0,0.0,0.0,10
2013-0901,0.0,0.0,0.0,0.0,12
2013-1001,0.0,0.0,0.0,0.0,11
2013-1101,0.0,0.0,0.0,0.0,7
2013-1201,0.0,0.0,0.0,0.0,6
2014-0101,0.0,0.0,0.0,0.0,9
2014-0201,0.0,0.0,0.0,0.0,5
2014-0401,0.0,0.0,0.0,0.0,8
2014-0501,0.0,0.0,0.0,0.0,11
2014-0601,0.0,0.0,0.0,0.0,10
2014-0701,0.0,0.0,0.0,0.0,10
2014-0801,0.0,0.0,0.0,0.0,3
2014-0901,0.0,0.0,0.0,0.0,5
2014-1001,0.0,0.0,0.0,0.0,5
2014-1101,0.0,0.0,0.0,0.0,8
2014-1201,0.0,0.0,0.0,0.0,4
2015-0101,0.0,0.0,0.0,0.0,10
2015-0201,0.0,0.0,0.0,0.0,2
2015-0301,0.0,0.0,0.0,0.0,7
2015-0401,0.0,0.0,0.0,0.0,13
2015-0501,0.0,0.0,0.0,0.0,8
2015-0601,0.0,0.0,0.0,0.0,8
2015-0701,0.0,0.0,0.0,0.0,6
2015-0801,0.0,0.0,0.0,0.0,7
2015-0901,0.0,0.0,0.0,0.0,4
2015-1001,0.0,0.0,0.0,0.0,7
2015-1101,0.0,0.0,0.0,0.0,6
2015-1201,0.0,0.0,0.0,0.0,6
2016-0101,0.0,0.0,0.0,0.0,4
2016-0201,0.0,0.0,0.0,0.0,3
2016-0301,0.0,0.0,0.0,0.0,11
2016-0401,0.0,0.0,0.0,0.0,6
2016-0501,0.0,0.0,0.0,0.0,7
