구,연도,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,거주인구,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
강남구,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,2546.0,36.0,578.0,4087.0,45.0,854.7,5.1,128.9
강남구,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,2704.0,36.0,623.0,4239.0,44.0,862.3,6.6,132.3
강남구,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,2636.0,43.0,672.0,4140.0,54.0,849.6,5.3,128.6
강남구,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,6829995.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,2431.0,37.0,703.0,3745.0,46.0,790.1,4.4,120.8
강남구,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,6828201.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,2857.0,85.0,824.0,4556.0,102.0,957.9,4.7,143.1
강남구,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,6862974.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,2745.0,66.0,781.0,4351.0,75.0,896.9,5.4,131.9
강남구,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,6909210.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,2669.0,86.0,869.0,4243.0,108.0,904.7,6.3,136.1
강남구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,6835662.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,2867.0,100.0,956.0,4626.0,109.0,994.0,4.4,151.4
강남구,2013,25.0,3099.0,267.0,159.0,33.0,4590.0,390.0,255.0,399.0,6824886.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,2706.0,83.0,877.0,4379.0,101.0,935.8,5.4,143.2
강남구,2014,30.0,3280.0,206.0,89.0,58.0,4755.0,300.0,145.0,400.0,6922425.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,2639.0,109.0,933.0,4209.0,144.0,903.1,2.9,140.3
강남구,2015,15.0,3569.0,298.0,80.0,22.0,5111.0,446.0,111.0,477.0,6986472.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,2962.0,90.0,960.0,4641.0,105.0,977.4,3.4,151.8
강남구,2016,12.0,3370.0,247.0,85.0,14.0,4786.0,360.0,126.0,559.0,6907167.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,2883.0,69.0,936.0,4429.0,92.0,951.7,2.1,147.3
강남구,2017,24.0,3132.0,192.0,81.0,37.0,4491.0,271.0,128.0,475.0,6797124.0,96.0,2812.0,60.0,146.0,4122.0,90.0,810.0,2590.0,69.0,864.0,4037.0,77.0,883.9,3.4,136.0
강남구,2018,13.0,3004.0,191.0,87.0,20.0,4330.0,283.0,120.0,406.0,6619383.0,81.0,2835.0,49.0,120.0,4181.0,63.0,749.0,2639.0,71.0,792.0,4108.0,87.0,907.3,3.7,137.2
강남구,2019,1.0,3308.0,206.0,97.0,1.0,4609.0,302.0,133.0,437.0,6581187.0,104.0,2888.0,63.0,132.0,4155.0,88.0,825.0,2832.0,65.0,867.0,4252.0,77.0,941.8,2.5,147.4
