동별,구분별,연월,거주인구,유동인구
종로구,계,2008-01-01,176619,0
종로구,계,2008-02-01,176619,0
종로구,계,2008-03-01,176619,0
종로구,계,2008-04-01,178131,0
종로구,계,2008-05-01,178131,0
종로구,계,2008-06-01,178131,0
종로구,계,2008-07-01,179330,0
종로구,계,2008-08-01,179330,0
종로구,계,2008-09-01,179330,0
종로구,계,2008-10-01,179754,0
종로구,계,2008-11-01,179754,0
종로구,계,2008-12-01,179754,0
종로구,계,2009-01-01,179661,0
종로구,계,2009-02-01,179661,0
종로구,계,2009-03-01,179661,0
종로구,계,2009-04-01,178569,0
종로구,계,2009-05-01,178569,0
종로구,계,2009-06-01,178569,0
종로구,계,2009-07-01,178352,0
종로구,계,2009-08-01,178352,0
종로구,계,2009-09-01,178352,0
종로구,계,2009-10-01,177543,0
종로구,계,2009-11-01,177543,0
종로구,계,2009-12-01,177543,0
종로구,계,2010-01-01,177023,0
종로구,계,2010-02-01,177023,0
종로구,계,2010-03-01,177023,0
종로구,계,2010-04-01,176143,0
종로구,계,2010-05-01,176143,0
종로구,계,2010-06-01,176143,0
종로구,계,2010-07-01,175049,0
종로구,계,2010-08-01,175049,0
종로구,계,2010-09-01,175049,0
종로구,계,2010-10-01,179362,0
종로구,계,2010-11-01,179362,0
종로구,계,2010-12-01,179362,0
종로구,계,2011-01-01,179068,0
종로구,계,2011-02-01,179068,0
종로구,계,2011-03-01,179068,0
종로구,계,2011-04-01,178779,0
종로구,계,2011-05-01,178779,0
종로구,계,2011-06-01,178779,0
종로구,계,2011-07-01,178539,0
종로구,계,2011-08-01,178539,0
종로구,계,2011-09-01,178539,0
종로구,계,2011-10-01,177419,0
종로구,계,2011-11-01,177419,0
종로구,계,2011-12-01,177419,0
종로구,계,2012-01-01,176766,0
종로구,계,2012-02-01,176766,0
종로구,계,2012-03-01,176766,0
종로구,계,2012-04-01,175430,0
종로구,계,2012-05-01,175430,0
종로구,계,2012-06-01,175430,0
종로구,계,2012-07-01,174850,0
종로구,계,2012-08-01,174850,0
종로구,계,2012-09-01,174850,0
종로구,계,2012-10-01,173148,0
종로구,계,2012-11-01,173148,0
종로구,계,2012-12-01,173148,0
종로구,계,2013-01-01,170681,0
종로구,계,2013-02-01,170681,0
종로구,계,2013-03-01,170681,0
종로구,계,2013-04-01,169294,0
종로구,계,2013-05-01,169294,0
종로구,계,2013-06-01,169294,0
종로구,계,2013-07-01,168943,0
종로구,계,2013-08-01,168943,0
종로구,계,2013-09-01,168943,0
종로구,계,2013-10-01,167867,0
종로구,계,2013-11-01,167867,0
종로구,계,2013-12-01,167867,0
종로구,계,2014-01-01,167350,0
종로구,계,2014-02-01,167350,0
종로구,계,2014-03-01,167350,0
종로구,계,2014-04-01,166665,0
종로구,계,2014-05-01,166665,0
종로구,계,2014-06-01,166665,0
종로구,계,2014-07-01,166200,0
종로구,계,2014-08-01,166200,0
종로구,계,2014-09-01,166200,0
종로구,계,2014-10-01,165344,0
종로구,계,2014-11-01,165344,0
종로구,계,2014-12-01,165344,0
종로구,계,2015-01-01,165240,0
종로구,계,2015-02-01,165240,0
종로구,계,2015-03-01,165240,0
종로구,계,2015-04-01,164291,0
종로구,계,2015-05-01,164291,0
종로구,계,2015-06-01,164291,0
종로구,계,2015-07-01,164499,0
종로구,계,2015-08-01,164499,0
종로구,계,2015-09-01,164499,0
종로구,계,2015-10-01,163822,0
종로구,계,2015-11-01,163822,0
종로구,계,2015-12-01,163822,0
종로구,계,2016-01-01,163993,0
종로구,계,2016-02-01,163993,0
종로구,계,2016-03-01,163993,0
종로구,계,2016-04-01,163235,0
종로구,계,2016-05-01,163235,0
종로구,계,2016-06-01,163235,0
종로구,계,2016-07-01,162957,0
종로구,계,2016-08-01,162957,0
종로구,계,2016-09-01,162957,0
종로구,계,2016-10-01,161922,0
종로구,계,2016-11-01,161922,0
종로구,계,2016-12-01,161922,0
종로구,계,2017-01-01,162820,0
종로구,계,2017-02-01,162820,0
종로구,계,2017-03-01,162820,0
종로구,계,2017-04-01,163521,0
종로구,계,2017-05-01,163521,0
종로구,계,2017-06-01,163521,0
종로구,계,2017-07-01,164640,0
종로구,계,2017-08-01,164640,0
종로구,계,2017-09-01,164640,0
종로구,계,2017-10-01,164257,0
종로구,계,2017-11-01,164257,0
종로구,계,2017-12-01,164257,0
종로구,계,2018-01-01,164348,0
종로구,계,2018-02-01,164348,0
종로구,계,2018-03-01,164348,0
종로구,계,2018-04-01,163569,0
종로구,계,2018-05-01,163569,0
종로구,계,2018-06-01,163569,0
종로구,계,2018-07-01,163086,0
종로구,계,2018-08-01,163086,0
종로구,계,2018-09-01,163086,0
종로구,계,2018-10-01,163026,0
종로구,계,2018-11-01,163026,0
종로구,계,2018-12-01,163026,0
종로구,계,2019-01-01,162913,0
종로구,계,2019-02-01,162913,0
종로구,계,2019-03-01,162913,0
종로구,계,2019-04-01,162413,0
종로구,계,2019-05-01,162413,0
종로구,계,2019-06-01,162413,0
종로구,계,2019-07-01,162860,0
종로구,계,2019-08-01,162860,0
종로구,계,2019-09-01,162860,0
종로구,계,2019-10-01,161869,0
종로구,계,2019-11-01,161869,0
종로구,계,2019-12-01,161869,0
종로구,계,2020-01-01,161984,0
종로구,계,2020-02-01,161984,0
종로구,계,2020-03-01,161984,0
종로구,계,2020-04-01,160520,0
종로구,계,2020-05-01,160520,0
종로구,계,2020-06-01,160520,0
종로구,계,2020-07-01,159842,0
종로구,계,2020-08-01,159842,0
종로구,계,2020-09-01,159842,0
종로구,계,2020-10-01,158996,0
종로구,계,2020-11-01,158996,0
종로구,계,2020-12-01,158996,0
종로구,계,2021-01-01,156567,0
종로구,계,2021-02-01,156567,0
종로구,계,2021-03-01,156567,0
종로구,계,2021-04-01,155106,0
종로구,계,2021-05-01,155106,0
종로구,계,2021-06-01,155106,0
종로구,계,2021-07-01,154318,0
