연도,자치구,가해_발생건수,피해_발생건수,가해_사망자수,피해_사망자수,가해_부상자수,피해_부상자수
2005,소계,210,1343,8,22,224,1387
2005,종로구,4,24,0,0,4,25
2005,중구,3,16,0,0,3,16
2005,용산구,3,19,0,0,3,19
2005,성동구,8,54,0,2,11,59
2005,광진구,7,95,0,1,8,99
2005,동대문구,15,82,2,1,14,84
2005,중랑구,21,85,1,1,20,87
2005,성북구,5,51,0,2,5,51
2005,강북구,5,31,1,1,5,31
2005,도봉구,10,51,0,2,13,51
2005,노원구,18,106,1,0,17,107
2005,은평구,6,56,0,1,8,58
2005,서대문구,3,19,0,1,3,19
2005,마포구,7,42,0,1,8,41
2005,양천구,6,75,0,2,6,75
2005,강서구,5,72,0,0,5,79
2005,구로구,23,46,1,1,27,51
2005,금천구,4,19,1,1,3,20
2005,영등포구,15,83,0,0,16,86
2005,동작구,3,17,0,0,3,17
2005,관악구,5,32,0,0,5,33
2005,서초구,2,24,0,0,2,28
2005,강남구,8,36,1,0,9,42
2005,송파구,17,114,0,0,19,117
2005,강동구,7,94,0,5,7,92
2006,소계,268,1419,11,14,266,1451
2006,종로구,2,18,0,0,2,18
2006,중구,0,12,0,0,0,12
2006,용산구,9,22,0,0,9,23
2006,성동구,6,53,0,0,6,54
2006,광진구,5,93,1,0,5,96
2006,동대문구,28,80,3,0,26,82
2006,중랑구,35,127,1,1,35,132
2006,성북구,4,37,0,0,4,37
2006,강북구,5,34,0,0,5,36
2006,도봉구,20,48,0,1,20,48
2006,노원구,16,110,1,0,16,110
2006,은평구,12,66,0,2,13,65
2006,서대문구,2,14,0,0,2,14
2006,마포구,7,67,2,0,6,68
2006,양천구,3,81,0,1,3,84
2006,강서구,10,82,0,2,10,86
2006,구로구,15,44,0,2,16,43
2006,금천구,10,21,0,0,10,23
2006,영등포구,28,91,1,3,28,92
2006,동작구,5,24,0,0,5,25
2006,관악구,5,42,1,0,4,45
2006,서초구,4,20,0,0,5,20
2006,강남구,5,25,0,0,5,26
2006,송파구,14,117,0,2,14,118
2006,강동구,18,91,1,0,17,94
2007,소계,356,1553,8,17,380,1599
2007,종로구,9,27,0,1,9,29
2007,중구,1,17,0,0,1,18
2007,용산구,4,14,0,1,4,14
2007,성동구,14,66,0,0,14,67
2007,광진구,19,110,0,0,20,113
2007,동대문구,25,87,2,1,27,93
2007,중랑구,31,120,1,1,35,124
2007,성북구,4,53,0,1,4,55
2007,강북구,11,49,1,0,10,49
2007,도봉구,14,45,0,1,14,45
2007,노원구,20,120,0,1,22,124
2007,은평구,22,68,0,0,24,72
2007,서대문구,2,23,0,0,2,23
2007,마포구,20,39,0,1,21,38
2007,양천구,8,59,0,0,9,61
2007,강서구,25,79,3,0,23,83
2007,구로구,23,64,0,2,26,68
2007,금천구,9,23,0,0,11,24
2007,영등포구,34,82,0,2,40,87
2007,동작구,4,27,0,0,4,28
2007,관악구,15,36,0,1,16,35
2007,서초구,6,25,0,0,7,25
2007,강남구,6,42,0,0,7,43
2007,송파구,17,178,1,2,17,181
2007,강동구,13,100,0,2,13,100
2008,소계,763,1998,13,16,807,2090
2008,종로구,13,28,0,0,14,28
2008,중구,5,18,1,0,4,19
2008,용산구,6,17,1,0,5,17
2008,성동구,19,84,1,1,18,88
2008,광진구,26,135,0,0,28,143
2008,동대문구,48,91,1,2,53,93
2008,중랑구,63,126,0,1,67,135
2008,성북구,21,61,0,0,22,64
2008,강북구,25,58,0,0,26,59
2008,도봉구,36,67,0,0,36,71
2008,노원구,31,105,2,0,31,111
2008,은평구,39,108,0,0,45,112
2008,서대문구,7,26,0,1,7,26
2008,마포구,44,71,0,0,46,73
2008,양천구,32,109,2,1,34,122
2008,강서구,60,124,2,3,62,127
2008,구로구,43,76,0,1,53,81
2008,금천구,18,39,0,0,18,41
2008,영등포구,58,135,0,1,60,141
2008,동작구,8,34,0,1,9,34
2008,관악구,26,68,0,0,29,70
2008,서초구,21,35,0,0,22,35
2008,강남구,20,59,1,0,24,63
2008,송파구,40,177,2,4,39,182
2008,강동구,54,147,0,0,55,155
2009,소계,1001,2159,16,29,1049,2236
2009,종로구,16,26,0,0,16,27
2009,중구,13,21,0,0,13,21
2009,용산구,14,30,0,0,16,32
2009,성동구,41,77,1,1,44,79
2009,광진구,24,151,1,5,28,152
2009,동대문구,80,138,1,1,82,141
2009,중랑구,94,124,1,1,94,129
2009,성북구,31,80,1,0,33,84
2009,강북구,18,55,0,1,18,58
2009,도봉구,25,94,0,1,27,98
2009,노원구,44,156,0,1,45,159
2009,은평구,72,120,0,0,75,124
2009,서대문구,17,31,1,0,17,32
2009,마포구,38,61,0,4,42,60
2009,양천구,48,133,1,1,50,138
2009,강서구,60,87,1,1,61,89
2009,구로구,37,71,2,1,37,76
2009,금천구,27,45,1,2,30,44
2009,영등포구,115,123,1,3,130,133
2009,동작구,32,36,0,0,34,37
2009,관악구,20,57,0,3,20,56
2009,서초구,18,28,0,1,20,29
2009,강남구,24,68,0,0,24,71
2009,송파구,55,220,1,0,56,231
2009,강동구,38,127,3,2,37,136
2010,소계,998,1970,12,22,1036,2037
2010,종로구,14,25,0,1,14,25
2010,중구,17,26,0,1,18,25
2010,용산구,10,23,0,1,11,23
2010,성동구,46,68,1,2,45,67
2010,광진구,33,124,0,2,35,126
2010,동대문구,53,115,1,1,56,115
2010,중랑구,115,93,1,4,116,94
2010,성북구,23,75,0,0,23,77
2010,강북구,16,56,0,0,17,62
2010,도봉구,33,71,1,1,33,72
2010,노원구,28,126,0,1,28,132
2010,은평구,64,75,0,0,66,83
2010,서대문구,16,29,1,1,15,29
2010,마포구,36,81,0,0,37,85
2010,양천구,51,104,0,0,53,110
