구,항목,모델,R2,학습데이터수
강남구,눈_발생건수,선형회귀,0.1788,11
강동구,눈_발생건수,선형회귀,0.167,11
강북구,눈_발생건수,선형회귀,0.1635,11
강서구,눈_발생건수,선형회귀,0.3563,11
관악구,눈_발생건수,선형회귀,0.6378,11
광진구,눈_발생건수,선형회귀,0.322,11
구로구,눈_발생건수,선형회귀,0.5784,11
금천구,눈_발생건수,선형회귀,0.6762,11
노원구,눈_발생건수,선형회귀,0.408,11
도봉구,눈_발생건수,선형회귀,0.697,11
동대문구,눈_발생건수,선형회귀,0.2198,11
동작구,눈_발생건수,선형회귀,0.7301,11
마포구,눈_발생건수,선형회귀,0.8471,11
서대문구,눈_발생건수,선형회귀,0.3419,11
서초구,눈_발생건수,선형회귀,0.1016,11
성동구,눈_발생건수,선형회귀,0.1502,11
성북구,눈_발생건수,선형회귀,0.177,11
송파구,눈_발생건수,선형회귀,0.3217,11
양천구,눈_발생건수,선형회귀,0.6703,11
영등포구,눈_발생건수,선형회귀,0.711,11
용산구,눈_발생건수,선형회귀,0.3487,11
은평구,눈_발생건수,선형회귀,0.6952,11
종로구,눈_발생건수,선형회귀,0.1535,11
중구,눈_발생건수,선형회귀,0.4031,11
중랑구,눈_발생건수,선형회귀,0.5771,11
강남구,맑음_발생건수,선형회귀,0.5091,11
강동구,맑음_발생건수,선형회귀,0.7361,11
강북구,맑음_발생건수,선형회귀,0.358,11
강서구,맑음_발생건수,선형회귀,0.3855,11
관악구,맑음_발생건수,선형회귀,0.8635,11
광진구,맑음_발생건수,선형회귀,0.8546,11
구로구,맑음_발생건수,선형회귀,0.5047,11
금천구,맑음_발생건수,선형회귀,0.1092,11
노원구,맑음_발생건수,선형회귀,0.1715,11
도봉구,맑음_발생건수,선형회귀,0.9454,11
동대문구,맑음_발생건수,선형회귀,0.7939,11
동작구,맑음_발생건수,선형회귀,0.5342,11
마포구,맑음_발생건수,선형회귀,0.7659,11
서대문구,맑음_발생건수,선형회귀,0.6841,11
서초구,맑음_발생건수,선형회귀,0.5175,11
성동구,맑음_발생건수,선형회귀,0.5766,11
성북구,맑음_발생건수,선형회귀,0.7159,11
송파구,맑음_발생건수,선형회귀,0.3829,11
