구,항목,모델,R2,학습데이터수
강남구,기타_부상자수,선형회귀,0.6166,19
강동구,기타_부상자수,선형회귀,0.0431,19
강북구,기타_부상자수,선형회귀,0.4192,19
강서구,기타_부상자수,선형회귀,0.3048,19
관악구,기타_부상자수,선형회귀,0.021,19
광진구,기타_부상자수,선형회귀,0.246,19
구로구,기타_부상자수,선형회귀,0.628,19
금천구,기타_부상자수,선형회귀,0.3856,19
노원구,기타_부상자수,선형회귀,0.0078,19
도봉구,기타_부상자수,선형회귀,0.1866,19
동대문구,기타_부상자수,선형회귀,0.3268,19
동작구,기타_부상자수,선형회귀,0.2939,19
마포구,기타_부상자수,선형회귀,0.1839,19
서대문구,기타_부상자수,선형회귀,0.3453,19
서초구,기타_부상자수,선형회귀,0.3372,19
성동구,기타_부상자수,선형회귀,0.1464,19
성북구,기타_부상자수,선형회귀,0.163,19
송파구,기타_부상자수,선형회귀,0.2775,19
양천구,기타_부상자수,선형회귀,0.5188,19
영등포구,기타_부상자수,선형회귀,0.1572,19
용산구,기타_부상자수,선형회귀,0.2599,19
은평구,기타_부상자수,선형회귀,0.3464,19
종로구,기타_부상자수,선형회귀,0.098,19
중구,기타_부상자수,선형회귀,0.1876,19
중랑구,기타_부상자수,선형회귀,0.1896,19
강남구,기타_사망자수,선형회귀,0.0247,19
강동구,기타_사망자수,선형회귀,0.022,19
강북구,기타_사망자수,선형회귀,0.0284,19
강서구,기타_사망자수,선형회귀,0.2577,19
관악구,기타_사망자수,선형회귀,0.0472,19
광진구,기타_사망자수,선형회귀,0.0361,19
구로구,기타_사망자수,선형회귀,0.2443,19
금천구,기타_사망자수,선형회귀,0.0232,19
노원구,기타_사망자수,선형회귀,0.1055,19
도봉구,기타_사망자수,선형회귀,0.1348,19
동대문구,기타_사망자수,선형회귀,0.124,19
동작구,기타_사망자수,선형회귀,0.1621,19
마포구,기타_사망자수,선형회귀,0.0319,19
서대문구,기타_사망자수,선형회귀,0.0199,19
서초구,기타_사망자수,선형회귀,0.0445,19
성동구,기타_사망자수,선형회귀,0.0717,19
성북구,기타_사망자수,선형회귀,0.0136,19
송파구,기타_사망자수,선형회귀,0.0691,19
양천구,기타_사망자수,선형회귀,0.1747,19
영등포구,기타_사망자수,선형회귀,0.0525,19
용산구,기타_사망자수,선형회귀,0.0265,19
은평구,기타_사망자수,선형회귀,0.057,19
종로구,기타_사망자수,선형회귀,0.0684,19
중구,기타_사망자수,선형회귀,0.1196,19
중랑구,기타_사망자수,선형회귀,0.0918,19
강남구,길가장자리구역통행중_부상자수,선형회귀,0.0006,19
강동구,길가장자리구역통행중_부상자수,선형회귀,0.3204,19
강북구,길가장자리구역통행중_부상자수,선형회귀,0.4908,19
강서구,길가장자리구역통행중_부상자수,선형회귀,0.274,19
관악구,길가장자리구역통행중_부상자수,선형회귀,0.5748,19
광진구,길가장자리구역통행중_부상자수,선형회귀,0.0514,19
구로구,길가장자리구역통행중_부상자수,선형회귀,0.2116,19
금천구,길가장자리구역통행중_부상자수,선형회귀,0.6614,19
노원구,길가장자리구역통행중_부상자수,선형회귀,0.2857,19
도봉구,길가장자리구역통행중_부상자수,선형회귀,0.2117,19
동대문구,길가장자리구역통행중_부상자수,선형회귀,0.1157,19
동작구,길가장자리구역통행중_부상자수,선형회귀,0.1991,19
마포구,길가장자리구역통행중_부상자수,선형회귀,0.2435,19
서대문구,길가장자리구역통행중_부상자수,선형회귀,0.4365,19
서초구,길가장자리구역통행중_부상자수,선형회귀,0.2181,19
성동구,길가장자리구역통행중_부상자수,선형회귀,0.7053,19
성북구,길가장자리구역통행중_부상자수,선형회귀,0.338,19
송파구,길가장자리구역통행중_부상자수,선형회귀,0.2556,19
양천구,길가장자리구역통행중_부상자수,선형회귀,0.3002,19
영등포구,길가장자리구역통행중_부상자수,선형회귀,0.2668,19
용산구,길가장자리구역통행중_부상자수,선형회귀,0.1303,19
은평구,길가장자리구역통행중_부상자수,선형회귀,0.555,19
종로구,길가장자리구역통행중_부상자수,선형회귀,0.2626,19
중구,길가장자리구역통행중_부상자수,선형회귀,0.7159,19
중랑구,길가장자리구역통행중_부상자수,선형회귀,0.3611,19
강남구,길가장자리구역통행중_사망자수,선형회귀,0.1247,19
강동구,길가장자리구역통행중_사망자수,선형회귀,0.1929,19
강북구,길가장자리구역통행중_사망자수,선형회귀,0.1677,19
강서구,길가장자리구역통행중_사망자수,선형회귀,0.1207,19
관악구,길가장자리구역통행중_사망자수,선형회귀,0.0518,19
광진구,길가장자리구역통행중_사망자수,선형회귀,0.0752,19
구로구,길가장자리구역통행중_사망자수,선형회귀,0.0693,19
금천구,길가장자리구역통행중_사망자수,선형회귀,0.2914,19
노원구,길가장자리구역통행중_사망자수,선형회귀,0.0783,19
도봉구,길가장자리구역통행중_사망자수,선형회귀,0.2975,19
동대문구,길가장자리구역통행중_사망자수,선형회귀,0.0706,19
동작구,길가장자리구역통행중_사망자수,선형회귀,0.1371,19
마포구,길가장자리구역통행중_사망자수,선형회귀,0.0042,19
서대문구,길가장자리구역통행중_사망자수,선형회귀,0.1153,19
서초구,길가장자리구역통행중_사망자수,선형회귀,0.036,19
성동구,길가장자리구역통행중_사망자수,선형회귀,0.0102,19
성북구,길가장자리구역통행중_사망자수,선형회귀,0.1943,19
송파구,길가장자리구역통행중_사망자수,선형회귀,0.0379,19
양천구,길가장자리구역통행중_사망자수,선형회귀,0.2516,19
영등포구,길가장자리구역통행중_사망자수,선형회귀,0.1744,19
용산구,길가장자리구역통행중_사망자수,선형회귀,0.3132,19
은평구,길가장자리구역통행중_사망자수,선형회귀,0.4391,19
종로구,길가장자리구역통행중_사망자수,선형회귀,0.0977,19
중구,길가장자리구역통행중_사망자수,선형회귀,0.1185,19
중랑구,길가장자리구역통행중_사망자수,선형회귀,0.267,19
강남구,보도통행중_부상자수,선형회귀,0.3275,19
강동구,보도통행중_부상자수,선형회귀,0.2184,19
강북구,보도통행중_부상자수,선형회귀,0.4206,19
강서구,보도통행중_부상자수,선형회귀,0.1146,19
관악구,보도통행중_부상자수,선형회귀,0.4588,19
광진구,보도통행중_부상자수,선형회귀,0.4979,19
구로구,보도통행중_부상자수,선형회귀,0.2725,19
금천구,보도통행중_부상자수,선형회귀,0.0657,19
노원구,보도통행중_부상자수,선형회귀,0.226,19
도봉구,보도통행중_부상자수,선형회귀,0.5421,19
동대문구,보도통행중_부상자수,선형회귀,0.2533,19
동작구,보도통행중_부상자수,선형회귀,0.1909,19
마포구,보도통행중_부상자수,선형회귀,0.2629,19
서대문구,보도통행중_부상자수,선형회귀,0.0364,19
서초구,보도통행중_부상자수,선형회귀,0.1426,19
성동구,보도통행중_부상자수,선형회귀,0.0625,19
성북구,보도통행중_부상자수,선형회귀,0.4567,19
송파구,보도통행중_부상자수,선형회귀,0.1364,19
양천구,보도통행중_부상자수,선형회귀,0.5267,19
영등포구,보도통행중_부상자수,선형회귀,0.271,19
용산구,보도통행중_부상자수,선형회귀,0.3853,19
은평구,보도통행중_부상자수,선형회귀,0.4985,19
종로구,보도통행중_부상자수,선형회귀,0.1387,19
중구,보도통행중_부상자수,선형회귀,0.5791,19
중랑구,보도통행중_부상자수,선형회귀,0.6667,19
강남구,보도통행중_사망자수,선형회귀,0.0586,19
강동구,보도통행중_사망자수,선형회귀,0.1498,19
강북구,보도통행중_사망자수,선형회귀,0.1146,19
강서구,보도통행중_사망자수,선형회귀,0.4424,19
관악구,보도통행중_사망자수,선형회귀,0.1222,19
광진구,보도통행중_사망자수,선형회귀,0.1259,19
구로구,보도통행중_사망자수,선형회귀,0.0673,19
금천구,보도통행중_사망자수,선형회귀,0.1556,19
노원구,보도통행중_사망자수,선형회귀,0.3187,19
도봉구,보도통행중_사망자수,선형회귀,0.258,19
동대문구,보도통행중_사망자수,선형회귀,0.1669,19
동작구,보도통행중_사망자수,선형회귀,0.0369,19
마포구,보도통행중_사망자수,선형회귀,0.06,19
서대문구,보도통행중_사망자수,선형회귀,0.0123,19
서초구,보도통행중_사망자수,선형회귀,0.1063,19
성동구,보도통행중_사망자수,선형회귀,0.2865,19
성북구,보도통행중_사망자수,선형회귀,0.1976,19
송파구,보도통행중_사망자수,선형회귀,0.1447,19
양천구,보도통행중_사망자수,선형회귀,0.3132,19
영등포구,보도통행중_사망자수,선형회귀,0.4273,19
용산구,보도통행중_사망자수,선형회귀,0.0011,19
은평구,보도통행중_사망자수,선형회귀,0.1619,19
종로구,보도통행중_사망자수,선형회귀,0.018,19
중구,보도통행중_사망자수,선형회귀,0.005,19
중랑구,보도통행중_사망자수,선형회귀,0.1915,19
강남구,차도 통행중_부상자수,선형회귀,0.4075,19
강동구,차도 통행중_부상자수,선형회귀,0.2177,19
강북구,차도 통행중_부상자수,선형회귀,0.0117,19
강서구,차도 통행중_부상자수,선형회귀,0.3445,19
관악구,차도 통행중_부상자수,선형회귀,0.1826,19
광진구,차도 통행중_부상자수,선형회귀,0.4433,19
구로구,차도 통행중_부상자수,선형회귀,0.1769,19
금천구,차도 통행중_부상자수,선형회귀,0.1069,19
노원구,차도 통행중_부상자수,선형회귀,0.3535,19
도봉구,차도 통행중_부상자수,선형회귀,0.4541,19
동대문구,차도 통행중_부상자수,선형회귀,0.1172,19
동작구,차도 통행중_부상자수,선형회귀,0.0,19
마포구,차도 통행중_부상자수,선형회귀,0.3085,19
서대문구,차도 통행중_부상자수,선형회귀,0.371,19
서초구,차도 통행중_부상자수,선형회귀,0.2478,19
성동구,차도 통행중_부상자수,선형회귀,0.1205,19
성북구,차도 통행중_부상자수,선형회귀,0.3164,19
송파구,차도 통행중_부상자수,선형회귀,0.4639,19
양천구,차도 통행중_부상자수,선형회귀,0.4327,19
영등포구,차도 통행중_부상자수,선형회귀,0.3652,19
용산구,차도 통행중_부상자수,선형회귀,0.5868,19
은평구,차도 통행중_부상자수,선형회귀,0.4274,19
종로구,차도 통행중_부상자수,선형회귀,0.1157,19
중구,차도 통행중_부상자수,선형회귀,0.5451,19
중랑구,차도 통행중_부상자수,선형회귀,0.2943,19
강남구,차도 통행중_사망자수,선형회귀,0.3746,19
강동구,차도 통행중_사망자수,선형회귀,0.0081,19
강북구,차도 통행중_사망자수,선형회귀,0.2748,19
강서구,차도 통행중_사망자수,선형회귀,0.1947,19
관악구,차도 통행중_사망자수,선형회귀,0.0355,19
광진구,차도 통행중_사망자수,선형회귀,0.1798,19
구로구,차도 통행중_사망자수,선형회귀,0.0293,19
금천구,차도 통행중_사망자수,선형회귀,0.2809,19
노원구,차도 통행중_사망자수,선형회귀,0.2142,19
도봉구,차도 통행중_사망자수,선형회귀,0.0551,19
동대문구,차도 통행중_사망자수,선형회귀,0.1653,19
동작구,차도 통행중_사망자수,선형회귀,0.0262,19
마포구,차도 통행중_사망자수,선형회귀,0.0382,19
서대문구,차도 통행중_사망자수,선형회귀,0.0928,19
서초구,차도 통행중_사망자수,선형회귀,0.0896,19
성동구,차도 통행중_사망자수,선형회귀,0.1949,19
성북구,차도 통행중_사망자수,선형회귀,0.2341,19
송파구,차도 통행중_사망자수,선형회귀,0.1201,19
양천구,차도 통행중_사망자수,선형회귀,0.1216,19
영등포구,차도 통행중_사망자수,선형회귀,0.4149,19
용산구,차도 통행중_사망자수,선형회귀,0.1072,19
은평구,차도 통행중_사망자수,선형회귀,0.2953,19
종로구,차도 통행중_사망자수,선형회귀,0.069,19
중구,차도 통행중_사망자수,선형회귀,0.081,19
중랑구,차도 통행중_사망자수,선형회귀,0.0905,19
강남구,횡단중_부상자수,선형회귀,0.4385,19
강동구,횡단중_부상자수,선형회귀,0.5221,19
강북구,횡단중_부상자수,선형회귀,0.7392,19
강서구,횡단중_부상자수,선형회귀,0.3719,19
관악구,횡단중_부상자수,선형회귀,0.7416,19
광진구,횡단중_부상자수,선형회귀,0.7507,19
구로구,횡단중_부상자수,선형회귀,0.4637,19
금천구,횡단중_부상자수,선형회귀,0.3306,19
노원구,횡단중_부상자수,선형회귀,0.5723,19
도봉구,횡단중_부상자수,선형회귀,0.542,19
동대문구,횡단중_부상자수,선형회귀,0.5388,19
동작구,횡단중_부상자수,선형회귀,0.2908,19
마포구,횡단중_부상자수,선형회귀,0.4937,19
서대문구,횡단중_부상자수,선형회귀,0.302,19
서초구,횡단중_부상자수,선형회귀,0.2772,19
성동구,횡단중_부상자수,선형회귀,0.3597,19
성북구,횡단중_부상자수,선형회귀,0.4603,19
송파구,횡단중_부상자수,선형회귀,0.1628,19
양천구,횡단중_부상자수,선형회귀,0.5461,19
영등포구,횡단중_부상자수,선형회귀,0.6127,19
용산구,횡단중_부상자수,선형회귀,0.2139,19
은평구,횡단중_부상자수,선형회귀,0.7191,19
종로구,횡단중_부상자수,선형회귀,0.6161,19
중구,횡단중_부상자수,선형회귀,0.418,19
중랑구,횡단중_부상자수,선형회귀,0.5519,19
강남구,횡단중_사망자수,선형회귀,0.5973,19
강동구,횡단중_사망자수,선형회귀,0.2102,19
강북구,횡단중_사망자수,선형회귀,0.1563,19
강서구,횡단중_사망자수,선형회귀,0.1345,19
관악구,횡단중_사망자수,선형회귀,0.3066,19
광진구,횡단중_사망자수,선형회귀,0.4455,19
구로구,횡단중_사망자수,선형회귀,0.5482,19
금천구,횡단중_사망자수,선형회귀,0.3012,19
노원구,횡단중_사망자수,선형회귀,0.1921,19
도봉구,횡단중_사망자수,선형회귀,0.1178,19
동대문구,횡단중_사망자수,선형회귀,0.397,19
동작구,횡단중_사망자수,선형회귀,0.1909,19
마포구,횡단중_사망자수,선형회귀,0.3121,19
서대문구,횡단중_사망자수,선형회귀,0.6161,19
서초구,횡단중_사망자수,선형회귀,0.2427,19
성동구,횡단중_사망자수,선형회귀,0.0946,19
성북구,횡단중_사망자수,선형회귀,0.4309,19
송파구,횡단중_사망자수,선형회귀,0.3297,19
양천구,횡단중_사망자수,선형회귀,0.0527,19
영등포구,횡단중_사망자수,선형회귀,0.5939,19
용산구,횡단중_사망자수,선형회귀,0.0118,19
은평구,횡단중_사망자수,선형회귀,0.1477,19
종로구,횡단중_사망자수,선형회귀,0.5821,19
중구,횡단중_사망자수,선형회귀,0.3358,19
중랑구,횡단중_사망자수,선형회귀,0.1377,19
강남구,뺑소니_발생건수,선형회귀,0.5455,19
강동구,뺑소니_발생건수,선형회귀,0.3415,19
강북구,뺑소니_발생건수,선형회귀,0.8149,19
강서구,뺑소니_발생건수,선형회귀,0.532,19
관악구,뺑소니_발생건수,선형회귀,0.757,19
광진구,뺑소니_발생건수,선형회귀,0.8015,19
구로구,뺑소니_발생건수,선형회귀,0.4487,19
금천구,뺑소니_발생건수,선형회귀,0.6657,19
노원구,뺑소니_발생건수,선형회귀,0.7083,19
도봉구,뺑소니_발생건수,선형회귀,0.8683,19
동대문구,뺑소니_발생건수,선형회귀,0.8688,19
동작구,뺑소니_발생건수,선형회귀,0.5101,19
마포구,뺑소니_발생건수,선형회귀,0.5062,19
서대문구,뺑소니_발생건수,선형회귀,0.6926,19
서초구,뺑소니_발생건수,선형회귀,0.3596,19
성동구,뺑소니_발생건수,선형회귀,0.6117,19
성북구,뺑소니_발생건수,선형회귀,0.8275,19
