구,항목,모델,R2,학습데이터수
강남구,승용계_발생건수,선형회귀,0.3552,7
강동구,승용계_발생건수,선형회귀,0.7777,7
강북구,승용계_발생건수,선형회귀,0.7396,7
강서구,승용계_발생건수,선형회귀,0.5417,7
관악구,승용계_발생건수,선형회귀,0.3919,7
광진구,승용계_발생건수,선형회귀,0.8946,7
구로구,승용계_발생건수,선형회귀,0.6203,7
금천구,승용계_발생건수,선형회귀,0.1973,7
노원구,승용계_발생건수,선형회귀,0.6926,7
도봉구,승용계_발생건수,선형회귀,0.9568,7
동대문구,승용계_발생건수,선형회귀,0.6229,7
동작구,승용계_발생건수,선형회귀,0.4715,7
마포구,승용계_발생건수,선형회귀,0.7544,7
서대문구,승용계_발생건수,선형회귀,0.5506,7
서초구,승용계_발생건수,선형회귀,0.6174,7
성동구,승용계_발생건수,선형회귀,0.9056,7
성북구,승용계_발생건수,선형회귀,0.772,7
송파구,승용계_발생건수,선형회귀,0.3731,7
양천구,승용계_발생건수,선형회귀,0.5446,7
영등포구,승용계_발생건수,선형회귀,0.9099,7
용산구,승용계_발생건수,선형회귀,0.826,7
은평구,승용계_발생건수,선형회귀,0.3661,7
종로구,승용계_발생건수,선형회귀,0.5093,7
중구,승용계_발생건수,선형회귀,0.724,7
중랑구,승용계_발생건수,선형회귀,0.9069,7
강남구,승용계_사상자수,선형회귀,0.5984,7
강동구,승용계_사상자수,선형회귀,0.7929,7
강북구,승용계_사상자수,선형회귀,0.7605,7
강서구,승용계_사상자수,선형회귀,0.6566,7
관악구,승용계_사상자수,선형회귀,0.5646,7
광진구,승용계_사상자수,선형회귀,0.9505,7
구로구,승용계_사상자수,선형회귀,0.6713,7
금천구,승용계_사상자수,선형회귀,0.3705,7
노원구,승용계_사상자수,선형회귀,0.6652,7
도봉구,승용계_사상자수,선형회귀,0.9413,7
동대문구,승용계_사상자수,선형회귀,0.7759,7
동작구,승용계_사상자수,선형회귀,0.5545,7
마포구,승용계_사상자수,선형회귀,0.7941,7
서대문구,승용계_사상자수,선형회귀,0.6591,7
서초구,승용계_사상자수,선형회귀,0.5062,7
성동구,승용계_사상자수,선형회귀,0.9177,7
성북구,승용계_사상자수,선형회귀,0.7853,7
송파구,승용계_사상자수,선형회귀,0.2867,7
양천구,승용계_사상자수,선형회귀,0.5055,7
영등포구,승용계_사상자수,선형회귀,0.9514,7
용산구,승용계_사상자수,선형회귀,0.8853,7
은평구,승용계_사상자수,선형회귀,0.4951,7
종로구,승용계_사상자수,선형회귀,0.6391,7
중구,승용계_사상자수,선형회귀,0.7468,7
중랑구,승용계_사상자수,선형회귀,0.9276,7
강남구,버스계_발생건수,선형회귀,0.806,7
강동구,버스계_발생건수,선형회귀,0.7502,7
강북구,버스계_발생건수,선형회귀,0.0912,7
강서구,버스계_발생건수,선형회귀,0.4657,7
관악구,버스계_발생건수,선형회귀,0.1316,7
광진구,버스계_발생건수,선형회귀,0.5693,7
구로구,버스계_발생건수,선형회귀,0.4923,7
금천구,버스계_발생건수,선형회귀,0.7553,7
노원구,버스계_발생건수,선형회귀,0.3278,7
도봉구,버스계_발생건수,선형회귀,0.7764,7
동대문구,버스계_발생건수,선형회귀,0.6945,7
동작구,버스계_발생건수,선형회귀,0.2412,7
마포구,버스계_발생건수,선형회귀,0.1285,7
서대문구,버스계_발생건수,선형회귀,0.0163,7
서초구,버스계_발생건수,선형회귀,0.2516,7
성동구,버스계_발생건수,선형회귀,0.418,7
성북구,버스계_발생건수,선형회귀,0.0015,7
송파구,버스계_발생건수,선형회귀,0.2071,7
양천구,버스계_발생건수,선형회귀,0.4122,7
영등포구,버스계_발생건수,선형회귀,0.458,7
용산구,버스계_발생건수,선형회귀,0.7246,7
은평구,버스계_발생건수,선형회귀,0.1921,7
종로구,버스계_발생건수,선형회귀,0.0548,7
중구,버스계_발생건수,선형회귀,0.1585,7
중랑구,버스계_발생건수,선형회귀,0.7375,7
강남구,버스계_사상자수,선형회귀,0.687,7
강동구,버스계_사상자수,선형회귀,0.8672,7
강북구,버스계_사상자수,선형회귀,0.1649,7
강서구,버스계_사상자수,선형회귀,0.8212,7
관악구,버스계_사상자수,선형회귀,0.4866,7
광진구,버스계_사상자수,선형회귀,0.5557,7
구로구,버스계_사상자수,선형회귀,0.5394,7
금천구,버스계_사상자수,선형회귀,0.0921,7
노원구,버스계_사상자수,선형회귀,0.1784,7
도봉구,버스계_사상자수,선형회귀,0.768,7
동대문구,버스계_사상자수,선형회귀,0.5223,7
동작구,버스계_사상자수,선형회귀,0.6235,7
마포구,버스계_사상자수,선형회귀,0.0553,7
서대문구,버스계_사상자수,선형회귀,0.0488,7
서초구,버스계_사상자수,선형회귀,0.4463,7
성동구,버스계_사상자수,선형회귀,0.1989,7
성북구,버스계_사상자수,선형회귀,0.1681,7
송파구,버스계_사상자수,선형회귀,0.3013,7
양천구,버스계_사상자수,선형회귀,0.4907,7
영등포구,버스계_사상자수,선형회귀,0.3531,7
용산구,버스계_사상자수,선형회귀,0.8033,7
은평구,버스계_사상자수,선형회귀,0.3534,7
종로구,버스계_사상자수,선형회귀,0.0076,7
중구,버스계_사상자수,선형회귀,0.0385,7
중랑구,버스계_사상자수,선형회귀,0.6595,7
강남구,화물계_발생건수,선형회귀,0.7451,7
강동구,화물계_발생건수,선형회귀,0.0636,7
강북구,화물계_발생건수,선형회귀,0.1291,7
강서구,화물계_발생건수,선형회귀,0.6833,7
관악구,화물계_발생건수,선형회귀,0.0094,7
광진구,화물계_발생건수,선형회귀,0.1357,7
구로구,화물계_발생건수,선형회귀,0.2893,7
금천구,화물계_발생건수,선형회귀,0.7925,7
노원구,화물계_발생건수,선형회귀,0.2701,7
도봉구,화물계_발생건수,선형회귀,0.4374,7
동대문구,화물계_발생건수,선형회귀,0.5879,7
동작구,화물계_발생건수,선형회귀,0.3474,7
마포구,화물계_발생건수,선형회귀,0.2991,7
서대문구,화물계_발생건수,선형회귀,0.1074,7
서초구,화물계_발생건수,선형회귀,0.0727,7
성동구,화물계_발생건수,선형회귀,0.6266,7
성북구,화물계_발생건수,선형회귀,0.3425,7
송파구,화물계_발생건수,선형회귀,0.4116,7
양천구,화물계_발생건수,선형회귀,0.145,7
영등포구,화물계_발생건수,선형회귀,0.2224,7
용산구,화물계_발생건수,선형회귀,0.2269,7
은평구,화물계_발생건수,선형회귀,0.1923,7
