구,항목,모델,R2,학습데이터수
강남구,화재_소계,선형회귀,0.5796,18
강동구,화재_소계,선형회귀,0.2187,18
강북구,화재_소계,선형회귀,0.1168,18
강서구,화재_소계,선형회귀,0.3205,18
관악구,화재_소계,선형회귀,0.1664,18
광진구,화재_소계,선형회귀,0.0414,18
구로구,화재_소계,선형회귀,0.1747,18
금천구,화재_소계,선형회귀,0.306,18
노원구,화재_소계,선형회귀,0.2761,18
도봉구,화재_소계,선형회귀,0.0268,18
동대문구,화재_소계,선형회귀,0.5437,18
동작구,화재_소계,선형회귀,0.2103,18
마포구,화재_소계,선형회귀,0.2055,18
서대문구,화재_소계,선형회귀,0.3222,18
서초구,화재_소계,선형회귀,0.0822,18
성동구,화재_소계,선형회귀,0.0065,18
성북구,화재_소계,선형회귀,0.2315,18
송파구,화재_소계,선형회귀,0.0121,18
양천구,화재_소계,선형회귀,0.2741,18
영등포구,화재_소계,선형회귀,0.0131,18
용산구,화재_소계,선형회귀,0.3917,18
은평구,화재_소계,선형회귀,0.1243,18
종로구,화재_소계,선형회귀,0.0891,18
중구,화재_소계,선형회귀,0.3174,18
중랑구,화재_소계,선형회귀,0.4413,18
