구,연도,항목,예측값,모델
강남구,2024,기타_부상자수,0.0,다항회귀
강동구,2024,기타_부상자수,442.8074369672686,다항회귀
강북구,2024,기타_부상자수,167.47256135381758,다항회귀
강서구,2024,기타_부상자수,209.83498429413885,다항회귀
관악구,2024,기타_부상자수,143.949620783329,다항회귀
광진구,2024,기타_부상자수,76.84474052861333,다항회귀
구로구,2024,기타_부상자수,165.66821008641273,다항회귀
금천구,2024,기타_부상자수,99.23139480873942,다항회귀
노원구,2024,기타_부상자수,0.0,다항회귀
도봉구,2024,기타_부상자수,40.34210877120495,다항회귀
동대문구,2024,기타_부상자수,120.74804107099771,다항회귀
동작구,2024,기타_부상자수,156.59079526364803,다항회귀
마포구,2024,기타_부상자수,134.74283416662365,다항회귀
서대문구,2024,기타_부상자수,57.08419224433601,다항회귀
서초구,2024,기타_부상자수,55.13658691942692,다항회귀
성동구,2024,기타_부상자수,110.6799465380609,다항회귀
성북구,2024,기타_부상자수,127.1764443218708,다항회귀
송파구,2024,기타_부상자수,296.9073900440708,다항회귀
양천구,2024,기타_부상자수,179.5229457290843,다항회귀
영등포구,2024,기타_부상자수,10.56534093618393,다항회귀
용산구,2024,기타_부상자수,255.38716734573245,다항회귀
은평구,2024,기타_부상자수,161.7068664659746,다항회귀
종로구,2024,기타_부상자수,67.31765893707052,다항회귀
중구,2024,기타_부상자수,93.99771440215409,다항회귀
중랑구,2024,기타_부상자수,119.13974194228649,다항회귀
강남구,2024,기타_사망자수,0.0,다항회귀
강동구,2024,기타_사망자수,0.0,다항회귀
강북구,2024,기타_사망자수,4.592924639349803,다항회귀
강서구,2024,기타_사망자수,0.6426075836207019,다항회귀
관악구,2024,기타_사망자수,5.98513774946332,다항회귀
광진구,2024,기타_사망자수,0.9464162522926927,다항회귀
구로구,2024,기타_사망자수,0.0,다항회귀
금천구,2024,기타_사망자수,2.8925151547882706,다항회귀
노원구,2024,기타_사망자수,0.0,다항회귀
도봉구,2024,기타_사망자수,1.2376637181732804,다항회귀
동대문구,2024,기타_사망자수,2.5189775234321132,다항회귀
동작구,2024,기타_사망자수,0.7753617174457759,다항회귀
마포구,2024,기타_사망자수,0.9143099065404385,다항회귀
서대문구,2024,기타_사망자수,2.637458235141821,다항회귀
서초구,2024,기타_사망자수,3.3677711280761287,다항회귀
성동구,2024,기타_사망자수,3.13368678255938,다항회귀
성북구,2024,기타_사망자수,2.289370243670419,다항회귀
송파구,2024,기타_사망자수,1.8981189699552488,다항회귀
양천구,2024,기타_사망자수,1.6539295478723943,다항회귀
영등포구,2024,기타_사망자수,0.0,다항회귀
용산구,2024,기타_사망자수,0.0,다항회귀
은평구,2024,기타_사망자수,0.0,다항회귀
종로구,2024,기타_사망자수,1.3181245792657137,다항회귀
중구,2024,기타_사망자수,0.0,다항회귀
중랑구,2024,기타_사망자수,1.1273982664570212,다항회귀
강남구,2024,길가장자리구역통행중_부상자수,102.98809429374523,다항회귀
강동구,2024,길가장자리구역통행중_부상자수,44.148002816480584,다항회귀
강북구,2024,길가장자리구역통행중_부상자수,0.0,다항회귀
강서구,2024,길가장자리구역통행중_부상자수,23.1749137097504,다항회귀
관악구,2024,길가장자리구역통행중_부상자수,45.58885742723942,다항회귀
광진구,2024,길가장자리구역통행중_부상자수,29.30455430224538,다항회귀
구로구,2024,길가장자리구역통행중_부상자수,9.851517487317324,다항회귀
금천구,2024,길가장자리구역통행중_부상자수,7.990866518579423,다항회귀
노원구,2024,길가장자리구역통행중_부상자수,27.898976819589734,다항회귀
도봉구,2024,길가장자리구역통행중_부상자수,7.856856759637594,다항회귀
동대문구,2024,길가장자리구역통행중_부상자수,0.0,다항회귀
동작구,2024,길가장자리구역통행중_부상자수,11.3534816368483,다항회귀
마포구,2024,길가장자리구역통행중_부상자수,9.798369283322245,다항회귀
서대문구,2024,길가장자리구역통행중_부상자수,14.050676771672443,다항회귀
서초구,2024,길가장자리구역통행중_부상자수,26.431417918764055,다항회귀
성동구,2024,길가장자리구역통행중_부상자수,16.918688445468433,다항회귀
성북구,2024,길가장자리구역통행중_부상자수,5.995473010931164,다항회귀
송파구,2024,길가장자리구역통행중_부상자수,0.04295242624357343,다항회귀
양천구,2024,길가장자리구역통행중_부상자수,5.108678355813026,다항회귀
영등포구,2024,길가장자리구역통행중_부상자수,35.04138669394888,다항회귀
용산구,2024,길가장자리구역통행중_부상자수,58.012501331977546,다항회귀
은평구,2024,길가장자리구역통행중_부상자수,0.0,다항회귀
종로구,2024,길가장자리구역통행중_부상자수,15.002255540341139,다항회귀
중구,2024,길가장자리구역통행중_부상자수,1.7383061207947321,다항회귀
중랑구,2024,길가장자리구역통행중_부상자수,3.0652521066367626,다항회귀
강남구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
강동구,2024,길가장자리구역통행중_사망자수,2.758971786388429,다항회귀
강북구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
강서구,2024,길가장자리구역통행중_사망자수,0.5792848995988606,다항회귀
관악구,2024,길가장자리구역통행중_사망자수,1.011043094098568,다항회귀
광진구,2024,길가장자리구역통행중_사망자수,1.0063950003823265,다항회귀
구로구,2024,길가장자리구역통행중_사망자수,0.3238021078068414,다항회귀
금천구,2024,길가장자리구역통행중_사망자수,0.003068854450248182,다항회귀
노원구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
도봉구,2024,길가장자리구역통행중_사망자수,0.05641195307543967,다항회귀
동대문구,2024,길가장자리구역통행중_사망자수,2.6815374423749745,다항회귀
동작구,2024,길가장자리구역통행중_사망자수,0.2704494403587887,다항회귀
마포구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
서대문구,2024,길가장자리구역통행중_사망자수,0.05773367405345198,다항회귀
서초구,2024,길가장자리구역통행중_사망자수,0.12995856458655908,다항회귀
성동구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
성북구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
송파구,2024,길가장자리구역통행중_사망자수,0.4655211743547625,다항회귀
양천구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
영등포구,2024,길가장자리구역통행중_사망자수,0.6921056098071858,다항회귀
용산구,2024,길가장자리구역통행중_사망자수,1.5686324504449658,다항회귀
은평구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
종로구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
중구,2024,길가장자리구역통행중_사망자수,0.020924892072798684,다항회귀
중랑구,2024,길가장자리구역통행중_사망자수,0.0,다항회귀
강남구,2024,보도통행중_부상자수,262.0741030238569,다항회귀
강동구,2024,보도통행중_부상자수,0.0,다항회귀
강북구,2024,보도통행중_부상자수,0.0,다항회귀
강서구,2024,보도통행중_부상자수,18.22259631031193,다항회귀
관악구,2024,보도통행중_부상자수,44.744374230504036,다항회귀
광진구,2024,보도통행중_부상자수,25.493034350685775,다항회귀
구로구,2024,보도통행중_부상자수,25.4879820169881,다항회귀
금천구,2024,보도통행중_부상자수,22.542361396364868,다항회귀
노원구,2024,보도통행중_부상자수,59.27761219441891,다항회귀
도봉구,2024,보도통행중_부상자수,1.5478038508445024,다항회귀
동대문구,2024,보도통행중_부상자수,84.54185538552701,다항회귀
동작구,2024,보도통행중_부상자수,28.99162344483193,다항회귀
마포구,2024,보도통행중_부상자수,38.69587660068646,다항회귀
서대문구,2024,보도통행중_부상자수,13.062254998832941,다항회귀
서초구,2024,보도통행중_부상자수,63.43811739049852,다항회귀
성동구,2024,보도통행중_부상자수,14.446255275048316,다항회귀
성북구,2024,보도통행중_부상자수,18.759972881525755,다항회귀
송파구,2024,보도통행중_부상자수,61.199188554193825,다항회귀
양천구,2024,보도통행중_부상자수,33.535118632018566,다항회귀
영등포구,2024,보도통행중_부상자수,0.0,다항회귀
용산구,2024,보도통행중_부상자수,30.56002930062823,다항회귀
은평구,2024,보도통행중_부상자수,66.19445197866298,다항회귀
종로구,2024,보도통행중_부상자수,29.800471687689424,다항회귀
중구,2024,보도통행중_부상자수,19.36210123519413,다항회귀
중랑구,2024,보도통행중_부상자수,18.980847395956516,다항회귀
강남구,2024,보도통행중_사망자수,0.0,다항회귀
강동구,2024,보도통행중_사망자수,0.7112435704329982,다항회귀
강북구,2024,보도통행중_사망자수,0.8378571565626771,다항회귀
강서구,2024,보도통행중_사망자수,0.0,다항회귀
관악구,2024,보도통행중_사망자수,0.6130453032092191,다항회귀
광진구,2024,보도통행중_사망자수,0.11488295823801309,다항회귀
구로구,2024,보도통행중_사망자수,0.12352657670271583,다항회귀
금천구,2024,보도통행중_사망자수,1.218695029441733,다항회귀
노원구,2024,보도통행중_사망자수,0.2165878238156438,다항회귀
도봉구,2024,보도통행중_사망자수,0.0,다항회귀
동대문구,2024,보도통행중_사망자수,0.0,다항회귀
동작구,2024,보도통행중_사망자수,0.0,다항회귀
마포구,2024,보도통행중_사망자수,0.0,다항회귀
서대문구,2024,보도통행중_사망자수,0.09584929914854001,다항회귀
서초구,2024,보도통행중_사망자수,0.0,다항회귀
성동구,2024,보도통행중_사망자수,0.0,다항회귀
성북구,2024,보도통행중_사망자수,0.7190786299179308,다항회귀
송파구,2024,보도통행중_사망자수,0.8270160481588391,다항회귀
양천구,2024,보도통행중_사망자수,0.0,다항회귀
영등포구,2024,보도통행중_사망자수,0.0,다항회귀
