구,연도,위험지수,최대기여요인
강남구,2024,1.904,길가장자리구역통행중_부상자수
강남구,2025,2.0661,길가장자리구역통행중_부상자수
강동구,2024,1.5308,기타_부상자수
강동구,2025,2.1706,길가장자리구역통행중_사망자수
강북구,2024,1.5101,기타_사망자수
강북구,2025,0.6951,길가장자리구역통행중_부상자수
강서구,2024,0.7918,기타_부상자수
강서구,2025,0.6788,기타_부상자수
관악구,2024,1.9851,기타_사망자수
관악구,2025,1.361,자전거_사망자수
광진구,2024,0.6922,기타_사망자수
광진구,2025,0.6371,기타_사망자수
구로구,2024,0.7245,기타_부상자수
구로구,2025,0.6842,기타_부상자수
금천구,2024,1.1945,기타_사망자수
금천구,2025,1.0071,자전거_사망자수
노원구,2024,1.2959,자전거_사망자수
노원구,2025,1.3948,자전거_사망자수
도봉구,2024,0.5988,기타_사망자수
도봉구,2025,0.5621,차도 통행중_사망자수
동대문구,2024,2.3511,뺑소니_사망자수
동대문구,2025,4.353,차도 통행중_사망자수
동작구,2024,0.8174,기타_부상자수
동작구,2025,0.8129,차도 통행중_사망자수
마포구,2024,1.0741,자전거_사망자수
마포구,2025,0.9715,자전거_사망자수
서대문구,2024,0.8533,기타_사망자수
서대문구,2025,0.7509,기타_사망자수
서초구,2024,1.4628,기타_사망자수
서초구,2025,1.7306,보도통행중_사망자수
성동구,2024,0.8762,기타_사망자수
성동구,2025,1.1718,기타_사망자수
성북구,2024,1.2605,자전거_사망자수
성북구,2025,1.3795,자전거_사망자수
송파구,2024,1.844,자전거_사망자수
송파구,2025,1.8217,기타_사망자수
양천구,2024,1.3307,자전거_사망자수
양천구,2025,1.3626,자전거_사망자수
영등포구,2024,1.1248,인구 10만명당 부상자수 (명)
영등포구,2025,1.2751,뺑소니_사망자수
용산구,2024,1.9234,보도통행중_사망자수
용산구,2025,2.4418,보도통행중_사망자수
은평구,2024,0.806,차도 통행중_부상자수
은평구,2025,0.8583,기타_사망자수
종로구,2024,1.0262,인구 10만명당 부상자수 (명)
종로구,2025,0.9615,인구 10만명당 부상자수 (명)
중구,2024,0.8275,인구 10만명당 부상자수 (명)
중구,2025,0.7599,인구 10만명당 부상자수 (명)
중랑구,2024,0.9697,차도 통행중_사망자수
중랑구,2025,1.1959,자전거_사망자수
