구,연도,위험지수,최대기여요인,기여값
강남구,2024,2.1,기타_사망자수,2
강남구,2025,3.3228,기타_사망자수,2
강남구,2026,3.55,맑음_사상자수,5074
강동구,2024,5.65,기타_사망자수,2
강동구,2025,1.4879,눈_사상자수,20
강동구,2026,0.8053,눈_사상자수,20
강북구,2024,2.35,사망자수,6
강북구,2025,2.2225,차량단독_사상자수,50
강북구,2026,3.25,눈_사상자수,10
강서구,2024,3.75,눈_사상자수,5
강서구,2025,2.6787,비_사상자수,142
강서구,2026,1.425,버스계_사상자수,202
관악구,2024,4.75,횡단중_사망자수,1
관악구,2025,2.7804,자전거_사망자수,1
관악구,2026,2.05,기타_사망자수,4
광진구,2024,4.5875,사망자수,4
광진구,2025,2.2206,사망자수,3
광진구,2026,1.2,차대사람_사상자수,195
구로구,2024,4.1036,사망자수,6
구로구,2025,1.9745,사망자수,6
구로구,2026,1.75,버스계_사상자수,173
금천구,2024,4.0798,기타_사망자수,2
금천구,2025,2.694,기타_사망자수,2
금천구,2026,2.225,버스계_사상자수,129
노원구,2024,3.27,차도 통행중_사망자수,1
노원구,2025,2.8984,기타_사망자수,1
노원구,2026,3.7,기타_사망자수,1
도봉구,2024,1.3943,사망자수,4
도봉구,2025,1.9903,사망자수,4
도봉구,2026,4.35,기타_사망자수,2
동대문구,2024,1.4,사망자수,8
동대문구,2025,3.8424,뺑소니_사망자수,1
동대문구,2026,4.25,뺑소니_사망자수,1
동작구,2024,2.2708,사망자수,7
동작구,2025,1.1903,흐림_사상자수,81
동작구,2026,3.375,맑음_사상자수,1493
마포구,2024,4.7483,사망자수,9
마포구,2025,1.4875,화물계_사상자수,40
마포구,2026,2.0091,버스계_사상자수,74
서대문구,2024,3.53,사망자수,5
서대문구,2025,2.5836,사망자수,5
서대문구,2026,1.6583,흐림_사상자수,122
서초구,2024,2.3,사망자수,6
서초구,2025,2.4293,차량단독_사상자수,58
서초구,2026,3.35,기타_사망자수,3
성동구,2024,3.3625,눈_사상자수,9
성동구,2025,2.258,눈_사상자수,9
성동구,2026,1.8,흐림_사상자수,46
성북구,2024,4.5125,횡단중_사망자수,2
성북구,2025,2.2704,사망자수,8
성북구,2026,1.45,눈_사상자수,12
송파구,2024,3.9658,사망자수,11
송파구,2025,3.0295,사망자수,11
송파구,2026,1.5938,맑음_사상자수,3240
양천구,2024,3.62,사망자수,8
양천구,2025,1.7797,사망자수,7
양천구,2026,2.0583,맑음_사상자수,2116
영등포구,2024,5.6286,기타_사망자수,2
영등포구,2025,2.5802,버스계_사상자수,190
영등포구,2026,0.6,기타_부상자수,207
용산구,2024,5.0375,사망자수,14
용산구,2025,3.774,사망자수,14
용산구,2026,0.4625,기타_부상자수,132
은평구,2024,4.5897,차도 통행중_사망자수,1
은평구,2025,3.4737,차도 통행중_사망자수,1
은평구,2026,1.15,비_사상자수,101
종로구,2024,4.3,사망자수,2
종로구,2025,2.7739,사망자수,1
종로구,2026,0.85,버스계_사상자수,113
중구,2024,4.55,사망자수,2
중구,2025,2.7162,사망자수,2
중구,2026,1.2,버스계_사상자수,91
중랑구,2024,4.1,기타_사망자수,1
중랑구,2025,2.2759,기타_사망자수,1
중랑구,2026,1.65,버스계_사상자수,243
